종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","중견기업부","2935","35","1.21","2900","2950","2890","96670","282403350","135806890655","46271513"
"054620","APS홀딩스","중견기업부","18000","150","0.84","17700","18500","17350","247897","4452666200","367095978000","20394221"
"265520","AP시스템","우량기업부","30700","650","2.16","29850","30900","29850","274854","8396156050","444542968900","14480227"
"211270","AP위성","벤처기업부","16650","-50","-0.30","16850","16900","16650","244279","4094616500","251120361600","15082304"
"013720","CBI","중견기업부","22750","0","0.00","0","0","0","0","0","186067040250","8178771"
"035760","CJ ENM","우량기업부","179100","4200","2.40","175900","180000","175000","133276","23750743700","3927511481400","21929154"
"051500","CJ프레시웨이","중견기업부","32250","300","0.94","31700","32400","31700","78115","2500612900","382858648500","11871586"
"058820","CMG제약","우량기업부","4910","0","0.00","4910","4955","4905","671093","3301163740","681960918040","138892244"
"023460","CNH","벤처기업부","3420","-20","-0.58","3440","3470","3390","38699","132117560","127224000000","37200000"
"056730","CNT85","관리종목(소속부없음)","1550","0","0.00","0","0","0","0","0","109591063600","70703912"
"056000","COWON","투자주의환기종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","벤처기업부","4900","-150","-2.97","5090","5120","4890","529318","2625809350","94742269300","19335157"
"083660","CSA 코스믹","관리종목(소속부없음)","1730","0","0.00","1730","1730","1690","37711","64534545","65626017220","37934114"
"367340","DB금융스팩8호","SPAC(소속부없음)","2180","5","0.23","2185","2190","2170","38523","84191340","13189000000","6050000"
"367360","DB금융스팩9호","SPAC(소속부없음)","2190","0","0.00","2200","2200","2170","134406","293047885","10599600000","4840000"
"068790","DMS","우량기업부","7640","0","0.00","7680","7750","7580","139632","1068537110","187738186040","24573061"
"241520","DSC인베스트먼트","벤처기업부","5700","150","2.70","5580","5730","5560","504804","2856638300","158524997100","27811403"
"245620","EDGC","기술성장기업부","5190","-100","-1.89","5290","5310","5150","1230496","6243072710","434040089250","83630075"
"037370","EG","중견기업부","13200","50","0.38","13150","13450","13000","67664","892407600","99000000000","7500000"
"079190","EMW","관리종목(소속부없음)","2780","0","0.00","0","0","0","0","0","88360067660","31784197"
"050120","ES큐브","중견기업부","6210","-100","-1.58","6310","6380","6200","44037","274803100","84232974060","13564086"
"130500","GH신소재","중견기업부","8320","-560","-6.31","8800","8800","8320","1457595","12440357460","91520000000","11000000"
"900290","GRT","관리종목(소속부없음)","951","0","0.00","0","0","0","0","0","64073625000","67375000"
"083450","GST","우량기업부","26950","1200","4.66","25750","26950","25700","162388","4308695850","251113227750","9317745"
"028150","GS홈쇼핑","우량기업부","154900","0","0.00","0","0","0","0","0","1016531250000","6562500"
"045890","GV","관리종목(소속부없음)","240","0","0.00","0","0","0","0","0","20823884880","86766187"
"078150","HB테크놀러지","우량기업부","3245","110","3.51","3135","3270","3110","3248215","10416308270","256323932370","78990426"
"036640","HRS","중견기업부","6300","90","1.45","6260","6390","6240","313751","1981693000","103035240000","16354800"
"335870","IBKS제12호스팩","SPAC(소속부없음)","2460","20","0.82","2435","2480","2390","28324","68873095","7675200000","3120000"
"351340","IBKS제13호스팩","SPAC(소속부없음)","2235","-15","-0.67","2220","2250","2205","46304","102601650","11554950000","5170000"
"351320","IBKS제14호스팩","SPAC(소속부없음)","2280","0","0.00","0","0","0","0","0","9872400000","4330000"
"373200","IBKS제15호스팩","SPAC(소속부없음)","2325","5","0.22","2305","2325","2275","37433","86086890","8184000000","3520000"
"095340","ISC","우량기업부","25750","-250","-0.96","26000","26450","25450","333675","8597261500","421129044500","16354526"
"099520","ITX-AI","관리종목(소속부없음)","1285","0","0.00","0","0","0","0","0","37652662655","29301683"
"950170","JTC","외국기업(소속부없음)","5330","10","0.19","5320","5360","5300","41169","219267540","186579405610","35005517"
"067290","JW신약","중견기업부","5140","0","0.00","5170","5220","5120","61929","318853650","225835450120","43936858"
"035900","JYP Ent.","우량기업부","40300","-400","-0.98","41000","41250","40100","406506","16522459850","1430548927600","35497492"
"024840","KBI메탈","우량기업부","2800","150","5.66","2675","2800","2650","3028271","8673373010","92262374400","32950848"
"024120","KB오토시스","우량기업부","8750","120","1.39","8620","8950","8620","71659","632646100","100625000000","11500000"
"021320","KCC건설","우량기업부","10700","0","0.00","10650","10750","10500","34881","370167900","228980000000","21400000"
"036670","KCI","우량기업부","10050","50","0.50","10000","10150","10000","50303","506273850","113263500000","11270000"
"044180","KD","중견기업부","2010","90","4.69","1910","2030","1900","1215262","2397515035","33215973600","16525360"
"151860","KG ETS","우량기업부","20950","0","0.00","21300","22100","20750","2234877","47783052800","754200000000","36000000"
"046440","KG모빌리언스","우량기업부","11200","-150","-1.32","11350","11350","11050","343989","3848634600","434846361600","38825568"
"035600","KG이니시스","우량기업부","21300","-400","-1.84","21550","21750","21300","105756","2267687700","594364444200","27904434"
"226360","KH E&T","벤처기업부","2220","-35","-1.55","2265","2290","2220","696770","1572717025","120622596660","54334503"
"111870","KH 일렉트론","중견기업부","1125","-15","-1.32","1150","1150","1110","553399","622750220","113689086750","101056966"
"060720","KH바텍","중견기업부","21700","250","1.17","21650","21900","21450","252826","5472549450","513723695100","23673903"
"122450","KMH","중견기업부","13150","-100","-0.75","13500","13600","13050","298550","3950456250","596167926600","45335964"
"052900","KMH하이텍","중견기업부","2095","-10","-0.48","2145","2150","2080","1215155","2561213490","98225120405","46885499"
"058400","KNN","우량기업부","2075","10","0.48","2090","2090","2055","730166","1510319125","274791669000","132429720"
"114450","KPX생명과학","중견기업부","10300","0","0.00","10250","10300","10100","311252","3167975900","154500000000","15000000"
"060370","KT서브마린","중견기업부","7490","170","2.32","7340","7490","7280","155841","1149523490","164031000000","21900000"
"108320","LX세미콘","우량기업부","119200","-2000","-1.65","120300","121000","118200","221572","26416509900","1938704560000","16264300"
"160550","NEW","중견기업부","10150","0","0.00","10200","10500","10000","1109805","11393454350","283246975900","27906106"
"053290","NE능률","중견기업부","17900","-250","-1.38","18100","18550","17650","613756","11100098350","295820895300","16526307"
"104200","NHN벅스","중견기업부","6300","30","0.48","6380","6450","6300","9169","58268300","93413565000","14827550"
"060250","NHN한국사이버결제","우량기업부","54400","-3200","-5.56","56900","57200","54200","376799","20758717300","1332950633600","24502769"
"030190","NICE평가정보","우량기업부","24450","150","0.62","24150","24550","24050","49919","1218570350","1484477349000","60714820"
"078590","OQP","관리종목(소속부없음)","3890","0","0.00","0","0","0","0","0","322897066620","83006958"
"178920","PI첨단소재","우량기업부","55400","300","0.54","55300","56400","54600","196496","10908380500","1626894238800","29366322"
"024940","PN풍년","벤처기업부","11500","200","1.77","11200","11650","10850","695977","7867417400","115000000000","10000000"
"218410","RFHIC","우량기업부","38800","1450","3.88","37500","38800","37450","284791","10953218200","925287656000","23847620"
"327260","RF머트리얼즈","벤처기업부","28900","450","1.58","28850","32400","28850","205617","6218495150","106746831800","3693662"
"091340","S&K폴리텍","중견기업부","5900","70","1.20","5830","5970","5790","49685","293391210","69051953900","11703721"
"019550","SBI인베스트먼트","벤처기업부","2335","265","12.80","2055","2395","2005","84246373","190897726065","378425452625","162066575"
"950110","SBI핀테크솔루션즈","외국기업(소속부없음)","8300","80","0.97","8260","8330","8210","23789","196699980","199598732000","24048040"
"046140","SBS콘텐츠허브","우량기업부","8810","20","0.23","8790","8970","8710","84228","742882090","189093919550","21463555"
"036120","SCI평가정보","중견기업부","3940","25","0.64","3930","3980","3930","79240","313259005","139870000000","35500000"
"099220","SDN","우량기업부","3525","115","3.37","3410","3620","3400","10394303","36875649885","169829966850","48178714"
"036540","SFA반도체","우량기업부","7410","170","2.35","7260","7410","7210","1460687","10722034270","1218650845230","164460303"
"255220","SG","중견기업부","2365","-5","-0.21","2370","2390","2345","170795","403666745","96481863610","40795714"
