종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","중견기업부","3150","-5","-0.16","3155","3180","3100","139527","438070060","145755265950","46271513"
"054620","APS홀딩스","중견기업부","16100","200","1.26","15900","16450","15550","88029","1409695100","328346958100","20394221"
"265520","AP시스템","우량기업부","30300","0","0.00","30400","30500","29900","204535","6187719850","438750878100","14480227"
"211270","AP위성","벤처기업부","18750","1100","6.23","17950","19350","17800","2050209","38527984700","282793200000","15082304"
"013720","CBI","중견기업부","22750","0","0.00","0","0","0","0","0","186067040250","8178771"
"035760","CJ ENM","우량기업부","189000","4700","2.55","185300","189500","182800","155788","29161885100","4144610106000","21929154"
"051500","CJ프레시웨이","중견기업부","32750","650","2.02","32100","33200","32100","82464","2693114900","388794441500","11871586"
"058820","CMG제약","우량기업부","5460","110","2.06","5350","5490","5310","1938775","10467266050","758351652240","138892244"
"023460","CNH","벤처기업부","3530","-30","-0.84","3560","3560","3505","30383","107254735","131316000000","37200000"
"056000","COWON","투자주의환기종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","벤처기업부","5340","-500","-8.56","5710","5830","5310","1430214","7781169210","101647701000","19035150"
"083660","CSA 코스믹","관리종목(소속부없음)","1800","-15","-0.83","1820","1825","1790","33527","60394055","66729681000","37072045"
"367340","DB금융스팩8호","SPAC(소속부없음)","2195","50","2.33","2135","2195","2135","220691","479341010","13279750000","6050000"
"367360","DB금융스팩9호","SPAC(소속부없음)","2260","125","5.85","2145","2285","2145","957345","2115288425","10938400000","4840000"
"068790","DMS","우량기업부","7770","30","0.39","7750","7780","7720","89858","696853360","190932683970","24573061"
"241520","DSC인베스트먼트","벤처기업부","5670","70","1.25","5590","5800","5540","474578","2690004780","157690655010","27811403"
"245620","EDGC","기술성장기업부","5190","-160","-2.99","5350","5380","5190","862972","4528244680","434040089250","83630075"
"037370","EG","중견기업부","14200","650","4.80","13650","14450","13600","192947","2709156300","106500000000","7500000"
"079190","EMW","관리종목(소속부없음)","2780","0","0.00","0","0","0","0","0","88360067660","31784197"
"050120","ES큐브","중견기업부","6700","-130","-1.90","6830","6830","6650","94689","634846310","90879376200","13564086"
"130500","GH신소재","중견기업부","6900","-70","-1.00","7090","7090","6820","173524","1197695840","75900000000","11000000"
"900290","GRT","관리종목(소속부없음)","951","0","0.00","0","0","0","0","0","64073625000","67375000"
"083450","GST","우량기업부","27300","400","1.49","27450","27550","26900","130955","3575053550","254374438500","9317745"
"028150","GS홈쇼핑","우량기업부","154900","0","0.00","0","0","0","0","0","1016531250000","6562500"
"045890","GV","관리종목(소속부없음)","240","0","0.00","0","0","0","0","0","20823884880","86766187"
"078150","HB테크놀러지","우량기업부","3000","-65","-2.12","3070","3075","2980","1176505","3533631540","236971278000","78990426"
"036640","HRS","중견기업부","6260","-10","-0.16","6300","6410","6230","222082","1397809980","102381048000","16354800"
"335870","IBKS제12호스팩","SPAC(소속부없음)","2285","75","3.39","2230","2295","2210","140023","317157560","7129200000","3120000"
"351340","IBKS제13호스팩","SPAC(소속부없음)","2205","45","2.08","2160","2220","2160","65739","144113715","11399850000","5170000"
"351320","IBKS제14호스팩","SPAC(소속부없음)","2280","0","0.00","0","0","0","0","0","9872400000","4330000"
"373200","IBKS제15호스팩","SPAC(소속부없음)","2265","65","2.95","2200","2275","2200","124140","278847790","7972800000","3520000"
"095340","ISC","우량기업부","23950","-750","-3.04","24850","24850","23800","246769","5947452200","391690897700","16354526"
"099520","ITX-AI","관리종목(소속부없음)","1285","0","0.00","0","0","0","0","0","37652662655","29301683"
"950170","JTC","외국기업(소속부없음)","5470","180","3.40","5290","5500","5290","203505","1105029990","191480177990","35005517"
"067290","JW신약","중견기업부","5370","-30","-0.56","5360","5440","5330","214179","1150556180","235940927460","43936858"
"035900","JYP Ent.","우량기업부","40750","650","1.62","40450","41200","40100","666903","27222529400","1446522799000","35497492"
"024840","KBI메탈","우량기업부","2660","-15","-0.56","2675","2690","2635","440532","1166895785","87649255680","32950848"
"024120","KB오토시스","우량기업부","8740","-130","-1.47","8900","8950","8720","43799","384086250","100510000000","11500000"
"021320","KCC건설","우량기업부","10800","50","0.47","10900","10950","10700","69830","753254650","231120000000","21400000"
"036670","KCI","우량기업부","10100","-50","-0.49","10150","10200","10050","38153","385644100","113827000000","11270000"
"044180","KD","중견기업부","2470","15","0.61","3000","3000","2455","26612270","71904335120","40817639200","16525360"
"151860","KG ETS","우량기업부","23700","0","0.00","24250","24650","22700","2623867","62154931750","853200000000","36000000"
"046440","KG모빌리언스","우량기업부","11050","300","2.79","10800","11050","10750","519086","5677329500","429022526400","38825568"
"035600","KG이니시스","우량기업부","21800","200","0.93","21600","21900","21500","111122","2411447800","608316661200","27904434"
"226360","KH E&T","벤처기업부","2145","35","1.66","2085","2160","2050","439478","929993140","116547508935","54334503"
"111870","KH 일렉트론","중견기업부","1110","5","0.45","1105","1120","1095","540332","596714615","111669831720","100603452"
"060720","KH바텍","중견기업부","21800","150","0.69","21600","22100","21600","153446","3344312900","516091085400","23673903"
"122450","KMH","중견기업부","13400","-250","-1.83","13700","13750","13350","369384","4987763650","607501917600","45335964"
"052900","KMH하이텍","중견기업부","2045","70","3.54","1985","2080","1975","1763109","3589206610","95880845455","46885499"
"058400","KNN","우량기업부","2145","-55","-2.50","2245","2255","2135","5280254","11528691350","284061749400","132429720"
"114450","KPX생명과학","중견기업부","10700","600","5.94","10150","10700","10100","1267143","13261419050","160500000000","15000000"
"036030","KTH","중견기업부","11350","-300","-2.58","11650","11700","11300","309813","3538305150","405365499700","35715022"
"060370","KT서브마린","중견기업부","7690","-40","-0.52","7800","7810","7680","151589","1170619620","168411000000","21900000"
"065150","MP그룹","관리종목(소속부없음)","924","-11","-1.18","945","945","923","358939","331163524","115760942220","125282405"
"160550","NEW","중견기업부","9930","140","1.43","9800","10100","9800","649586","6503483170","277107632580","27906106"
"053290","NE능률","중견기업부","19000","-450","-2.31","19750","19850","18450","1245990","23737665200","313999833000","16526307"
"104200","NHN벅스","중견기업부","6500","150","2.36","6350","6620","6350","69727","455527750","96379075000","14827550"
"060250","NHN한국사이버결제","우량기업부","57500","500","0.88","57000","57900","56900","58124","3345784600","1408909217500","24502769"
"030190","NICE평가정보","우량기업부","25550","100","0.39","25500","25600","24900","173253","4398067250","1551263651000","60714820"
"078590","OQP","관리종목(소속부없음)","3890","0","0.00","0","0","0","0","0","322897066620","83006958"
"178920","PI첨단소재","우량기업부","54500","0","0.00","54500","55500","53600","120519","6596264200","1600464549000","29366322"
"024940","PN풍년","벤처기업부","11000","-350","-3.08","11100","11350","10750","664104","7338119100","110000000000","10000000"
"218410","RFHIC","우량기업부","39450","-750","-1.87","40250","40250","39250","232778","9200673200","940788609000","23847620"
"327260","RF머트리얼즈","벤처기업부","28850","-800","-2.70","29400","29750","28100","34462","995042350","103761563800","3596588"
"091340","S&K폴리텍","중견기업부","5970","-30","-0.50","5980","6030","5920","56802","340381860","69871214370","11703721"
"019550","SBI인베스트먼트","벤처기업부","1775","-20","-1.11","1790","1795","1765","1227810","2182450695","287668170625","162066575"
"950110","SBI핀테크솔루션즈","외국기업(소속부없음)","8380","-20","-0.24","8370","8500","8360","24925","209331940","201522575200","24048040"
"046140","SBS콘텐츠허브","우량기업부","8890","20","0.23","8860","8890","8770","27699","244246950","190811003950","21463555"
"036120","SCI평가정보","중견기업부","4015","5","0.12","4010","4035","4005","86903","348613050","142532500000","35500000"
"099220","SDN","우량기업부","3255","-5","-0.15","3370","3540","3255","11619560","39675170125","156821714070","48178714"
"036540","SFA반도체","우량기업부","7430","100","1.36","7320","7440","7280","1204864","8869529160","1221940051290","164460303"
"255220","SG","중견기업부","2495","-5","-0.20","2505","2520","2470","345178","859566135","101785306430","40795714"
"040610","SG&G","중견기업부","3345","-180","-5.11","3500","3505","3315","1753673","5929661075","114021670620","34087196"
"049470","SGA","중견기업부","1385","-10","-0.72","1390","1400","1325","1885151","2569117060","72590964865","52412249"
"184230","SGA솔루션즈","벤처기업부","1770","0","0.00","1770","1785","1730","683741","1199773500","75965709600","42918480"
"016250","SGC이테크건설","우량기업부","69400","0","0.00","69400","70100","68400","11762","815394600","140482741800","2024247"
"307070","SK4호스팩","관리종목(소속부없음)","2030","-5","-0.25","2035","2035","2030","346940","704884215","10474800000","5160000"
"337450","SK5호스팩","SPAC(소속부없음)","2825","440","18.45","2395","2945","2375","11367212","31606286645","12175750000","4310000"
"340350","SK6호스팩","SPAC(소속부없음)","2225","90","4.22","2145","2330","2125","4101628","9150359800","12704750000","5710000"
"036490","SK머티리얼즈","우량기업부","350300","4200","1.21","344500","356500","344300","20196","7100089500","3694849851900","10547673"
"048550","SM C&C","중견기업부","3330","70","2.15","3260","3570","3260","11479571","39174676310","315386364600","94710620"
"063440","SM Life Design","중견기업부","2910","40","1.39","2900","2965","2875","786656","2296871340","131325838140","45129154"
"950180","SNK","외국기업(소속부없음)","21700","500","2.36","21250","21900","21200","68620","1483527550","457041060000","21061800"
"289080","SV인베스트먼트","중견기업부","4250","-15","-0.35","4210","4295","4205","331443","1405990060","226244500000","53234000"
"089230","THE E&M","중견기업부","970","-7","-0.72","980","987","962","2589278","2519637114","162860045380","167896954"
"161570","THE MIDONG","중견기업부","1895","30","1.61","1865","1900","1840","97452","182687395","29529462850","15582830"
"192410","THQ","중견기업부","3760","135","3.72","3635","3765","3550","105725","385985405","108408827600","28832135"
"032540","TJ미디어","중견기업부","5210","-100","-1.88","5310","5310","5120","99436","515731450","72583682890","13931609"
