종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5850","-30","-0.51","5850","5880","5670","118843","684305320","273910425750","46822295"
"006840","AK홀딩스","27650","-1450","-4.98","28800","28800","26900","183851","5052245650","366295061650","13247561"
"027410","BGF","6160","-120","-1.91","6280","6280","6110","277032","1706770460","589615432560","95716791"
"282330","BGF리테일","163000","-5500","-3.26","166000","166500","162000","41677","6797532000","2817276678000","17283906"
"138930","BNK금융지주","7350","-140","-1.87","7410","7420","7280","1833269","13447611610","2395624058100","325935246"
"001460","BYC","390500","-13500","-3.34","404000","404000","371000","788","307929500","243912157500","624615"
"001465","BYC우","184000","-500","-0.27","181500","184500","178000","271","49148500","39630840000","215385"
"001040","CJ","98400","-2100","-2.09","99900","101000","97500","211996","20898945400","2871016603200","29176998"
"079160","CJ CGV","29400","-350","-1.18","29050","29500","28350","698851","20201039850","1031940000000","35100000"
"00104K","CJ4우(전환)","84700","-1800","-2.08","85500","85800","83500","13881","1170726100","357985566400","4226512"
"000120","CJ대한통운","181500","2500","1.40","179500","183500","175500","64849","11664922000","4140440436000","22812344"
"011150","CJ씨푸드","5040","180","3.70","4860","5070","4860","2705153","13433768690","181091095920","35930773"
"011155","CJ씨푸드1우","44250","500","1.14","44250","44250","43150","1127","49381700","8850000000","200000"
"001045","CJ우","62300","-900","-1.42","63000","63000","62000","5166","322141400","140811892900","2260223"
"097950","CJ제일제당","442500","-3500","-0.78","443500","447500","435500","49621","21922328000","6661477305000","15054186"
"097955","CJ제일제당 우","211000","-1000","-0.47","210000","214500","206000","7361","1548257500","280088363000","1327433"
"000590","CS홀딩스","67800","-2200","-3.14","69600","69600","67500","3315","226154100","78273879600","1154482"
"012030","DB","1225","-30","-2.39","1230","1240","1180","5878566","7093516405","246438067925","201173933"
"016610","DB금융투자","6720","-180","-2.61","6850","6860","6590","426592","2856346840","285239734080","42446389"
"005830","DB손해보험","53500","-1500","-2.73","54400","55100","52800","197951","10583580500","3787800000000","70800000"
"000990","DB하이텍","60600","700","1.17","58900","60900","58300","940510","56036839700","2690554432800","44398588"
"000995","DB하이텍1우","114000","-4000","-3.39","117000","117000","113000","1490","170007000","12804024000","112316"
"139130","DGB금융지주","8810","-190","-2.11","8900","8920","8720","670072","5880756940","1490174788730","169145833"
"001530","DI동일","195000","4000","2.09","188000","196000","184500","18573","3512769000","489577725000","2510655"
"000210","DL","77300","-1600","-2.03","78300","78800","76300","209076","16091034500","1619889833200","20955884"
"001880","DL건설","35450","-450","-1.25","35450","35800","35000","82436","2911124250","781788917800","22053284"
"000215","DL우","45600","-1100","-2.36","46700","46700","45000","8057","366343900","76886844000","1686115"
"375500","DL이앤씨","151000","-1000","-0.66","149000","152500","148000","234855","35093854500","2923169438000","19358738"
"37550K","DL이앤씨우","80000","-700","-0.87","79400","80500","78600","20806","1649634600","169110800000","2113885"
"004840","DRB동일","7590","-170","-2.19","7700","7730","7470","62175","470611150","151268700000","19930000"
"155660","DSR","6680","-190","-2.77","6820","6820","6500","208060","1373501110","106880000000","16000000"
"069730","DSR제강","6700","20","0.30","6610","6710","6420","155571","1018008570","96480000000","14400000"
"017940","E1","55400","-600","-1.07","55100","56200","54500","17591","970136500","380044000000","6860000"
"365550","ESR켄달스퀘어리츠","7650","10","0.13","7590","7670","7470","262792","1981194350","1095931350000","143259000"
"383220","F&F","527000","19000","3.74","505000","530000","498500","67201","34788168000","4037565705000","7661415"
"007700","F&F홀딩스","35950","-900","-2.44","36750","36800","35500","120421","4334465450","278202130750","7738585"
"114090","GKL","16350","-50","-0.30","16200","16450","15650","627054","10121922950","1011340204500","61855670"
"078930","GS","44050","-650","-1.45","44400","44450","43650","246987","10856093150","4092922400900","92915378"
"006360","GS건설","42050","-100","-0.24","41550","42300","41250","742274","30973062750","3598701654500","85581490"
"001250","GS글로벌","2815","-75","-2.60","2855","2860","2760","799933","2237907660","232332545660","82533764"
"007070","GS리테일","36350","-350","-0.95","36200","36450","35850","343924","12401765550","2798950000000","77000000"
"078935","GS우","36700","-750","-2.00","37450","37450","36400","12863","471562800","65503114200","1784826"
"012630","HDC","12900","-300","-2.27","13000","13050","12550","893953","11439822150","770668200900","59741721"
"039570","HDC아이콘트롤스","13600","-200","-1.45","13500","13800","13300","76159","1033083800","223856000000","16460000"
"089470","HDC현대EP","5910","-80","-1.34","5950","5990","5810","233283","1375026800","188529000000","31900000"
"294870","HDC현대산업개발","32100","350","1.10","31200","32300","30800","963780","30553837350","2115625293000","65907330"
"011200","HMM","44650","-1000","-2.19","44700","46300","44100","7471361","335685558000","15421774544550","345392487"
"082740","HSD엔진","9040","-70","-0.77","8990","9090","8830","656381","5876246460","367018774880","40599422"
"003560","IHQ","1825","-35","-1.88","1840","1855","1795","1434086","2603960085","266880240100","146235748"
"175330","JB금융지주","7180","-160","-2.18","7250","7300","6980","467666","3334787780","1414337178920","196982894"
"234080","JW생명과학","18700","-300","-1.58","18800","18900","18550","85652","1599558200","296106159800","15834554"
"001060","JW중외제약","30150","-550","-1.79","30600","30600","29750","128715","3873846000","649428768900","21539926"
"001067","JW중외제약2우B","69100","-2200","-3.09","71300","71300","68000","853","58651400","6428234800","93028"
"001065","JW중외제약우","48450","-2650","-5.19","51100","51100","47950","4480","216511150","8599196700","177486"
"096760","JW홀딩스","4650","-15","-0.32","4630","4690","4600","115433","533042310","318251496300","68441182"
"105560","KB금융","50400","-1900","-3.63","51300","51300","50100","4244069","214111660300","20956719168000","415807920"
"002380","KCC","312500","-5500","-1.73","317000","317000","308000","54028","16783739000","2777022187500","8886471"
"344820","KCC글라스","65400","-300","-0.46","64300","66000","63100","135265","8745156100","1044471484800","15970512"
"009070","KCTC","8460","-360","-4.08","8850","9230","8340","5374814","47715914070","253800000000","30000000"
"009440","KC그린홀딩스","5350","-150","-2.73","5490","5490","5270","165237","883389740","120027143000","22434980"
"119650","KC코트렐","7510","80","1.08","7330","7620","7230","191698","1414343170","97630000000","13000000"
"092220","KEC","2425","-25","-1.02","2410","2430","2360","2651936","6360971435","283014329500","116706940"
"016380","KG동부제철","16550","-700","-4.06","17050","17100","16100","1072339","17557230850","1655147245350","100008897"
"016385","KG동부제철우","131000","-1000","-0.76","129500","131000","128500","371","48247000","6993435000","53385"
"001390","KG케미칼","35800","0","0.00","35050","36050","34400","273170","9613254650","496406236800","13866096"
"033180","KH 필룩스","3310","-65","-1.93","3320","3365","3255","1331909","4380434990","441202600470","133293837"
"001940","KISCO홀딩스","20650","500","2.48","20000","20650","19400","67651","1348787050","381537247000","18476380"
"025000","KPX케미칼","64000","-2000","-3.03","65700","65800","63400","13214","844887000","309760000000","4840000"
"092230","KPX홀딩스","67800","-1200","-1.74","69000","69000","67400","6215","421094600","286430998800","4224646"
"000040","KR모터스","1210","-10","-0.82","1215","1220","1175","874970","1046074035","116326215280","96137368"
"044450","KSS해운","12350","0","0.00","12250","12350","11900","196943","2387114050","286345618000","23185880"
"030200","KT","32150","-350","-1.08","32300","32600","31900","1464984","47144436100","8394744627200","261111808"
"033780","KT&G","82200","-800","-0.96","82600","82800","82000","835703","68712422600","11285443253400","137292497"
"030210","KTB투자증권","8250","90","1.10","8140","8250","7870","1095898","8837795090","497591259000","60314092"
"058850","KTcs","3365","-135","-3.86","3450","3525","3190","1506115","5082743030","143635025000","42685000"
"058860","KTis","3080","-140","-4.35","3200","3215","3035","648184","2009709445","107190160000","34802000"
"093050","LF","18800","-450","-2.34","19050","19150","18450","191423","3579825850","549712000000","29240000"
"003550","LG","97100","-1300","-1.32","97700","99100","96500","392489","38104835900","15273926420300","157300993"
"034220","LG디스플레이","23050","-450","-1.91","23200","23400","22850","3330552","76708609650","8247651885000","357815700"
"051900","LG생활건강","1720000","-43000","-2.44","1750000","1765000","1703000","34778","59782087000","26863298840000","15618197"
"051905","LG생활건강우","794000","7000","0.89","787000","794000","763000","6567","5140165000","1667159418000","2099697"
"003555","LG우","72900","-300","-0.41","73100","73400","72300","25111","1826650000","220276098000","3021620"
"032640","LG유플러스","14600","0","0.00","14550","14750","14250","2385455","34504387100","6374525870600","436611361"
"011070","LG이노텍","227500","-1000","-0.44","226500","229500","222500","161949","36628871000","5384266842500","23667107"
"066570","LG전자","159000","-1000","-0.63","158000","161500","157000","1408620","223243978000","26020002426000","163647814"
"066575","LG전자우","75300","-2000","-2.59","76500","78100","74500","258292","19480127800","1294105197600","17185992"
"037560","LG헬로비전","8390","30","0.36","8220","8470","8070","2108813","17490347020","649779197350","77446865"
"051910","LG화학","833000","-26000","-3.03","859000","865000","830000","277158","232053018000","58803421719000","70592343"
"051915","LG화학우","373000","-9500","-2.48","381500","382500","371000","23216","8675910104","2867922400000","7688800"
"079550","LIG넥스원","41650","-700","-1.65","42000","42350","41250","186932","7764703600","916300000000","22000000"
"006260","LS","67500","-1800","-2.60","68400","69100","67300","196924","13334987100","2173500000000","32200000"
"010120","LS ELECTRIC","55000","-700","-1.26","55300","55300","54300","120584","6593537900","1650000000000","30000000"
"000680","LS네트웍스","4845","-5","-0.10","4845","4940","4770","572539","2776800000","381800612520","78803016"
"229640","LS전선아시아","9050","0","0.00","9050","9160","8730","444729","3957741630","277155154950","30624879"
"001120","LX인터내셔널","30200","-950","-3.05","31000","31600","29600","447226","13511807700","1170552000000","38760000"
"108670","LX하우시스","105000","500","0.48","103500","106000","102500","123486","12840280000","941605350000","8967670"
"108675","LX하우시스우","44650","-650","-1.43","44650","45300","43650","9143","405811550","46093534500","1032330"
"383800","LX홀딩스","10650","-200","-1.84","10750","10800","10600","892855","9527845850","812389348500","76280690"
"38380K","LX홀딩스1우","17150","-150","-0.87","17000","17150","16950","28997","493286150","25129637750","1465285"
