종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","중견기업부","3045","-55","-1.77","3100","3105","3010","160385","488214610","140896757085","46271513"
"054620","APS홀딩스","중견기업부","15100","-750","-4.73","15700","16000","15000","116189","1775748200","307952737100","20394221"
"265520","AP시스템","우량기업부","29600","-350","-1.17","29900","30550","29500","225230","6735875400","428614719200","14480227"
"211270","AP위성","벤처기업부","18150","-750","-3.97","19000","19100","17900","597050","11022945150","273743817600","15082304"
"013720","CBI","중견기업부","22750","0","0.00","0","0","0","0","0","186067040250","8178771"
"035760","CJ ENM","우량기업부","179600","-200","-0.11","180000","182600","179000","146283","26464247200","3938476058400","21929154"
"051500","CJ프레시웨이","중견기업부","33900","500","1.50","33700","35400","33300","188289","6461268950","402446765400","11871586"
"058820","CMG제약","우량기업부","5010","-100","-1.96","5100","5130","4935","2078690","10427542195","695850142440","138892244"
"023460","CNH","벤처기업부","3440","-20","-0.58","3465","3480","3380","80155","275151775","127968000000","37200000"
"056000","COWON","투자주의환기종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","벤처기업부","4985","-235","-4.50","5220","5220","4930","875025","4402129525","94890222750","19035150"
"083660","CSA 코스믹","관리종목(소속부없음)","1750","-30","-1.69","1785","1785","1740","54273","95258460","66384699500","37934114"
"367340","DB금융스팩8호","SPAC(소속부없음)","2165","5","0.23","2150","2170","2145","88000","189768195","13098250000","6050000"
"367360","DB금융스팩9호","SPAC(소속부없음)","2225","50","2.30","2180","2245","2165","449317","988889040","10769000000","4840000"
"068790","DMS","우량기업부","7630","-120","-1.55","7750","7780","7530","161388","1232591110","187492455430","24573061"
"241520","DSC인베스트먼트","벤처기업부","5640","10","0.18","5840","6400","5640","4656252","27991917400","156856312920","27811403"
"245620","EDGC","기술성장기업부","5570","180","3.34","5420","5600","5180","6848823","37455735780","465819517750","83630075"
"037370","EG","중견기업부","13300","-400","-2.92","13800","13850","13100","124597","1668075800","99750000000","7500000"
"079190","EMW","관리종목(소속부없음)","2780","0","0.00","0","0","0","0","0","88360067660","31784197"
"050120","ES큐브","중견기업부","6360","20","0.32","6330","6420","6020","287783","1791894190","86267586960","13564086"
"130500","GH신소재","중견기업부","8330","630","8.18","7600","8650","7350","5682738","45994385580","91630000000","11000000"
"900290","GRT","관리종목(소속부없음)","951","0","0.00","0","0","0","0","0","64073625000","67375000"
"083450","GST","우량기업부","26350","-600","-2.23","26950","27000","26150","133441","3531673300","245522580750","9317745"
"028150","GS홈쇼핑","우량기업부","154900","0","0.00","0","0","0","0","0","1016531250000","6562500"
"045890","GV","관리종목(소속부없음)","240","0","0.00","0","0","0","0","0","20823884880","86766187"
"078150","HB테크놀러지","우량기업부","2840","-70","-2.41","2935","2945","2795","1512624","4315746630","224332809840","78990426"
"036640","HRS","중견기업부","6060","-290","-4.57","6350","6390","6060","374433","2317814150","99110088000","16354800"
"335870","IBKS제12호스팩","SPAC(소속부없음)","2285","5","0.22","2270","2285","2240","52475","118467765","7129200000","3120000"
"351340","IBKS제13호스팩","SPAC(소속부없음)","2195","5","0.23","2180","2215","2180","16130","35318635","11348150000","5170000"
"351320","IBKS제14호스팩","SPAC(소속부없음)","2280","0","0.00","0","0","0","0","0","9872400000","4330000"
"373200","IBKS제15호스팩","SPAC(소속부없음)","2250","-15","-0.66","2270","2280","2220","84388","188725025","7920000000","3520000"
"095340","ISC","우량기업부","23300","-600","-2.51","23900","23900","23050","187946","4393364250","381060455800","16354526"
"099520","ITX-AI","관리종목(소속부없음)","1285","0","0.00","0","0","0","0","0","37652662655","29301683"
"950170","JTC","외국기업(소속부없음)","5200","-190","-3.53","5310","5370","5180","192353","1013205490","182028688400","35005517"
"067290","JW신약","중견기업부","5150","-140","-2.65","5270","5300","5100","171986","890210850","226274818700","43936858"
"035900","JYP Ent.","우량기업부","39000","-100","-0.26","39500","39650","38300","443342","17270359400","1384402188000","35497492"
"024840","KBI메탈","우량기업부","2580","-35","-1.34","2630","2645","2550","579309","1502312865","85013187840","32950848"
"024120","KB오토시스","우량기업부","8650","-70","-0.80","8720","8830","8590","71617","620644180","99475000000","11500000"
"021320","KCC건설","우량기업부","10250","-350","-3.30","10550","10550","10150","62331","640946800","219350000000","21400000"
"036670","KCI","우량기업부","9940","-160","-1.58","10050","10100","9810","66984","666192450","112023800000","11270000"
"044180","KD","중견기업부","1995","-125","-5.90","2150","2155","1925","2241112","4480791840","32968093200","16525360"
"151860","KG ETS","우량기업부","23850","-100","-0.42","24350","26750","23850","5507975","138542879500","858600000000","36000000"
"046440","KG모빌리언스","우량기업부","10900","-250","-2.24","11200","11250","10800","555308","6119210850","423198691200","38825568"
"035600","KG이니시스","우량기업부","21000","-550","-2.55","21600","21750","20900","192083","4068614700","585993114000","27904434"
"226360","KH E&T","벤처기업부","2000","-80","-3.85","2080","2095","1985","620328","1251009005","108669006000","54334503"
"111870","KH 일렉트론","중견기업부","1110","-20","-1.77","1130","1140","1105","459939","512786130","112173232260","101056966"
"060720","KH바텍","중견기업부","20750","-600","-2.81","21350","21550","20000","239420","4997261700","491233487250","23673903"
"122450","KMH","중견기업부","13950","50","0.36","13900","14000","13550","535614","7367144600","632436697800","45335964"
"052900","KMH하이텍","중견기업부","2010","-45","-2.19","2055","2090","2005","1153811","2358495945","94239852990","46885499"
"058400","KNN","우량기업부","2080","-60","-2.80","2125","2160","2055","2277146","4775079790","275453817600","132429720"
"114450","KPX생명과학","중견기업부","10700","-200","-1.83","10800","10950","10300","623285","6593629300","160500000000","15000000"
"036030","KTH","중견기업부","11950","300","2.58","11650","12200","11500","1265983","15134503000","426794512900","35715022"
"060370","KT서브마린","중견기업부","7270","-330","-4.34","7610","7700","7250","406511","3004098040","159213000000","21900000"
"160550","NEW","중견기업부","9580","-140","-1.44","9720","9750","9550","235374","2266207970","267340495480","27906106"
"053290","NE능률","중견기업부","19100","-850","-4.26","20050","20150","18650","917411","17526350300","315652463700","16526307"
"104200","NHN벅스","중견기업부","6330","-100","-1.56","6430","6490","6250","36264","229600140","93858391500","14827550"
"060250","NHN한국사이버결제","우량기업부","57900","-1300","-2.20","59000","59200","57100","122395","7086503400","1418710325100","24502769"
"030190","NICE평가정보","우량기업부","24250","-450","-1.82","24650","24900","24050","75201","1833864500","1472334385000","60714820"
"078590","OQP","관리종목(소속부없음)","3890","0","0.00","0","0","0","0","0","322897066620","83006958"
"178920","PI첨단소재","우량기업부","53700","-800","-1.47","54500","55200","52800","254103","13622374150","1576971491400","29366322"
"024940","PN풍년","벤처기업부","9870","-880","-8.19","10600","11200","9770","950786","9721184900","98700000000","10000000"
"218410","RFHIC","우량기업부","37550","-1050","-2.72","38600","38600","37450","252603","9533500900","895478131000","23847620"
"327260","RF머트리얼즈","벤처기업부","28200","-700","-2.42","28900","28900","27900","50875","1433194000","104161268400","3693662"
"091340","S&K폴리텍","중견기업부","5700","-180","-3.06","5840","5890","5630","104690","599290190","66711209700","11703721"
"019550","SBI인베스트먼트","벤처기업부","1920","135","7.56","2115","2215","1910","89426139","185925466730","311167824000","162066575"
"950110","SBI핀테크솔루션즈","외국기업(소속부없음)","8200","-170","-2.03","8470","8570","8160","57965","486055200","197193928000","24048040"
"046140","SBS콘텐츠허브","우량기업부","8570","-130","-1.49","8700","8740","8400","98080","834252380","183942666350","21463555"
"036120","SCI평가정보","중견기업부","3920","-70","-1.75","3975","4015","3905","198328","784849855","139160000000","35500000"
"099220","SDN","우량기업부","3105","-105","-3.27","3185","3260","3105","1401814","4419827735","149594906970","48178714"
"036540","SFA반도체","우량기업부","7370","-270","-3.53","7610","7620","7350","2209228","16473796960","1212072433110","164460303"
"255220","SG","중견기업부","2440","-80","-3.17","2515","2565","2380","967216","2355225040","99541542160","40795714"
"040610","SG&G","중견기업부","3130","-105","-3.25","3220","3250","3070","792910","2494313725","106692923480","34087196"
"049470","SGA","중견기업부","1400","-35","-2.44","1435","1470","1370","2305031","3286563455","73377148600","52412249"
"184230","SGA솔루션즈","벤처기업부","1825","0","0.00","1830","1880","1730","2432254","4430088550","78326226000","42918480"
"016250","SGC이테크건설","우량기업부","65700","-2500","-3.67","67700","68000","65600","22814","1513926100","132993027900","2024247"
