종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","중견기업부","2920","-15","-0.51","2935","2945","2880","249690","724564155","135112817960","46271513"
"054620","APS홀딩스","중견기업부","19400","1400","7.78","17900","19650","17600","517442","9838864150","395647887400","20394221"
"265520","AP시스템","우량기업부","30600","-100","-0.33","30450","30700","30050","108050","3275905750","443094946200","14480227"
"211270","AP위성","벤처기업부","16900","250","1.50","16750","16900","16400","262404","4379836000","254890937600","15082304"
"013720","CBI","중견기업부","22750","0","0.00","0","0","0","0","0","186067040250","8178771"
"035760","CJ ENM","우량기업부","178300","-800","-0.45","178500","179300","176400","59941","10674808900","3909968158200","21929154"
"051500","CJ프레시웨이","중견기업부","32200","-50","-0.16","32750","33350","31750","104882","3386730350","382265069200","11871586"
"058820","CMG제약","우량기업부","4860","-50","-1.02","4910","4915","4810","906943","4399773810","675016305840","138892244"
"023460","CNH","벤처기업부","3420","0","0.00","3420","3450","3385","42301","144127705","127224000000","37200000"
"056730","CNT85","관리종목(소속부없음)","1550","0","0.00","0","0","0","0","0","109591063600","70703912"
"056000","COWON","투자주의환기종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","벤처기업부","4920","20","0.41","4880","4985","4865","256978","1262034950","95128972440","19335157"
"083660","CSA 코스믹","관리종목(소속부없음)","1730","0","0.00","1755","1770","1715","35955","62586845","65626017220","37934114"
"367340","DB금융스팩8호","SPAC(소속부없음)","2190","10","0.46","2200","2200","2180","53518","117180310","13249500000","6050000"
"367360","DB금융스팩9호","SPAC(소속부없음)","2195","5","0.23","2200","2220","2175","274471","603120465","10623800000","4840000"
"068790","DMS","우량기업부","7500","-140","-1.83","7610","7620","7500","127169","960166400","184297957500","24573061"
"241520","DSC인베스트먼트","벤처기업부","5610","-90","-1.58","5680","5680","5600","198850","1117452060","156021970830","27811403"
"245620","EDGC","기술성장기업부","5180","-10","-0.19","5210","5260","5090","800908","4124678760","433203788500","83630075"
"037370","EG","중견기업부","13450","250","1.89","13300","13450","13000","65773","865759650","100875000000","7500000"
"079190","EMW","관리종목(소속부없음)","2780","0","0.00","0","0","0","0","0","88360067660","31784197"
"050120","ES큐브","중견기업부","6160","-50","-0.81","6210","6240","6080","43955","270676340","83554769760","13564086"
"130500","GH신소재","중견기업부","8020","-300","-3.61","8300","8300","7910","730314","5892243600","88220000000","11000000"
"900290","GRT","관리종목(소속부없음)","951","0","0.00","0","0","0","0","0","64073625000","67375000"
"083450","GST","우량기업부","28200","1250","4.64","27200","29800","27200","1139155","32646545650","262760409000","9317745"
"045890","GV","관리종목(소속부없음)","240","0","0.00","0","0","0","0","0","20823884880","86766187"
"078150","HB테크놀러지","우량기업부","3215","-30","-0.92","3240","3340","3155","2336102","7602069800","253954219590","78990426"
"036640","HRS","중견기업부","6200","-100","-1.59","6350","6350","6150","226772","1407788890","101399760000","16354800"
"335870","IBKS제12호스팩","SPAC(소속부없음)","2455","-5","-0.20","2460","2460","2405","102578","250486130","7659600000","3120000"
