종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","6000","-80","-1.32","6090","6090","5930","57002","342327550","280933770000","46822295"
"006840","AK홀딩스","32750","150","0.46","32900","33050","32050","27937","913926300","433857622750","13247561"
"027410","BGF","6560","-100","-1.50","6660","6680","6540","384905","2534130390","627902148960","95716791"
"282330","BGF리테일","170000","-9500","-5.29","177500","178000","166500","131003","22243998000","2938264020000","17283906"
"138930","BNK금융지주","7650","-80","-1.03","7750","7750","7610","1222237","9341358220","2493404631900","325935246"
"001460","BYC","416500","-5000","-1.19","421500","422000","416500","242","101109500","260152147500","624615"
"001465","BYC우","187500","1500","0.81","186500","187500","184000","210","39019500","40384687500","215385"
"001040","CJ","106500","-500","-0.47","107500","108500","106500","67195","7204108000","3107350287000","29176998"
"079160","CJ CGV","30200","-300","-0.98","30500","30650","30100","225012","6810698800","1060020000000","35100000"
"00104K","CJ4우(전환)","89500","-800","-0.89","90300","90400","88700","13828","1234812400","378272824000","4226512"
"000120","CJ대한통운","182000","5000","2.82","177000","183500","176500","78265","14184146500","4151846608000","22812344"
"011150","CJ씨푸드","4800","85","1.80","4715","4875","4695","1116887","5353569155","172467710400","35930773"
"011155","CJ씨푸드1우","44150","150","0.34","44900","45000","43750","289","12917000","8830000000","200000"
"001045","CJ우","64300","-800","-1.23","65700","65700","64200","5938","383433300","145332338900","2260223"
"097950","CJ제일제당","454000","-7000","-1.52","459000","462000","453500","36600","16688096500","6834600444000","15054186"
"097955","CJ제일제당 우","209500","-500","-0.24","210000","211000","208500","3799","796767500","278097213500","1327433"
"000590","CS홀딩스","72200","600","0.84","71600","73300","71600","4787","346971800","83353600400","1154482"
"012030","DB","1040","-15","-1.42","1055","1065","1040","891710","932708370","209220890320","201173933"
"016610","DB금융투자","7160","-80","-1.10","7240","7270","7090","250185","1790411490","303916145240","42446389"
"005830","DB손해보험","53700","-1100","-2.01","54600","54700","53500","164883","8909527000","3801960000000","70800000"
"000990","DB하이텍","62400","0","0.00","62600","63300","61500","978387","60957282900","2770471891200","44398588"
"000995","DB하이텍1우","121500","0","0.00","121500","121500","120500","499","60592000","13646394000","112316"
"139130","DGB금융지주","9180","-120","-1.29","9300","9330","9140","502182","4618293740","1552758746940","169145833"
"001530","DI동일","197500","1000","0.51","198000","199500","195000","9623","1894173000","495854362500","2510655"
"000210","DL","79700","-300","-0.38","79800","80200","79200","92464","7362525900","1670183954800","20955884"
"001880","DL건설","35650","-100","-0.28","35800","36000","35400","54504","1945007250","786199574600","22053284"
"000215","DL우","46550","-200","-0.43","47300","47300","45600","6250","291614900","78488653250","1686115"
"375500","DL이앤씨","143500","1500","1.06","142500","148000","142500","350684","51010766000","2777978903000","19358738"
"37550K","DL이앤씨우","79800","-100","-0.13","79600","81100","79400","17049","1370695200","168688023000","2113885"
"004840","DRB동일","8020","-150","-1.84","8190","8200","8000","55194","444782500","159838600000","19930000"
"155660","DSR","7380","160","2.22","7220","7410","7190","125004","916007030","118080000000","16000000"
"069730","DSR제강","7270","330","4.76","6930","7320","6890","350795","2508235420","104688000000","14400000"
