종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5780","-140","-2.36","5860","5940","5750","63836","371440050","270632865100","46822295"
"006840","AK홀딩스","34400","-1000","-2.82","35500","35600","34150","103691","3580613850","455716098400","13247561"
"027410","BGF","7050","30","0.43","7020","7150","7000","345706","2438078760","674803376550","95716791"
"282330","BGF리테일","184000","2500","1.38","182500","188500","181500","39293","7234372000","3180238704000","17283906"
"138930","BNK금융지주","7990","40","0.50","7940","8000","7890","1299625","10347296750","2604222615540","325935246"
"001460","BYC","448000","14500","3.34","434500","498500","434500","4533","2088211000","279827520000","624615"
"001465","BYC우","193500","6000","3.20","194000","194500","189000","629","121100500","41676997500","215385"
"001040","CJ","114500","0","0.00","115000","118000","114500","221664","25727803500","3340766271000","29176998"
"079160","CJ CGV","33100","-350","-1.05","33550","34000","32700","950431","31454040150","1161810000000","35100000"
"00104K","CJ4우(전환)","92000","800","0.88","91200","92400","90200","7240","664335500","388839104000","4226512"
"000120","CJ대한통운","169500","-500","-0.29","170000","170500","168500","46783","7916875000","3866692308000","22812344"
"011150","CJ씨푸드","4820","105","2.23","4750","4880","4715","1188132","5716242365","173186325860","35930773"
"011155","CJ씨푸드1우","44350","-50","-0.11","44800","44800","43800","1333","58735100","8870000000","200000"
"001045","CJ우","66700","300","0.45","66400","67800","66300","3993","267258600","150756874100","2260223"
"097950","CJ제일제당","485500","-3000","-0.61","489500","491000","476000","57895","27917892500","7308807303000","15054186"
"097955","CJ제일제당 우","223000","-1000","-0.45","224000","224500","219500","6274","1391265000","296017559000","1327433"
"000590","CS홀딩스","75600","1000","1.34","74900","76000","74800","3064","231093400","87278839200","1154482"
"012030","DB","1055","45","4.46","1045","1080","1015","5723415","5982360260","212238499315","201173933"
"016610","DB금융투자","7220","50","0.70","7170","7300","7120","180173","1301875710","306462928580","42446389"
"005830","DB손해보험","51300","600","1.18","50900","51400","50100","96454","4928111600","3632040000000","70800000"
"000990","DB하이텍","52100","500","0.97","51900","52500","51400","468216","24361980200","2313166434800","44398588"
"000995","DB하이텍1우","123000","4000","3.36","120000","123500","120000","463","56434500","13814868000","112316"
"139130","DGB금융지주","9390","-70","-0.74","9420","9490","9380","309690","2920704960","1588279371870","169145833"
"001530","DI동일","182000","3000","1.68","180000","185000","178500","11635","2117070500","456939210000","2510655"
"000210","DL","82800","700","0.85","82100","83800","81800","175462","14533461900","1278536493600","15441262"
"001880","DL건설","36650","350","0.96","36300","36850","36200","105426","3855593700","808252858600","22053284"
"000215","DL우","48500","0","0.00","49400","49400","48500","4229","206247700","81776577500","1686115"
"375500","DL이앤씨","135000","500","0.37","134500","135500","133500","76281","10272101500","2613429630000","19358738"
"37550K","DL이앤씨우","77800","0","0.00","78100","78700","77500","7265","565661000","164460253000","2113885"
"004840","DRB동일","7880","700","9.75","7190","7880","7160","1019939","7796488200","157048400000","19930000"
"155660","DSR","6950","-30","-0.43","7040","7060","6860","131616","917173190","111200000000","16000000"
"069730","DSR제강","6340","10","0.16","6290","6390","6250","92015","581996260","91296000000","14400000"
"017940","E1","55800","600","1.09","55700","56400","54700","26884","1492755800","382788000000","6860000"
"365550","ESR켄달스퀘어리츠","6790","180","2.72","6590","6840","6520","468792","3149982810","972728610000","143259000"
"383220","F&F","492500","43000","9.57","449500","495000","447000","137800","65650022500","3773246887500","7661415"
"007700","F&F홀딩스","39600","700","1.80","39050","39850","38650","333463","13090706850","306447966000","7738585"
"114090","GKL","18550","-400","-2.11","19100","19150","18350","634622","11811502450","1147422678500","61855670"
"078930","GS","48050","1950","4.23","46250","48550","46250","595903","28470822200","4464583912900","92915378"
"006360","GS건설","44850","100","0.22","44900","45100","44350","615245","27545983350","3834265429800","85490868"
"001250","GS글로벌","2890","65","2.30","2815","2920","2815","1355849","3916815710","238522577960","82533764"
"007070","GS리테일","39200","-50","-0.13","39350","39800","38950","773328","30398650350","3018400000000","77000000"
"078935","GS우","39050","700","1.83","38550","39150","38500","6917","269699500","69697455300","1784826"
"012630","HDC","14400","250","1.77","14250","14500","14200","582214","8362488750","860280782400","59741721"
"039570","HDC아이콘트롤스","13450","150","1.13","13350","13550","12900","124500","1654313250","221387000000","16460000"
"089470","HDC현대EP","6060","30","0.50","6050","6120","6040","218457","1327071780","193314000000","31900000"
"294870","HDC현대산업개발","29550","-50","-0.17","29700","29750","29300","487228","14361471300","1947561601500","65907330"
"011200","HMM","47650","-250","-0.52","47100","47900","46050","10632345","499716358800","16457952005550","345392487"
"082740","HSD엔진","10850","400","3.83","10350","10950","10150","1742837","18721741250","440503728700","40599422"
"003560","IHQ","2285","-105","-4.39","2365","2425","2265","4919393","11333464180","334148684180","146235748"
"175330","JB금융지주","7700","10","0.13","7730","7730","7680","345608","2658872400","1516768283800","196982894"
"234080","JW생명과학","18600","50","0.27","18600","18650","18500","40276","748190750","294522704400","15834554"
"001060","JW중외제약","29300","300","1.03","29100","29300","28950","49535","1443731200","631119831800","21539926"
"001067","JW중외제약2우B","72900","1300","1.82","71800","73700","70100","1776","128061100","6781741200","93028"
"001065","JW중외제약우","49500","350","0.71","48700","50900","48650","5013","249576600","8785557000","177486"
"096760","JW홀딩스","4700","10","0.21","4695","4715","4675","68583","321785670","321673555400","68441182"
"105560","KB금융","58800","0","0.00","58800","59000","58000","921289","53967953600","24449505696000","415807920"
"002380","KCC","314000","6500","2.11","308000","314500","307500","44481","13882374500","2790351894000","8886471"
"009070","KCTC","7600","0","0.00","7660","7700","7530","526083","4007409230","228000000000","30000000"
"009440","KC그린홀딩스","5150","60","1.18","5170","5190","5080","320093","1642084290","115540147000","22434980"
"119650","KC코트렐","7790","-30","-0.38","7760","7850","7660","167275","1300905720","101270000000","13000000"
"092220","KEC","2330","170","7.87","2175","2340","2140","4962868","11204248705","271927170200","116706940"
"016380","KG동부제철","20100","150","0.75","19950","20800","19850","519900","10542964350","2010178829700","100008897"
"016385","KG동부제철우","143000","1500","1.06","140000","144000","139500","565","80359500","7634055000","53385"
"001390","KG케미칼","30450","500","1.67","29950","30950","29600","175087","5322543750","422222623200","13866096"
"033180","KH 필룩스","3285","45","1.39","3240","3315","3230","997426","3269273440","436017813480","132729928"
"001940","KISCO홀딩스","19000","-100","-0.52","19100","19200","18750","39601","751829100","351051220000","18476380"
"025000","KPX케미칼","65700","200","0.31","65600","66000","65200","9098","595744500","317988000000","4840000"
"092230","KPX홀딩스","73500","1300","1.80","71700","74200","71700","16545","1208337400","310511481000","4224646"
"000040","KR모터스","1175","5","0.43","1180","1190","1155","480096","563380340","112961407400","96137368"
"044450","KSS해운","12400","100","0.81","12300","12400","12150","161345","1986064500","287504912000","23185880"
"030200","KT","34100","-100","-0.29","34350","34450","34050","1022983","35007350200","8903912652800","261111808"
"033780","KT&G","85300","1000","1.19","84500","85500","84400","727684","61984271900","11711049994100","137292497"
"030210","KTB투자증권","6080","180","3.05","5910","6390","5850","6966905","41956089320","366709679360","60314092"
"058850","KTcs","3225","-40","-1.23","3270","3275","3185","1080375","3483595930","137659125000","42685000"
"058860","KTis","3260","-50","-1.51","3310","3340","3185","688736","2230419690","113454520000","34802000"
"093050","LF","20950","-50","-0.24","21150","21200","20550","113584","2363184050","612578000000","29240000"
"003550","LG","101000","0","0.00","101000","103000","99700","537456","54378704000","15887400293000","157300993"
"034220","LG디스플레이","24600","600","2.50","24050","24700","23750","5046067","123612555100","8802266220000","357815700"
"001120","LG상사","31200","200","0.65","31000","31600","30950","230274","7186334800","1209312000000","38760000"
"051900","LG생활건강","1539000","-20000","-1.28","1556000","1560000","1533000","22256","34391339000","24036405183000","15618197"
"051905","LG생활건강우","709000","-11000","-1.53","714000","722000","709000","5146","3659928000","1488685173000","2099697"
"003555","LG우","73000","2300","3.25","70700","73700","70600","36051","2602893200","220578260000","3021620"
"032640","LG유플러스","15400","300","1.99","15100","15450","15050","2189307","33619950550","6723814959400","436611361"
"011070","LG이노텍","203000","-1500","-0.73","203500","204500","201500","87600","17787191000","4804422721000","23667107"
"066570","LG전자","151500","-500","-0.33","151500","153000","150000","656695","99493011000","24792643821000","163647814"
