종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","중견기업부","3155","85","2.77","3110","3250","3105","394731","1248043350","145986623515","46271513"
"054620","APS홀딩스","중견기업부","15900","50","0.32","15700","16200","15700","54163","862205000","324268113900","20394221"
"265520","AP시스템","우량기업부","30300","-900","-2.88","31000","31100","30250","379719","11554533500","438750878100","14480227"
"211270","AP위성","벤처기업부","17650","0","0.00","17650","18050","17600","192633","3428436650","266202665600","15082304"
"013720","CBI","중견기업부","22750","0","0.00","0","0","0","0","0","186067040250","8178771"
"035760","CJ ENM","우량기업부","184300","1300","0.71","183100","185200","183000","101718","18747386600","4041543082200","21929154"
"051500","CJ프레시웨이","중견기업부","32100","-1450","-4.32","33300","33650","32050","145790","4752175050","381077910600","11871586"
"058820","CMG제약","우량기업부","5350","-40","-0.74","5390","5470","5330","1667176","8981632210","743073505400","138892244"
"023460","CNH","벤처기업부","3560","25","0.71","3535","3625","3530","71610","255181620","132432000000","37200000"
"056000","COWON","투자주의환기종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","벤처기업부","5840","40","0.69","5820","6010","5800","608215","3581057170","111165276000","19035150"
"083660","CSA 코스믹","관리종목(소속부없음)","1815","-20","-1.09","1840","1850","1815","66595","121756930","67285761675","37072045"
"367340","DB금융스팩8호","SPAC(소속부없음)","2145","25","1.18","2125","2145","2120","90658","192971315","12977250000","6050000"
"367360","DB금융스팩9호","SPAC(소속부없음)","2135","5","0.23","2130","2140","2110","119738","254340425","10333400000","4840000"
"068790","DMS","우량기업부","7740","-60","-0.77","7820","7830","7720","91272","708838320","190195492140","24573061"
"241520","DSC인베스트먼트","벤처기업부","5600","-10","-0.18","5610","5640","5530","171082","952931010","155743856800","27811403"
"245620","EDGC","기술성장기업부","5350","-30","-0.56","5380","5430","5290","1002517","5375519930","447420901250","83630075"
"037370","EG","중견기업부","13550","-250","-1.81","13800","13950","13350","133967","1820156750","101625000000","7500000"
"079190","EMW","관리종목(소속부없음)","2780","0","0.00","0","0","0","0","0","88360067660","31784197"
"050120","ES큐브","중견기업부","6830","280","4.27","6550","6950","6500","314557","2126492450","92642707380","13564086"
"130500","GH신소재","중견기업부","6970","-190","-2.65","7170","7200","6590","319980","2221463640","76670000000","11000000"
"900290","GRT","관리종목(소속부없음)","951","0","0.00","0","0","0","0","0","64073625000","67375000"
"083450","GST","우량기업부","26900","-550","-2.00","27400","27400","26650","116223","3138724650","250647340500","9317745"
"028150","GS홈쇼핑","우량기업부","154900","0","0.00","0","0","0","0","0","1016531250000","6562500"
"045890","GV","관리종목(소속부없음)","240","0","0.00","0","0","0","0","0","20823884880","86766187"
"078150","HB테크놀러지","우량기업부","3065","-55","-1.76","3100","3165","3065","1052504","3261599720","242105655690","78990426"
"036640","HRS","중견기업부","6270","-20","-0.32","6290","6450","6230","330683","2100849530","102544596000","16354800"
"335870","IBKS제12호스팩","SPAC(소속부없음)","2210","10","0.45","2175","2225","2175","42929","94571890","6895200000","3120000"
"351340","IBKS제13호스팩","SPAC(소속부없음)","2160","0","0.00","2155","2185","2155","55914","120935215","11167200000","5170000"
"351320","IBKS제14호스팩","SPAC(소속부없음)","2280","0","0.00","0","0","0","0","0","9872400000","4330000"
"373200","IBKS제15호스팩","SPAC(소속부없음)","2200","30","1.38","2175","2220","2170","44651","97693895","7744000000","3520000"
"095340","ISC","우량기업부","24700","250","1.02","24700","25000","24250","351144","8635581800","403956792200","16354526"
"099520","ITX-AI","관리종목(소속부없음)","1285","0","0.00","0","0","0","0","0","37652662655","29301683"
"950170","JTC","외국기업(소속부없음)","5290","-160","-2.94","5450","5510","5220","225211","1201564790","185179184930","35005517"
"067290","JW신약","중견기업부","5400","80","1.50","5330","5420","5200","327138","1732749520","237259033200","43936858"
"035900","JYP Ent.","우량기업부","40100","-650","-1.60","41900","41950","38950","1547696","61811648400","1423449429200","35497492"
"024840","KBI메탈","우량기업부","2675","25","0.94","2650","2690","2645","394389","1052297695","88143518400","32950848"
"024120","KB오토시스","우량기업부","8870","-20","-0.22","8900","8930","8810","23075","204390700","102005000000","11500000"
"021320","KCC건설","우량기업부","10750","300","2.87","10450","10900","10300","123475","1321508100","230050000000","21400000"
"036670","KCI","우량기업부","10150","-100","-0.98","10250","10300","10000","79693","806944500","114390500000","11270000"
"044180","KD","중견기업부","2455","565","29.89","2350","2455","2240","5652434","13354611970","40569758800","16525360"
"151860","KG ETS","우량기업부","23700","-1500","-5.95","24700","24750","23550","2908611","69750907150","853200000000","36000000"
"046440","KG모빌리언스","우량기업부","10750","-50","-0.46","10900","10900","10750","309237","3343045050","417374856000","38825568"
"035600","KG이니시스","우량기업부","21600","-50","-0.23","21600","21700","21400","152586","3285050700","602735774400","27904434"
"226360","KH E&T","벤처기업부","2110","-20","-0.94","2155","2185","2070","679697","1440150850","114645801330","54334503"
"111870","KH 일렉트론","중견기업부","1105","-5","-0.45","1110","1120","1095","373583","412769040","111166814460","100603452"
"060720","KH바텍","중견기업부","21650","-50","-0.23","21600","21900","21550","161787","3510490300","512539999950","23673903"
"122450","KMH","중견기업부","13650","-200","-1.44","13850","13900","13650","307038","4211141550","618835908600","45335964"
"052900","KMH하이텍","중견기업부","1975","15","0.77","1975","2010","1965","983958","1956818325","92598860525","46885499"
"058400","KNN","우량기업부","2200","155","7.58","2075","2200","2055","9649447","20954115670","291345384000","132429720"
"114450","KPX생명과학","중견기업부","10100","-50","-0.49","10150","10150","9850","264923","2649642770","151500000000","15000000"
"036030","KTH","중견기업부","11650","-150","-1.27","11850","11900","11650","200384","2354772400","416080006300","35715022"
"060370","KT서브마린","중견기업부","7730","70","0.91","7660","7860","7630","248144","1924064630","169287000000","21900000"
"065150","MP그룹","관리종목(소속부없음)","935","-4","-0.43","944","953","893","751052","696084015","117139048675","125282405"
"160550","NEW","중견기업부","9790","-40","-0.41","9870","10050","9750","197711","1954130380","273200777740","27906106"
"053290","NE능률","중견기업부","19450","-1250","-6.04","20700","21650","18650","3642181","72340913200","321436671150","16526307"
"104200","NHN벅스","중견기업부","6350","150","2.42","6200","6350","6150","39124","245804630","94154942500","14827550"
"060250","NHN한국사이버결제","우량기업부","57000","-600","-1.04","58500","58500","56400","105222","5997692300","1396657833000","24502769"
"030190","NICE평가정보","우량기업부","25450","150","0.59","25300","25600","25000","97506","2466415900","1545192169000","60714820"
"078590","OQP","관리종목(소속부없음)","3890","0","0.00","0","0","0","0","0","322897066620","83006958"
"178920","PI첨단소재","우량기업부","54500","-800","-1.45","55600","55800","54300","147161","8072940300","1600464549000","29366322"
"024940","PN풍년","벤처기업부","11350","750","7.08","10600","11600","10400","1835850","20443076750","113500000000","10000000"
"218410","RFHIC","우량기업부","40200","200","0.50","40000","40350","39600","164613","6593427250","958674324000","23847620"
"327260","RF머트리얼즈","벤처기업부","29650","-250","-0.84","29800","30200","29600","28319","843865650","106638834200","3596588"
"091340","S&K폴리텍","중견기업부","6000","-10","-0.17","6010","6060","5940","40861","244795890","70222326000","11703721"
"019550","SBI인베스트먼트","벤처기업부","1795","15","0.84","1780","1805","1775","794857","1424337480","290909502125","162066575"
"950110","SBI핀테크솔루션즈","외국기업(소속부없음)","8400","10","0.12","8390","8420","8270","30302","253529450","202003536000","24048040"
"046140","SBS콘텐츠허브","우량기업부","8870","-60","-0.67","8900","8940","8770","45860","404881200","190381732850","21463555"
"036120","SCI평가정보","중견기업부","4010","-30","-0.74","4055","4060","4010","77367","311298565","142355000000","35500000"
"099220","SDN","우량기업부","3260","40","1.24","3230","3345","3150","4290127","14053482340","157062607640","48178714"
"036540","SFA반도체","우량기업부","7330","-50","-0.68","7390","7400","7290","1163695","8517879450","1205494020990","164460303"
"255220","SG","중견기업부","2500","60","2.46","2460","2515","2430","639519","1591084610","101989285000","40795714"
"040610","SG&G","중견기업부","3525","145","4.29","3365","3770","3330","6472814","23158718750","120157365900","34087196"
"049470","SGA","벤처기업부","1395","-45","-3.13","1435","1435","1360","2474606","3436481090","73115087355","52412249"
"184230","SGA솔루션즈","벤처기업부","1770","0","0.00","1775","1775","1715","924995","1615551780","75965709600","42918480"
"016250","SGC이테크건설","우량기업부","69400","0","0.00","68900","70100","68600","10610","734867200","140482741800","2024247"
"307070","SK4호스팩","관리종목(소속부없음)","2035","0","0.00","2035","2035","2030","817713","1663855130","10500600000","5160000"
"337450","SK5호스팩","SPAC(소속부없음)","2385","30","1.27","2400","2495","2310","733628","1753342915","10279350000","4310000"
"340350","SK6호스팩","SPAC(소속부없음)","2135","15","0.71","2115","2150","2115","247277","526111435","12190850000","5710000"
"036490","SK머티리얼즈","우량기업부","346100","2800","0.82","344000","348200","340100","20262","6998641800","3650549625300","10547673"
"048550","SM C&C","중견기업부","3260","-60","-1.81","3290","3295","3160","3938134","12667399750","308756621200","94710620"
"063440","SM Life Design","중견기업부","2870","-25","-0.86","2910","2910","2850","630582","1813532650","129520671980","45129154"
"950180","SNK","외국기업(소속부없음)","21200","-150","-0.70","21250","21500","21150","41893","892279000","446510160000","21061800"
"289080","SV인베스트먼트","중견기업부","4265","-40","-0.93","4305","4325","4255","409700","1753877855","227043010000","53234000"
"089230","THE E&M","중견기업부","977","-3","-0.31","980","1010","977","3598621","3561670699","164035324058","167896954"
"161570","THE MIDONG","중견기업부","1865","-35","-1.84","1900","1950","1865","179680","341656755","29061977950","15582830"
"192410","THQ","중견기업부","3625","-30","-0.82","3655","3680","3600","113778","412352345","104516489375","28832135"
"032540","TJ미디어","중견기업부","5310","-70","-1.30","5350","5420","5180","64734","341637420","73976843790","13931609"
"048770","TPC","중견기업부","4560","50","1.11","4510","4600","4510","262235","1198009420","67367488320","14773572"
"246690","TS인베스트먼트","중견기업부","4290","-90","-2.05","4400","4410","4245","1399348","6058362475","167850020910","39125879"
"317240","TS트릴리온","벤처기업부","1340","5","0.37","1335","1350","1320","449905","598531820","122052631020","91084053"
"038340","UCI","투자주의환기종목(소속부없음)","445","0","0.00","0","0","0","0","0","16641828315","37397367"
"073570","WI","중견기업부","1870","35","1.91","1820","1920","1805","10533232","19533260975","151292112510","80904873"
"057030","YBM넷","중견기업부","8590","30","0.35","8470","8670","8460","345684","2957052600","140126067230","16312697"
"040300","YTN","중견기업부","3925","-40","-1.01","3960","3965","3880","52395","205262400","164850000000","42000000"
"051390","YW","중견기업부","5150","-50","-0.96","5200","5480","5150","49028","256401750","58480145200","11355368"
"052220","iMBC","중견기업부","4185","-55","-1.30","4250","4265","4170","119682","503213690","96255000000","23000000"
"079940","가비아","우량기업부","16000","-800","-4.76","16800","17200","16000","617477","10109436800","216570944000","13535684"
"078890","가온미디어","우량기업부","13700","-50","-0.36","13950","14200","13650","660883","9204945800","217171660200","15851946"
