종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","중견기업부","3070","5","0.16","3070","3080","3005","168352","513133915","142053544910","46271513"
"054620","APS홀딩스","중견기업부","15850","50","0.32","15650","15850","15500","48976","766179500","323248402850","20394221"
"265520","AP시스템","우량기업부","31200","-550","-1.73","31850","31850","30950","208308","6512277750","451783082400","14480227"
"211270","AP위성","벤처기업부","17650","-650","-3.55","18450","18450","17600","424302","7579555850","266202665600","15082304"
"013720","CBI","중견기업부","22750","0","0.00","0","0","0","0","0","186067040250","8178771"
"035760","CJ ENM","우량기업부","183000","300","0.16","182700","185300","181700","112439","20620487700","4013035182000","21929154"
"051500","CJ프레시웨이","중견기업부","33550","-550","-1.61","34100","34250","33250","52927","1772016050","398291710300","11871586"
"058820","CMG제약","우량기업부","5390","120","2.28","5300","5400","5220","1842930","9801162430","748629195160","138892244"
"023460","CNH","벤처기업부","3535","0","0.00","3535","3565","3500","69580","245229995","131502000000","37200000"
"056000","COWON","투자주의환기종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","벤처기업부","5800","80","1.40","5690","6050","5570","1360937","8006587170","110403870000","19035150"
"083660","CSA 코스믹","관리종목(소속부없음)","1835","-15","-0.81","1845","1845","1810","45329","82752115","68027202575","37072045"
"367340","DB금융스팩8호","SPAC(소속부없음)","2120","0","0.00","2125","2130","2115","56023","118776605","12826000000","6050000"
"367360","DB금융스팩9호","SPAC(소속부없음)","2130","15","0.71","2115","2145","2115","101662","216015590","10309200000","4840000"
"068790","DMS","우량기업부","7800","10","0.13","7820","7830","7730","116083","902988780","191669875800","24573061"
"241520","DSC인베스트먼트","벤처기업부","5610","-10","-0.18","5590","5660","5580","142614","798893260","156021970830","27811403"
"245620","EDGC","기술성장기업부","5380","80","1.51","5300","5470","5230","1762667","9491420650","449929803500","83630075"
"037370","EG","중견기업부","13800","-350","-2.47","14300","14350","13350","189986","2598176200","103500000000","7500000"
"079190","EMW","관리종목(소속부없음)","2780","0","0.00","0","0","0","0","0","88360067660","31784197"
"050120","ES큐브","중견기업부","6550","-40","-0.61","6590","6660","6500","70271","459304740","88844763300","13564086"
"130500","GH신소재","중견기업부","7160","60","0.85","7260","7290","7120","229400","1648107830","78760000000","11000000"
"900290","GRT","관리종목(소속부없음)","951","0","0.00","0","0","0","0","0","64073625000","67375000"
"083450","GST","우량기업부","27450","0","0.00","27500","27500","27050","89347","2439939400","255772100250","9317745"
"028150","GS홈쇼핑","우량기업부","154900","0","0.00","0","0","0","0","0","1016531250000","6562500"
"045890","GV","관리종목(소속부없음)","240","0","0.00","0","0","0","0","0","20823884880","86766187"
"078150","HB테크놀러지","우량기업부","3120","20","0.65","3065","3125","3050","1389544","4291994160","246450129120","78990426"
"036640","HRS","중견기업부","6290","-110","-1.72","6490","6490","6220","267286","1683087700","102871692000","16354800"
"335870","IBKS제12호스팩","SPAC(소속부없음)","2200","0","0.00","2205","2245","2185","12127","26641425","6864000000","3120000"
"351340","IBKS제13호스팩","SPAC(소속부없음)","2160","-5","-0.23","2155","2185","2150","14729","31757710","11167200000","5170000"
"351320","IBKS제14호스팩","SPAC(소속부없음)","2280","0","0.00","0","0","0","0","0","9872400000","4330000"
"373200","IBKS제15호스팩","SPAC(소속부없음)","2170","5","0.23","2165","2190","2160","19431","42125145","7638400000","3520000"
"095340","ISC","우량기업부","24450","150","0.62","24250","24500","23900","270644","6572625800","399868160700","16354526"
"099520","ITX-AI","관리종목(소속부없음)","1285","0","0.00","0","0","0","0","0","37652662655","29301683"
"950170","JTC","외국기업(소속부없음)","5450","-130","-2.33","5620","5620","5400","126277","694796400","190780067650","35005517"
"067290","JW신약","중견기업부","5320","180","3.50","5120","5340","5120","346088","1814500220","233744084560","43936858"
"035900","JYP Ent.","우량기업부","40750","250","0.62","40500","40900","40100","1298971","53328464650","1446522799000","35497492"
"024840","KBI메탈","우량기업부","2650","-35","-1.30","2685","2690","2635","649610","1722478555","87319747200","32950848"
"024120","KB오토시스","우량기업부","8890","90","1.02","8810","8920","8700","51654","454930560","102235000000","11500000"
"021320","KCC건설","우량기업부","10450","-50","-0.48","10500","10500","10250","29731","308423100","223630000000","21400000"
"036670","KCI","우량기업부","10250","310","3.12","9890","10300","9890","191314","1945950390","115517500000","11270000"
"044180","KD","중견기업부","1890","435","29.90","1495","1890","1485","4153013","7485050845","31232930400","16525360"
"151860","KG ETS","우량기업부","25200","3450","15.86","22250","25400","22000","15247096","372056886000","907200000000","36000000"
"046440","KG모빌리언스","우량기업부","10800","150","1.41","10650","10900","10600","386532","4162866450","419316134400","38825568"
"035600","KG이니시스","우량기업부","21650","100","0.46","21550","21800","21450","95748","2069440550","604130996100","27904434"
"226360","KH E&T","벤처기업부","2130","-5","-0.23","2120","2170","2080","303670","639705050","115732491390","54334503"
