종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5800","450","8.41","5360","6220","5350","615432","3559697820","271569311000","46822295"
"006840","AK홀딩스","34800","-800","-2.25","35300","35550","34750","43134","1508061200","461015122800","13247561"
"027410","BGF","6930","-50","-0.72","7000","7010","6890","261968","1823354740","663317361630","95716791"
"282330","BGF리테일","186000","-1500","-0.80","187500","187500","184000","18358","3410065500","3214806516000","17283906"
"138930","BNK금융지주","7610","-70","-0.91","7630","7690","7550","2841819","21603601700","2480367222060","325935246"
"001460","BYC","446000","6000","1.36","439000","446500","436000","290","128152500","278578290000","624615"
"001465","BYC우","191000","1000","0.53","190000","191000","187500","239","45137500","41138535000","215385"
"001040","CJ","110000","-1000","-0.90","111500","112000","109000","93114","10226036000","3209469780000","29176998"
"079160","CJ CGV","32550","300","0.93","32400","32650","31850","426409","13745107200","1142505000000","35100000"
"00104K","CJ4우(전환)","90500","-100","-0.11","91000","91000","89500","7649","688826200","382499336000","4226512"
"000120","CJ대한통운","166500","1500","0.91","165000","167000","165000","28849","4790707000","3798255276000","22812344"
"011150","CJ씨푸드","4805","30","0.63","4810","4860","4800","568642","2743565215","172647364265","35930773"
"011155","CJ씨푸드1우","42800","200","0.47","42950","42950","42500","448","19159200","8560000000","200000"
"001045","CJ우","65800","-200","-0.30","66500","66500","65800","1171","77265700","148722673400","2260223"
"097950","CJ제일제당","455000","-10000","-2.15","465000","467000","455000","56463","25823103500","6849654630000","15054186"
"097955","CJ제일제당 우","209500","-3500","-1.64","215500","215500","209500","5710","1202774500","278097213500","1327433"
"000590","CS홀딩스","71300","-700","-0.97","72000","72300","70700","4486","319648600","82314566600","1154482"
"012030","DB","1085","10","0.93","1070","1105","1070","1300360","1411581550","218273717305","201173933"
"016610","DB금융투자","7410","150","2.07","7260","7410","7220","307167","2235451970","314527742490","42446389"
"005830","DB손해보험","49550","50","0.10","49500","49800","49300","142943","7076261000","3508140000000","70800000"
"000990","DB하이텍","54400","0","0.00","54800","55300","54000","486393","26542106400","2415283187200","44398588"
"000995","DB하이텍1우","121500","2500","2.10","120000","121500","119000","516","61990500","13646394000","112316"
"139130","DGB금융지주","9160","-70","-0.76","9150","9260","9100","659010","6029871510","1549375830280","169145833"
"001530","DI동일","184500","2500","1.37","180500","185000","180000","6020","1100229500","463215847500","2510655"
"000210","DL","81200","700","0.87","80800","82200","80700","164147","13370314100","1701617780800","20955884"
"001880","DL건설","36950","0","0.00","37300","37300","36300","80860","2961578700","814868843800","22053284"
"000215","DL우","46750","400","0.86","46350","47250","46300","6556","307556200","78825876250","1686115"
"375500","DL이앤씨","138500","3000","2.21","137500","139500","137000","132378","18313150500","2681185213000","19358738"
"37550K","DL이앤씨우","79800","600","0.76","79300","80200","79300","5377","428409200","168688023000","2113885"
"004840","DRB동일","8480","-60","-0.70","8590","8600","8370","133405","1128921670","169006400000","19930000"
"155660","DSR","7060","140","2.02","6930","7110","6890","72925","511724860","112960000000","16000000"
"069730","DSR제강","6510","-40","-0.61","6560","6600","6490","124613","815244690","93744000000","14400000"
"017940","E1","59700","800","1.36","58600","59700","57700","30402","1784474600","409542000000","6860000"
"365550","ESR켄달스퀘어리츠","7440","140","1.92","7300","7500","7300","1481430","10986866200","1065846960000","143259000"
"383220","F&F","516000","-16000","-3.01","532000","540000","509000","69228","36178434000","3953290140000","7661415"
"007700","F&F홀딩스","37600","-550","-1.44","37900","38150","37450","126982","4792334600","290970796000","7738585"
"114090","GKL","18050","-350","-1.90","18450","18500","18050","505151","9184995250","1116494843500","61855670"
"078930","GS","47300","-400","-0.84","47350","47850","47250","272493","12924245350","4394897379400","92915378"
"006360","GS건설","43100","450","1.06","42800","43200","42550","407179","17462271350","3684656410800","85490868"
"001250","GS글로벌","3185","20","0.63","3170","3230","3105","1176228","3705986655","262870038340","82533764"
"007070","GS리테일","37950","450","1.20","37750","38150","37700","254480","9637535000","2922150000000","77000000"
"078935","GS우","38700","-100","-0.26","38800","38900","38400","8748","337794650","69072766200","1784826"
"012630","HDC","13600","200","1.49","13350","13600","13300","367802","4955731050","812487405600","59741721"
"039570","HDC아이콘트롤스","14350","950","7.09","13450","14500","13450","209952","2949670700","236201000000","16460000"
"089470","HDC현대EP","6080","-60","-0.98","6160","6160","6070","91343","556555340","193952000000","31900000"
"294870","HDC현대산업개발","30000","-100","-0.33","29900","30300","29600","1087033","32593321350","1977219900000","65907330"
"011200","HMM","44850","950","2.16","43900","45500","43100","7349890","327555160350","15490853041950","345392487"
"082740","HSD엔진","10150","-200","-1.93","10350","10400","10100","359447","3660216350","412084133300","40599422"
"003560","IHQ","2100","55","2.69","2065","2130","2050","2791658","5830960495","307095070800","146235748"
