종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5310","-170","-3.10","5510","5520","5310","133372","718071830","248626386450","46822295"
"006840","AK홀딩스","35250","1000","2.92","34300","35250","34250","61995","2164609850","466976525250","13247561"
"027410","BGF","7140","80","1.13","7060","7230","7040","534287","3814393480","683417887740","95716791"
"282330","BGF리테일","185000","-500","-0.27","185000","189000","184500","23712","4423806000","3197522610000","17283906"
"138930","BNK금융지주","7770","-190","-2.39","7930","7950","7760","2179241","17044853960","2532516861420","325935246"
"001460","BYC","432500","2000","0.46","431000","436500","429500","178","77097500","270145987500","624615"
"001465","BYC우","189500","-2000","-1.04","192000","193000","189500","119","22940500","40815457500","215385"
"001040","CJ","109000","-2500","-2.24","111500","112500","109000","121786","13499729500","3180292782000","29176998"
"079160","CJ CGV","31900","-250","-0.78","31950","32800","31650","595886","19167583250","1119690000000","35100000"
"00104K","CJ4우(전환)","90000","-1800","-1.96","92000","92000","90000","7267","658638600","380386080000","4226512"
"000120","CJ대한통운","166000","-2000","-1.19","168000","168000","166000","27831","4645263500","3786849104000","22812344"
"011150","CJ씨푸드","4770","-120","-2.45","4850","4890","4755","725211","3478016505","171389787210","35930773"
"011155","CJ씨푸드1우","42500","-50","-0.12","43950","43950","42500","395","17049150","8500000000","200000"
"001045","CJ우","65700","-400","-0.61","66700","66700","65000","1655","108893400","148496651100","2260223"
"097950","CJ제일제당","464000","-9000","-1.90","470500","474000","464000","39082","18271032000","6985142304000","15054186"
"097955","CJ제일제당 우","215500","-4000","-1.82","220000","220000","215000","4885","1058270000","286061811500","1327433"
"000590","CS홀딩스","72300","-600","-0.82","73000","73500","72100","4344","315841600","83469048600","1154482"
"012030","DB","1055","-20","-1.86","1075","1080","1050","1528002","1617587180","212238499315","201173933"
"016610","DB금융투자","7360","-90","-1.21","7480","7520","7330","186565","1384093900","312405423040","42446389"
"005830","DB손해보험","50200","-600","-1.18","50500","51300","50000","225647","11427572200","3554160000000","70800000"
"000990","DB하이텍","54000","-1600","-2.88","55400","55600","53800","733420","39992233900","2397523752000","44398588"
"000995","DB하이텍1우","119000","-2500","-2.06","121500","121500","119000","482","57686500","13365604000","112316"
"139130","DGB금융지주","9330","-180","-1.89","9480","9500","9310","591181","5538409480","1578130621890","169145833"
"001530","DI동일","181000","-6000","-3.21","185500","187000","181000","8288","1517914500","454428555000","2510655"
"000210","DL","81300","-1800","-2.17","83400","83500","81100","313720","25672750900","1703713369200","20955884"
"001880","DL건설","37100","-800","-2.11","38000","38000","37100","67132","2505851550","818176836400","22053284"
"000215","DL우","46700","-1050","-2.20","48250","48250","46600","13748","647205700","78741570500","1686115"
"375500","DL이앤씨","137500","-3000","-2.14","140500","141500","137000","171785","23800751500","2661826475000","19358738"
"37550K","DL이앤씨우","79400","-600","-0.75","80000","80400","79100","12452","992503200","167842469000","2113885"
"004840","DRB동일","8500","480","5.99","8040","8660","8040","467819","3938938550","169405000000","19930000"
