종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","중견기업부","3120","-30","-0.95","3150","3150","3090","160550","498700285","144367120560","46271513"
"054620","APS홀딩스","중견기업부","16100","0","0.00","16300","16400","15700","50846","811465700","328346958100","20394221"
"265520","AP시스템","우량기업부","30100","-200","-0.66","30400","30600","30100","177083","5372536500","435854832700","14480227"
"211270","AP위성","벤처기업부","18900","150","0.80","19100","19300","18600","868056","16440814550","285055545600","15082304"
"013720","CBI","중견기업부","22750","0","0.00","0","0","0","0","0","186067040250","8178771"
"035760","CJ ENM","우량기업부","183900","-5100","-2.70","188000","190000","182400","163230","30340911500","4032771420600","21929154"
"051500","CJ프레시웨이","중견기업부","34100","1350","4.12","32300","34250","32300","125662","4228842500","404821082600","11871586"
"058820","CMG제약","우량기업부","5160","-300","-5.49","5470","5560","5130","3772633","19995326820","716683979040","138892244"
"023460","CNH","벤처기업부","3530","0","0.00","3530","3565","3485","42691","149985990","131316000000","37200000"
"056000","COWON","투자주의환기종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","벤처기업부","5400","60","1.12","5380","5480","5220","520566","2804743900","102789810000","19035150"
"083660","CSA 코스믹","관리종목(소속부없음)","1800","0","0.00","1800","1820","1790","43602","78543555","66729681000","37072045"
"367340","DB금융스팩8호","SPAC(소속부없음)","2165","-30","-1.37","2195","2195","2140","98214","212046845","13098250000","6050000"
"367360","DB금융스팩9호","SPAC(소속부없음)","2160","-100","-4.42","2215","2220","2150","474733","1033292780","10454400000","4840000"
"068790","DMS","우량기업부","7870","100","1.29","7790","7910","7770","164061","1289633290","193389990070","24573061"
"241520","DSC인베스트먼트","벤처기업부","5680","10","0.18","5700","5760","5670","235059","1338787450","157968769040","27811403"
"245620","EDGC","기술성장기업부","5200","10","0.19","5210","5230","5120","771231","3982109390","434876390000","83630075"
"037370","EG","중견기업부","14050","-150","-1.06","14250","14350","13900","85270","1197237450","105375000000","7500000"
"079190","EMW","관리종목(소속부없음)","2780","0","0.00","0","0","0","0","0","88360067660","31784197"
"050120","ES큐브","중견기업부","6530","-170","-2.54","6640","6690","6490","100201","656931610","88573481580","13564086"
"130500","GH신소재","중견기업부","6950","50","0.72","6900","7030","6850","170180","1178283730","76450000000","11000000"
"900290","GRT","관리종목(소속부없음)","951","0","0.00","0","0","0","0","0","64073625000","67375000"
"083450","GST","우량기업부","27450","150","0.55","27500","27800","27300","96000","2644259750","255772100250","9317745"
"028150","GS홈쇼핑","우량기업부","154900","0","0.00","0","0","0","0","0","1016531250000","6562500"
"045890","GV","관리종목(소속부없음)","240","0","0.00","0","0","0","0","0","20823884880","86766187"
"078150","HB테크놀러지","우량기업부","2980","-20","-0.67","3010","3020","2970","758807","2262472780","235391469480","78990426"
"036640","HRS","중견기업부","6270","10","0.16","6250","6450","6230","312247","1974993710","102544596000","16354800"
"335870","IBKS제12호스팩","SPAC(소속부없음)","2255","-30","-1.31","2280","2280","2235","60539","136105885","7035600000","3120000"
"351340","IBKS제13호스팩","SPAC(소속부없음)","2175","-30","-1.36","2190","2200","2175","17781","38966510","11244750000","5170000"
