종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5800","20","0.35","5840","5840","5750","39320","227479940","271569311000","46822295"
"006840","AK홀딩스","36450","2050","5.96","34400","36650","34300","197787","7067376400","482873598450","13247561"
"027410","BGF","7080","30","0.43","7060","7110","6980","378981","2668186190","677674880280","95716791"
"282330","BGF리테일","185500","1500","0.82","182000","186000","181000","26185","4823126500","3206164563000","17283906"
"138930","BNK금융지주","7980","-10","-0.13","8050","8050","7960","1123944","8984141140","2600963263080","325935246"
"001460","BYC","450000","2000","0.45","448000","457500","443500","670","300738000","281076750000","624615"
"001465","BYC우","193500","0","0.00","193500","193500","190000","281","54044000","41676997500","215385"
"001040","CJ","115500","1000","0.87","115000","116500","113000","110030","12659267000","3369943269000","29176998"
"079160","CJ CGV","33250","150","0.45","33300","33600","32350","1175856","38804571850","1167075000000","35100000"
"00104K","CJ4우(전환)","92100","100","0.11","91800","92100","90800","8938","819179900","389261755200","4226512"
"000120","CJ대한통운","168500","-1000","-0.59","169500","170500","168000","48773","8235439000","3843879964000","22812344"
"011150","CJ씨푸드","4815","-5","-0.10","4855","4860","4765","561402","2695279475","173006671995","35930773"
"011155","CJ씨푸드1우","44100","-250","-0.56","44450","44450","44000","794","35091350","8820000000","200000"
"001045","CJ우","66800","100","0.15","67400","67400","66500","2186","145947500","150982896400","2260223"
"097950","CJ제일제당","477500","-8000","-1.65","479500","485000","477000","37022","17753740500","7188373815000","15054186"
"097955","CJ제일제당 우","223000","0","0.00","223000","224500","218500","7975","1767060000","296017559000","1327433"
"000590","CS홀딩스","76000","400","0.53","75800","76100","75200","2978","225568800","87740632000","1154482"
"012030","DB","1040","-15","-1.42","1055","1065","1030","1552795","1616323025","209220890320","201173933"
"016610","DB금융투자","7260","40","0.55","7260","7320","7220","148000","1078355990","308160784140","42446389"
"005830","DB손해보험","51200","-100","-0.19","51000","51400","50800","122507","6263936400","3624960000000","70800000"
"000990","DB하이텍","53800","1700","3.26","52400","54100","52200","1154153","61627609200","2388644034400","44398588"
"000995","DB하이텍1우","125000","2000","1.63","124000","125500","121500","836","103846500","14039500000","112316"
"139130","DGB금융지주","9470","80","0.85","9470","9470","9380","461216","4349470060","1601811038510","169145833"
"001530","DI동일","188500","6500","3.57","182500","192500","182500","27898","5286033000","473258467500","2510655"
"000210","DL","84800","2000","2.42","83000","85100","82500","296331","24862255900","1309419017600","15441262"
"001880","DL건설","36900","250","0.68","36750","37150","36700","102723","3786934900","813766179600","22053284"
"000215","DL우","49250","750","1.55","49400","49400","48550","3915","191736250","83041163750","1686115"
"375500","DL이앤씨","138000","3000","2.22","135500","140000","134500","215233","29668980500","2671505844000","19358738"
"37550K","DL이앤씨우","78100","300","0.39","78300","79000","77800","9835","770071100","165094418500","2113885"
"004840","DRB동일","8030","150","1.90","7900","8090","7790","365987","2900616910","160037900000","19930000"
"155660","DSR","6930","-20","-0.29","6950","7020","6910","77259","538174080","110880000000","16000000"
"069730","DSR제강","6220","-120","-1.89","6370","6370","6220","119032","745929700","89568000000","14400000"
"017940","E1","57400","1600","2.87","56100","58100","55600","51755","2965811600","393764000000","6860000"
"365550","ESR켄달스퀘어리츠","6950","160","2.36","6820","6950","6810","267177","1839780250","995650050000","143259000"
"383220","F&F","483000","-9500","-1.93","489500","496000","476500","72591","35269147000","3700463445000","7661415"
"007700","F&F홀딩스","39050","-550","-1.39","39600","39650","38750","277051","10808337900","302191744250","7738585"
"114090","GKL","19050","500","2.70","18650","19150","18500","563787","10685723100","1178350513500","61855670"
"078930","GS","48300","250","0.52","48450","48450","47650","373988","17974169900","4487812757400","92915378"
"006360","GS건설","45400","550","1.23","44850","46050","44500","1089530","49484841650","3881285407200","85490868"
"001250","GS글로벌","3060","170","5.88","2900","3085","2890","6709595","20344637480","252553317840","82533764"
"007070","GS리테일","39000","-200","-0.51","39150","39300","38500","673678","26272825600","3003000000000","77000000"
"078935","GS우","39100","50","0.13","39050","39300","38900","4783","186937900","69786696600","1784826"
"012630","HDC","14300","-100","-0.69","14500","14600","14200","710976","10253928400","854306610300","59741721"
"039570","HDC아이콘트롤스","13050","-400","-2.97","13450","14000","13000","204905","2750171700","214803000000","16460000"
"089470","HDC현대EP","5990","-70","-1.16","6070","6080","5950","299599","1793820630","191081000000","31900000"
