종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5990","-10","-0.17","6100","6100","5910","93271","553835310","280465547050","46822295"
"006840","AK홀딩스","26850","-350","-1.29","27350","27550","26500","29189","782591150","355697012850","13247561"
"027410","BGF","6140","-20","-0.32","6160","6200","6130","91924","565932760","587701096740","95716791"
"282330","BGF리테일","166000","1000","0.61","163000","166500","162000","18501","3049406000","2869128396000","17283906"
"138930","BNK금융지주","7640","-20","-0.26","7630","7680","7560","946080","7219788170","2490145279440","325935246"
"001460","BYC","398000","-2000","-0.50","400000","403500","397500","345","137856500","248596770000","624615"
"001465","BYC우","178500","-1500","-0.83","178500","180000","177500","69","12287000","38446222500","215385"
"001040","CJ","99100","-400","-0.40","98400","99500","98400","61621","6091931600","2891440501800","29176998"
"079160","CJ CGV","29400","200","0.68","29000","29700","28850","232443","6785455450","1080684200400","36757966"
"00104K","CJ4우(전환)","84700","-1000","-1.17","85100","85900","83900","13591","1148489500","357985566400","4226512"
"000120","CJ대한통운","175000","-1500","-0.85","175000","176500","172000","50217","8744037000","3992160200000","22812344"
"011150","CJ씨푸드","4610","-45","-0.97","4655","4685","4510","308559","1418833655","165640863530","35930773"
"011155","CJ씨푸드1우","41300","600","1.47","40500","41300","40400","119","4830100","8260000000","200000"
"001045","CJ우","62200","-400","-0.64","62600","63400","61800","2144","133198900","140585870600","2260223"
"097950","CJ제일제당","482000","3500","0.73","473000","483000","471000","47996","22900192500","7256117652000","15054186"
"097955","CJ제일제당 우","215500","3500","1.65","214500","218500","209500","8915","1919046500","286061811500","1327433"
"000590","CS홀딩스","67300","0","0.00","67600","67700","66200","1243","82986600","77696638600","1154482"
"012030","DB","1160","-40","-3.33","1190","1200","1135","3147074","3642921015","233361762280","201173933"
"016610","DB금융투자","6790","-10","-0.15","6800","6860","6750","73257","497002410","288210981310","42446389"
"005830","DB손해보험","58600","1200","2.09","56400","58600","55900","165502","9507548700","4148880000000","70800000"
"000990","DB하이텍","65900","1800","2.81","64600","67200","64300","1484945","97985711100","2925866949200","44398588"
"000995","DB하이텍1우","114500","0","0.00","115000","119000","114500","718","83798000","12860182000","112316"
"139130","DGB금융지주","9190","-110","-1.18","9300","9310","9120","575824","5288638500","1554450205270","169145833"
