종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5960","-30","-0.50","5880","5980","5870","58952","348744040","279060878200","46822295"
"006840","AK홀딩스","27850","1000","3.72","26850","28150","26650","32445","892874500","368944573850","13247561"
"027410","BGF","6220","80","1.30","6140","6220","6140","86981","539059530","595358440020","95716791"
"282330","BGF리테일","170000","4000","2.41","164000","171000","164000","46309","7795844000","2938264020000","17283906"
"138930","BNK금융지주","7800","160","2.09","7650","7810","7650","1538794","11957398500","2542294918800","325935246"
"001460","BYC","400000","2000","0.50","398000","400000","396500","260","103512500","249846000000","624615"
"001465","BYC우","179500","1000","0.56","177000","179500","177000","35","6243000","38661607500","215385"
"001040","CJ","103500","4400","4.44","99200","104000","99200","106013","10837585700","3019819293000","29176998"
"079160","CJ CGV","30400","1000","3.40","29300","30650","29100","564603","17031740000","1117442166400","36757966"
"00104K","CJ4우(전환)","86100","1400","1.65","84300","86300","84200","15717","1343162000","363902683200","4226512"
"000120","CJ대한통운","176500","1500","0.86","174000","178000","174000","24167","4266722000","4026378716000","22812344"
"011150","CJ씨푸드","4625","15","0.33","4605","4645","4565","285144","1313807385","166179825125","35930773"
"011155","CJ씨푸드1우","41200","-100","-0.24","41300","41300","40550","252","10273000","8240000000","200000"
"001045","CJ우","63600","1400","2.25","62300","64000","62200","2439","153791800","143750182800","2260223"
"097950","CJ제일제당","492500","10500","2.18","480000","493500","478000","67149","32855377000","7414186605000","15054186"
"097955","CJ제일제당 우","218500","3000","1.39","216000","220000","215500","7178","1565127000","290044110500","1327433"
"000590","CS홀딩스","66600","-700","-1.04","67300","67300","66400","1561","104228200","76888501200","1154482"
"012030","DB","1180","20","1.72","1150","1205","1150","1908197","2254955700","237385240940","201173933"
"016610","DB금융투자","6890","100","1.47","6800","6910","6780","63819","437642700","292455620210","42446389"
"005830","DB손해보험","58800","200","0.34","58500","59600","58100","105116","6197265100","4163040000000","70800000"
"000990","DB하이텍","66600","700","1.06","66700","67100","64800","1173514","77837586200","2956945960800","44398588"
"000995","DB하이텍1우","115000","500","0.44","114500","115000","113000","478","54405500","12916340000","112316"
"139130","DGB금융지주","9360","170","1.85","9260","9440","9220","622019","5817604600","1583204996880","169145833"
"001530","DI동일","313500","-500","-0.16","310500","313500","297500","44476","13534681500","787090342500","2510655"
"000210","DL","77500","300","0.39","77000","77700","76600","87357","6745509600","1624081010000","20955884"
"001880","DL건설","32850","250","0.77","32550","32900","32450","28428","929521100","724450379400","22053284"
"000215","DL우","45300","0","0.00","45250","45700","45150","2877","130525800","76381009500","1686115"
"375500","DL이앤씨","145000","-500","-0.34","145500","145500","143500","116347","16792417500","2807017010000","19358738"
"37550K","DL이앤씨우","80000","-200","-0.25","80500","80500","79400","8123","647550900","169110800000","2113885"
"004840","DRB동일","7270","60","0.83","7250","7320","7210","24126","175489140","144891100000","19930000"
"155660","DSR","6370","110","1.76","6250","6400","6230","28218","178327050","101920000000","16000000"
"069730","DSR제강","6150","70","1.15","6070","6180","6060","27208","167233520","88560000000","14400000"
"017940","E1","55300","-300","-0.54","55600","55600","55200","8140","450773000","379358000000","6860000"
"365550","ESR켄달스퀘어리츠","6890","130","1.92","6770","6980","6750","272578","1876186280","987054510000","143259000"
"383220","F&F","618000","4000","0.65","620000","625000","605000","30077","18483113000","4734754470000","7661415"
"007700","F&F홀딩스","37750","1350","3.71","36600","37800","36300","58467","2178886150","292131583750","7738585"
"114090","GKL","16450","200","1.23","16150","16550","16100","427750","7013474250","1017525771500","61855670"
"078930","GS","43550","400","0.93","42900","43750","42850","181655","7897293550","4046464711900","92915378"
"006360","GS건설","44050","200","0.46","43650","44150","43400","376383","16466288900","3769864634500","85581490"
"001250","GS글로벌","2840","100","3.65","2755","2880","2755","881875","2505468240","234395889760","82533764"
"007070","GS리테일","35300","600","1.73","35000","35400","34800","355420","12505409550","3696542646600","104717922"
"078935","GS우","36400","150","0.41","36250","36450","36000","3583","129973500","64967666400","1784826"
"012630","HDC","12250","250","2.08","12000","12250","12000","223055","2706776700","731836082250","59741721"
"039570","HDC아이콘트롤스","13700","-50","-0.36","13750","13750","13500","28553","388958050","225502000000","16460000"
"089470","HDC현대EP","5880","50","0.86","5830","5880","5800","41175","240337940","187572000000","31900000"
"294870","HDC현대산업개발","30300","150","0.50","30150","30500","29900","252203","7639213850","1996992099000","65907330"
"011200","HMM","39500","1900","5.05","37000","40000","36550","11844208","453571276450","16013003236500","405392487"
"082740","HSD엔진","8310","100","1.22","8240","8320","8170","214554","1774557650","388253554260","46721246"
"003560","IHQ","1845","40","2.22","1800","1870","1800","1220260","2243008185","269804955060","146235748"
"175330","JB금융지주","7670","80","1.05","7600","7700","7600","522249","4002629900","1510858796980","196982894"
"234080","JW생명과학","18500","200","1.09","18400","18550","18200","20322","375050950","292939249000","15834554"
"001060","JW중외제약","29100","350","1.22","28800","29550","28800","63473","1854712650","626811846600","21539926"
"001067","JW중외제약2우B","57500","-2900","-4.80","59600","60700","56600","2958","170161500","5349110000","93028"
"001065","JW중외제약우","36400","-1150","-3.06","37600","38800","34350","4714","171791300","6460490400","177486"
"096760","JW홀딩스","4410","10","0.23","4385","4425","4360","76992","338221455","301825612620","68441182"
"105560","KB금융","52700","1100","2.13","52100","52900","51700","1333664","69958051800","21913077384000","415807920"
"002380","KCC","349500","6000","1.75","342000","356500","328500","128013","43670847500","3105821614500","8886471"
"344820","KCC글라스","71000","1600","2.31","69400","71100","68700","170143","11871762000","1133906352000","15970512"
"009070","KCTC","7850","170","2.21","7640","7900","7640","221098","1725669620","235500000000","30000000"
"009440","KC그린홀딩스","6240","40","0.65","6200","6250","6080","204909","1260094880","139994275200","22434980"
"119650","KC코트렐","8770","20","0.23","8740","8840","8420","496311","4281206350","154352000000","17600000"
"092220","KEC","2450","10","0.41","2440","2485","2425","1491683","3650788970","285932003000","116706940"
"016380","KG동부제철","16850","150","0.90","16550","16900","16500","164657","2754655100","1685149914450","100008897"
"016385","KG동부제철우","123000","1000","0.82","122000","123000","121000","110","13387500","6566355000","53385"
"001390","KG케미칼","36550","-800","-2.14","37450","37500","36500","199795","7338529950","506805808800","13866096"
"033180","KH 필룩스","3340","125","3.89","3235","3345","3215","1186627","3911999595","445201415580","133293837"
"001940","KISCO홀딩스","20600","0","0.00","20500","20850","20400","11106","228421000","380613428000","18476380"
"025000","KPX케미칼","63500","0","0.00","63500","63900","63400","3017","191826900","307340000000","4840000"
"092230","KPX홀딩스","67900","400","0.59","67700","68000","67400","1400","94750300","286853463400","4224646"
"000040","KR모터스","1215","25","2.10","1210","1225","1195","459187","553878710","116806902120","96137368"
