종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","중견기업부","2955","-90","-2.96","3035","3105","2885","414517","1215730545","136732320915","46271513"
"054620","APS홀딩스","중견기업부","14850","-250","-1.66","15050","15050","14400","116290","1703750550","302854181850","20394221"
"265520","AP시스템","우량기업부","29300","-300","-1.01","29200","29550","28600","256540","7428443550","424270651100","14480227"
"211270","AP위성","벤처기업부","18150","0","0.00","18050","18450","17700","352339","6337849100","273743817600","15082304"
"013720","CBI","중견기업부","22750","0","0.00","0","0","0","0","0","186067040250","8178771"
"035760","CJ ENM","우량기업부","179800","200","0.11","175000","181000","173100","188083","33436933200","3942861889200","21929154"
"051500","CJ프레시웨이","중견기업부","32750","-1150","-3.39","33300","33350","32150","103685","3378454500","388794441500","11871586"
"058820","CMG제약","우량기업부","4975","-35","-0.70","4980","5040","4920","1424213","7080116150","690988913900","138892244"
"023460","CNH","벤처기업부","3455","15","0.44","3400","3475","3250","140178","468461305","128526000000","37200000"
"056730","CNT85","관리종목(소속부없음)","1550","0","0.00","0","0","0","0","0","109591063600","70703912"
"056000","COWON","투자주의환기종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","벤처기업부","4900","-85","-1.71","4900","5160","4850","615244","3034218135","93752356600","19133134"
"083660","CSA 코스믹","관리종목(소속부없음)","1695","-55","-3.14","1750","1750","1680","89987","152941240","64298323230","37934114"
"367340","DB금융스팩8호","SPAC(소속부없음)","2160","-5","-0.23","2165","2170","2150","122257","263191870","13068000000","6050000"
"367360","DB금융스팩9호","SPAC(소속부없음)","2175","-50","-2.25","2200","2235","2170","262600","575614185","10527000000","4840000"
"068790","DMS","우량기업부","7470","-160","-2.10","7550","7580","7330","242466","1800409350","183560765670","24573061"
"241520","DSC인베스트먼트","벤처기업부","5500","-140","-2.48","5610","5610","5400","558110","3066245750","152962716500","27811403"
"245620","EDGC","기술성장기업부","5480","-90","-1.62","5610","5980","5420","15837018","91288357730","458292811000","83630075"
"037370","EG","중견기업부","13350","50","0.38","13050","13400","12750","153733","2000797000","100125000000","7500000"
"079190","EMW","관리종목(소속부없음)","2780","0","0.00","0","0","0","0","0","88360067660","31784197"
"050120","ES큐브","중견기업부","6140","-220","-3.46","6280","6280","6080","124582","764986420","83283488040","13564086"
"130500","GH신소재","중견기업부","9600","1270","15.25","8050","10250","8030","25341852","240674043590","105600000000","11000000"
"900290","GRT","관리종목(소속부없음)","951","0","0.00","0","0","0","0","0","64073625000","67375000"
"083450","GST","우량기업부","26000","-350","-1.33","25750","26050","25350","149200","3838528500","242261370000","9317745"
"028150","GS홈쇼핑","우량기업부","154900","0","0.00","0","0","0","0","0","1016531250000","6562500"
"045890","GV","관리종목(소속부없음)","240","0","0.00","0","0","0","0","0","20823884880","86766187"
"078150","HB테크놀러지","우량기업부","2855","15","0.53","2795","2870","2735","1262237","3520753850","225517666230","78990426"
"036640","HRS","중견기업부","6000","-60","-0.99","6030","6090","5830","358767","2124863800","98128800000","16354800"
"335870","IBKS제12호스팩","SPAC(소속부없음)","2285","0","0.00","2275","2300","2270","51514","117222545","7129200000","3120000"
"351340","IBKS제13호스팩","SPAC(소속부없음)","2180","-15","-0.68","2195","2220","2180","26223","57337615","11270600000","5170000"
"351320","IBKS제14호스팩","SPAC(소속부없음)","2280","0","0.00","0","0","0","0","0","9872400000","4330000"
"373200","IBKS제15호스팩","SPAC(소속부없음)","2250","0","0.00","2250","2280","2225","72009","161510615","7920000000","3520000"
"095340","ISC","우량기업부","23250","-50","-0.21","22850","23250","22100","233146","5300234950","380242729500","16354526"
"099520","ITX-AI","관리종목(소속부없음)","1285","0","0.00","0","0","0","0","0","37652662655","29301683"
"950170","JTC","외국기업(소속부없음)","5160","-40","-0.77","5100","5160","4920","296402","1491209750","180628467720","35005517"
"067290","JW신약","중견기업부","5050","-100","-1.94","5100","5150","5000","154317","780646150","221881132900","43936858"
"035900","JYP Ent.","우량기업부","38650","-350","-0.90","38300","38800","37750","513881","19590468300","1371978065800","35497492"
"024840","KBI메탈","우량기업부","2540","-40","-1.55","2575","2575","2460","818638","2053366065","83695153920","32950848"
"024120","KB오토시스","우량기업부","8430","-220","-2.54","8640","8670","8320","60841","512318040","96945000000","11500000"
"021320","KCC건설","우량기업부","10100","-150","-1.46","10100","10100","9930","73557","735807680","216140000000","21400000"
"036670","KCI","우량기업부","9980","40","0.40","9900","9980","9590","86017","836656230","112474600000","11270000"
"044180","KD","중견기업부","2045","50","2.51","1970","2055","1900","1918115","3814752980","33794361200","16525360"
"151860","KG ETS","우량기업부","23600","-250","-1.05","23100","24000","22550","1935391","45153056950","849600000000","36000000"
"046440","KG모빌리언스","우량기업부","10950","50","0.46","10750","11100","10250","578598","6240213900","425139969600","38825568"
"035600","KG이니시스","우량기업부","20850","-150","-0.71","21000","21000","20300","217787","4487973200","581807448900","27904434"
"226360","KH E&T","벤처기업부","2010","10","0.50","2000","2040","1905","344994","677726080","109212351030","54334503"
"111870","KH 일렉트론","중견기업부","1090","-20","-1.80","1095","1105","1070","713702","775222895","110152092940","101056966"
"060720","KH바텍","중견기업부","20700","-50","-0.24","20450","20800","20100","158123","3225863800","490049792100","23673903"
"122450","KMH","중견기업부","13750","-200","-1.43","13950","13950","13600","403932","5537886050","623369505000","45335964"
