종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","5880","-180","-2.97","6060","6100","5830","117126","694795230","275315094600","46822295"
"006840","AK홀딩스","29100","-2100","-6.73","30600","31000","28650","160146","4727160600","385504025100","13247561"
"027410","BGF","6280","-140","-2.18","6450","6450","6250","379033","2391192060","601101447480","95716791"
"282330","BGF리테일","168500","500","0.30","167500","170000","167000","44450","7499689500","2912338161000","17283906"
"138930","BNK금융지주","7490","-40","-0.53","7540","7580","7450","1399305","10482805180","2441254992540","325935246"
"001460","BYC","404000","-13000","-3.12","414000","422500","402500","956","390742500","252344460000","624615"
"001465","BYC우","184500","-3500","-1.86","188000","188000","184500","113","20916500","39738532500","215385"
"001040","CJ","100500","-2000","-1.95","103000","104000","100500","154408","15670735000","2932288299000","29176998"
"079160","CJ CGV","29750","-350","-1.16","29850","30500","29500","527394","15785415400","1044225000000","35100000"
"00104K","CJ4우(전환)","86500","-400","-0.46","86900","86900","85600","4861","418809100","365593288000","4226512"
"000120","CJ대한통운","179000","-1500","-0.83","180000","182000","178000","43288","7793694500","4083409576000","22812344"
"011150","CJ씨푸드","4860","-160","-3.19","5100","5100","4815","2326797","11506892405","174623556780","35930773"
"011155","CJ씨푸드1우","43750","-250","-0.57","45000","45000","43700","1234","56138050","8750000000","200000"
"001045","CJ우","63200","-600","-0.94","63800","64100","63200","3181","202094000","142846093600","2260223"
"097950","CJ제일제당","446000","-6500","-1.44","452500","454500","445000","41462","18585918000","6714166956000","15054186"
"097955","CJ제일제당 우","212000","3500","1.68","210000","213000","208500","20231","4290810500","281415796000","1327433"
"000590","CS홀딩스","70000","-400","-0.57","70400","70500","69600","2638","184680600","80813740000","1154482"
"012030","DB","1255","-25","-1.95","1290","1330","1235","10030970","12920198160","252473285915","201173933"
"016610","DB금융투자","6900","-140","-1.99","7010","7060","6840","333523","2313021690","292880084100","42446389"
"005830","DB손해보험","55000","500","0.92","54500","56200","54500","155951","8665963600","3894000000000","70800000"
"000990","DB하이텍","59900","-2300","-3.70","62600","63000","59700","1129671","68678496800","2659475421200","44398588"
"000995","DB하이텍1우","118000","-2000","-1.67","111000","118000","111000","1456","168001000","13253288000","112316"
"139130","DGB금융지주","9000","0","0.00","9020","9070","8900","478952","4292134620","1522312497000","169145833"
"001530","DI동일","191000","-4500","-2.30","197000","197000","190000","10292","1975182000","479535105000","2510655"
"000210","DL","78900","-400","-0.50","79200","80300","78800","95607","7584050900","1653419247600","20955884"
"001880","DL건설","35900","-100","-0.28","36050","36600","35800","87380","3157186450","791712895600","22053284"
"000215","DL우","46700","-150","-0.32","46500","47050","46100","6338","295047900","78741570500","1686115"
"375500","DL이앤씨","152000","-1500","-0.98","153500","157500","148500","320783","48894757500","2942528176000","19358738"
"37550K","DL이앤씨우","80700","-900","-1.10","81700","82800","79700","25164","2029720600","170590519500","2113885"
"004840","DRB동일","7760","-190","-2.39","7910","7920","7710","87066","677250500","154656800000","19930000"
"155660","DSR","6870","-230","-3.24","7140","7160","6740","163010","1126792130","109920000000","16000000"
"069730","DSR제강","6680","-340","-4.84","7000","7060","6610","179815","1219953050","96192000000","14400000"
"017940","E1","56000","-1300","-2.27","57300","57300","55500","15834","890564900","384160000000","6860000"
"365550","ESR켄달스퀘어리츠","7640","50","0.66","7630","7730","7470","240206","1829307970","1094498760000","143259000"
"383220","F&F","508000","-12000","-2.31","520000","524000","496500","54473","27678414000","3891998820000","7661415"
"007700","F&F홀딩스","36850","-500","-1.34","37400","37800","36850","108278","4033427450","285166857250","7738585"
