종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","6200","-130","-2.05","6290","6340","6150","299769","1868482220","290298229000","46822295"
"006840","AK홀딩스","29100","600","2.11","28850","29100","28400","28262","816975800","385504025100","13247561"
"027410","BGF","6330","80","1.28","6250","6420","6240","204888","1298226690","605887287030","95716791"
"282330","BGF리테일","168500","1000","0.60","169000","170000","166500","23415","3950290500","2912338161000","17283906"
"138930","BNK금융지주","7560","40","0.53","7550","7570","7490","659662","4968302990","2464070459760","325935246"
"001460","BYC","400500","-1000","-0.25","401500","403500","397500","269","107683000","250158307500","624615"
"001465","BYC우","185000","1500","0.82","183000","185000","183000","183","33776000","39846225000","215385"
"001040","CJ","104000","3000","2.97","102000","104000","101000","75598","7776169500","3034407792000","29176998"
"079160","CJ CGV","29850","450","1.53","29650","30150","29300","205535","6127871400","1047735000000","35100000"
"00104K","CJ4우(전환)","89300","1900","2.17","86600","89300","86600","7755","683882500","377427521600","4226512"
"000120","CJ대한통운","183000","-500","-0.27","183500","184500","182000","37571","6878606500","4174658952000","22812344"
"011150","CJ씨푸드","4975","-45","-0.90","5020","5040","4950","1101934","5493167200","178755595675","35930773"
"011155","CJ씨푸드1우","44400","350","0.79","44050","44450","43700","411","18079650","8880000000","200000"
"001045","CJ우","65200","900","1.40","64300","65200","64300","2599","168341000","147366539600","2260223"
"097950","CJ제일제당","461000","9000","1.99","455000","465500","448000","51896","23785147500","6939979746000","15054186"
"097955","CJ제일제당 우","214500","1000","0.47","214000","216500","211000","6779","1452608000","284734378500","1327433"
"000590","CS홀딩스","70200","-100","-0.14","70300","70700","69900","533","37437100","81044636400","1154482"
"012030","DB","1235","-30","-2.37","1270","1275","1225","3256039","4040647410","248449807255","201173933"
"016610","DB금융투자","6990","30","0.43","6960","7020","6920","85631","597764950","296700259110","42446389"
"005830","DB손해보험","56100","700","1.26","55900","56400","54800","128832","7172779900","3971880000000","70800000"
"000990","DB하이텍","66200","1800","2.80","64500","66700","64200","1538394","101423364200","2939186525600","44398588"
"000995","DB하이텍1우","121500","1000","0.83","120500","121500","120000","594","71590000","13646394000","112316"
"139130","DGB금융지주","8950","20","0.22","8940","8960","8880","418639","3730363210","1513855205350","169145833"
"001530","DI동일","234000","4000","1.74","234000","242000","227500","50308","11826744500","587493270000","2510655"
"000210","DL","80700","-400","-0.49","81500","81500","80200","77367","6240325200","1691139838800","20955884"
"001880","DL건설","35600","-100","-0.28","35700","35800","35400","37642","1339371400","785096910400","22053284"
"000215","DL우","46850","0","0.00","47100","47200","46850","2598","122124200","78994487750","1686115"
"375500","DL이앤씨","149500","-500","-0.33","150000","150500","147000","169947","25259283000","2894131331000","19358738"
"37550K","DL이앤씨우","80700","-300","-0.37","81000","81700","80400","11597","935387700","170590519500","2113885"
"004840","DRB동일","7800","40","0.52","7820","7860","7720","27958","217603060","155454000000","19930000"
"155660","DSR","7020","-10","-0.14","7000","7070","6950","46691","327121280","112320000000","16000000"
"069730","DSR제강","6660","-80","-1.19","6740","6780","6640","102096","682905510","95904000000","14400000"
"017940","E1","56700","0","0.00","56700","57100","56200","11389","645707400","388962000000","6860000"
"365550","ESR켄달스퀘어리츠","7470","160","2.19","7310","7490","7250","267635","1981511040","1070144730000","143259000"
"383220","F&F","545000","-4000","-0.73","553000","553000","535000","29076","15789394000","4175471175000","7661415"
"007700","F&F홀딩스","37050","650","1.79","36700","38250","36600","136179","5123939000","286714574250","7738585"
"114090","GKL","16400","200","1.23","16300","16450","16100","273256","4443034000","1014432988000","61855670"
"078930","GS","44500","-450","-1.00","44800","44800","44450","147401","6570145950","4134734321000","92915378"
"006360","GS건설","44000","-200","-0.45","44200","44550","43500","490478","21534642150","3765585560000","85581490"
"001250","GS글로벌","2905","0","0.00","2905","2935","2895","266785","775695905","239760584420","82533764"
"007070","GS리테일","37200","400","1.09","37050","37200","36850","291847","10809067400","2864400000000","77000000"
"078935","GS우","37350","0","0.00","37350","37600","37150","1552","57990150","66663251100","1784826"
"012630","HDC","13100","100","0.77","13000","13150","13000","202774","2648483250","782616545100","59741721"
"039570","HDC아이콘트롤스","13800","0","0.00","13850","13950","13500","24660","340204850","227148000000","16460000"
"089470","HDC현대EP","6090","10","0.16","6090","6130","6050","62004","377955460","194271000000","31900000"
"294870","HDC현대산업개발","32300","0","0.00","32500","32500","32100","257745","8338547100","2128806759000","65907330"
"011200","HMM","43100","200","0.47","42900","43850","42300","5864670","252494018050","14886416189700","345392487"
"082740","HSD엔진","9170","-50","-0.54","9260","9360","9150","600432","5528024670","428433825820","46721246"
"003560","IHQ","1925","75","4.05","1850","1930","1850","2652540","5049414035","281503814900","146235748"
"175330","JB금융지주","7220","-40","-0.55","7230","7260","7170","284101","2047617760","1422216494680","196982894"
"234080","JW생명과학","19050","0","0.00","19100","19150","18900","44304","840778750","301648253700","15834554"
"001060","JW중외제약","30250","350","1.17","30050","30300","29850","48985","1474363500","651582761500","21539926"
"001067","JW중외제약2우B","68800","100","0.15","69000","69000","68100","359","24688200","6400326400","93028"
"001065","JW중외제약우","48000","750","1.59","46950","48250","46950","844","40245900","8519328000","177486"
"096760","JW홀딩스","4625","5","0.11","4625","4640","4605","143290","661692220","316540466750","68441182"
