종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","6040","10","0.17","6080","6080","5940","72544","434505840","282806661800","46822295"
"006840","AK홀딩스","28750","1050","3.79","28400","29500","28200","90955","2619427000","380867378750","13247561"
"027410","BGF","6330","90","1.44","6300","6500","6250","442016","2821289400","605887287030","95716791"
"282330","BGF리테일","174000","4000","2.35","173000","177500","172000","62355","10880573500","3007399644000","17283906"
"138930","BNK금융지주","7780","90","1.17","7750","7800","7690","1160701","8988218910","2535776213880","325935246"
"001460","BYC","399000","0","0.00","397500","400500","397500","116","46369000","249221385000","624615"
"001465","BYC우","179500","-500","-0.28","179000","179500","178500","81","14493500","38661607500","215385"
"001040","CJ","104000","2500","2.46","102500","105000","102000","114521","11916965500","3034407792000","29176998"
"079160","CJ CGV","30650","250","0.82","30550","30900","30100","243402","7416040550","1126631657900","36757966"
"00104K","CJ4우(전환)","86700","900","1.05","86300","87000","85700","3414","295607000","366438590400","4226512"
"000120","CJ대한통운","175500","-7500","-4.10","183000","183000","174000","109660","19259827500","4003566372000","22812344"
"011150","CJ씨푸드","4645","15","0.32","4625","4645","4600","203121","937628995","166898440585","35930773"
"011155","CJ씨푸드1우","41800","-50","-0.12","41850","42000","40700","200","8256600","8360000000","200000"
"001045","CJ우","64800","1400","2.21","64300","64800","63800","1891","121239700","146462450400","2260223"
"097950","CJ제일제당","492000","5000","1.03","487000","498500","477500","50998","25005044000","7406659512000","15054186"
"097955","CJ제일제당 우","218000","0","0.00","218000","220000","216500","4275","932813000","289380394000","1327433"
"000590","CS홀딩스","67500","500","0.75","67100","67600","65800","2265","150867000","77927535000","1154482"
"012030","DB","1150","0","0.00","1145","1165","1140","1216019","1399426705","231350022950","201173933"
"016610","DB금융투자","6930","0","0.00","6930","7020","6900","68287","475341120","294153475770","42446389"
"005830","DB손해보험","58000","-1000","-1.69","59000","59600","57700","86924","5080590400","4106400000000","70800000"
"000990","DB하이텍","67200","900","1.36","66600","67200","66100","723489","48332235300","2983585113600","44398588"
"000995","DB하이텍1우","118000","2000","1.72","116000","118500","116000","297","34760500","13253288000","112316"
"139130","DGB금융지주","9190","-110","-1.18","9320","9430","9180","448831","4157859730","1554450205270","169145833"
"001530","DI동일","320000","9000","2.89","309500","329500","309500","49678","16057172500","803409600000","2510655"
"000210","DL","76600","-400","-0.52","77100","77200","76400","107192","8206329500","1605220714400","20955884"
"001880","DL건설","33150","0","0.00","33350","33500","33050","19525","648049800","731066364600","22053284"
"000215","DL우","45150","-150","-0.33","45150","45700","44900","5689","256410350","76128092250","1686115"
"375500","DL이앤씨","145000","0","0.00","145500","146000","144000","105026","15181069000","2807017010000","19358738"
"37550K","DL이앤씨우","80000","0","0.00","80000","80500","79400","6455","514251800","169110800000","2113885"
"004840","DRB동일","7510","70","0.94","7390","7600","7390","19115","143652890","149674300000","19930000"
"155660","DSR","6470","30","0.47","6440","6470","6390","17913","115126560","103520000000","16000000"
"069730","DSR제강","6240","0","0.00","6210","6240","6130","25947","160431360","89856000000","14400000"
