종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","중견기업부","2900","-30","-1.02","2925","2950","2900","138459","405727150","134187387700","46271513"
"054620","APS홀딩스","중견기업부","17850","2150","13.69","15800","18200","15550","705512","12105805650","364036844850","20394221"
"265520","AP시스템","우량기업부","30050","150","0.50","29800","30150","29400","127730","3818309000","435130821350","14480227"
"211270","AP위성","벤처기업부","16700","-1150","-6.44","17850","17850","16550","867592","14573848550","251874476800","15082304"
"013720","CBI","중견기업부","22750","0","0.00","0","0","0","0","0","186067040250","8178771"
"035760","CJ ENM","우량기업부","174900","-5000","-2.78","179000","179100","173800","217082","38008611300","3835409034600","21929154"
"051500","CJ프레시웨이","중견기업부","31950","-350","-1.08","31950","32100","31550","61708","1966751800","379297172700","11871586"
"058820","CMG제약","우량기업부","4910","-90","-1.80","4975","4975","4905","1049922","5174643025","681960918040","138892244"
"023460","CNH","벤처기업부","3440","20","0.58","3390","3470","3385","65406","224685665","127968000000","37200000"
"056730","CNT85","관리종목(소속부없음)","1550","0","0.00","0","0","0","0","0","109591063600","70703912"
"056000","COWON","투자주의환기종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","벤처기업부","5050","-20","-0.39","5150","5160","5050","378918","1927332810","97642542850","19335157"
"083660","CSA 코스믹","관리종목(소속부없음)","1730","70","4.22","1660","1745","1660","93092","159441620","65626017220","37934114"
"367340","DB금융스팩8호","SPAC(소속부없음)","2175","10","0.46","2175","2185","2165","92940","202000105","13158750000","6050000"
"367360","DB금융스팩9호","SPAC(소속부없음)","2190","10","0.46","2180","2220","2170","194140","425362575","10599600000","4840000"
"068790","DMS","우량기업부","7640","-50","-0.65","7700","7720","7570","73347","559635110","187738186040","24573061"
"241520","DSC인베스트먼트","벤처기업부","5550","0","0.00","5550","5590","5490","184382","1023358540","154353286650","27811403"
"245620","EDGC","기술성장기업부","5290","80","1.54","5270","5380","5230","1338523","7022729370","442403096750","83630075"
"037370","EG","중견기업부","13150","-300","-2.23","13400","13500","12800","70619","932925200","98625000000","7500000"
"079190","EMW","관리종목(소속부없음)","2780","0","0.00","0","0","0","0","0","88360067660","31784197"
"050120","ES큐브","중견기업부","6310","-100","-1.56","6420","6430","6280","43198","273764080","85589382660","13564086"
"130500","GH신소재","중견기업부","8880","690","8.42","8300","9100","8120","7397092","63909780270","97680000000","11000000"
"900290","GRT","관리종목(소속부없음)","951","0","0.00","0","0","0","0","0","64073625000","67375000"
"083450","GST","우량기업부","25750","-550","-2.09","26250","26250","25500","139310","3590514300","239931933750","9317745"
"028150","GS홈쇼핑","우량기업부","154900","0","0.00","0","0","0","0","0","1016531250000","6562500"
"045890","GV","관리종목(소속부없음)","240","0","0.00","0","0","0","0","0","20823884880","86766187"
"078150","HB테크놀러지","우량기업부","3135","110","3.64","3025","3180","2975","3553458","11054259325","247634985510","78990426"
"036640","HRS","중견기업부","6210","40","0.65","6170","6220","6090","171881","1058565910","101563308000","16354800"
"335870","IBKS제12호스팩","SPAC(소속부없음)","2440","-35","-1.41","2475","2475","2375","163519","394184715","7612800000","3120000"
"351340","IBKS제13호스팩","SPAC(소속부없음)","2250","5","0.22","2255","2255","2210","45998","102313570","11632500000","5170000"
"351320","IBKS제14호스팩","SPAC(소속부없음)","2280","0","0.00","0","0","0","0","0","9872400000","4330000"
"373200","IBKS제15호스팩","SPAC(소속부없음)","2320","-25","-1.07","2350","2350","2295","110557","255633225","8166400000","3520000"
"095340","ISC","우량기업부","26000","-50","-0.19","25700","26550","25250","559958","14584920900","425217676000","16354526"
"099520","ITX-AI","관리종목(소속부없음)","1285","0","0.00","0","0","0","0","0","37652662655","29301683"
"950170","JTC","외국기업(소속부없음)","5320","100","1.92","5180","5340","5130","75500","395314040","186229350440","35005517"
"067290","JW신약","중견기업부","5140","-20","-0.39","5170","5250","5100","70052","361621250","225835450120","43936858"
"035900","JYP Ent.","우량기업부","40700","750","1.88","40050","41200","39950","652753","26623632950","1444747924400","35497492"
"024840","KBI메탈","우량기업부","2650","-30","-1.12","2680","2680","2610","325892","863325710","87319747200","32950848"
"024120","KB오토시스","우량기업부","8630","-90","-1.03","8730","8740","8580","27148","234302080","99245000000","11500000"
"021320","KCC건설","우량기업부","10700","-50","-0.47","10750","10800","10500","42673","456213150","228980000000","21400000"
"036670","KCI","우량기업부","10000","10","0.10","9930","10100","9920","61467","615473220","112700000000","11270000"
"044180","KD","중견기업부","1920","-55","-2.78","1970","1975","1885","1101175","2115379830","31728691200","16525360"
"151860","KG ETS","우량기업부","20950","-1350","-6.05","22500","22550","20800","2657476","56418910550","754200000000","36000000"
"046440","KG모빌리언스","우량기업부","11350","-150","-1.30","11650","11650","11150","714089","8104588800","440670196800","38825568"
"035600","KG이니시스","우량기업부","21700","0","0.00","21700","21850","21250","145292","3135238950","605526217800","27904434"
"226360","KH E&T","벤처기업부","2255","-25","-1.10","2245","2285","2215","957409","2144998855","122524304265","54334503"
"111870","KH 일렉트론","중견기업부","1140","0","0.00","1150","1155","1125","852864","971703045","115204941240","101056966"
"060720","KH바텍","중견기업부","21450","0","0.00","21300","21600","21100","195608","4170741500","507805219350","23673903"
"122450","KMH","중견기업부","13250","50","0.38","13300","13650","12800","400250","5309679550","600701523000","45335964"
"052900","KMH하이텍","중견기업부","2105","30","1.45","2095","2105","2050","1440938","3043710990","98693975395","46885499"
"058400","KNN","우량기업부","2065","5","0.24","2055","2080","2035","1238225","2543317765","273467371800","132429720"
"114450","KPX생명과학","중견기업부","10300","50","0.49","10250","10500","10100","266260","2731529600","154500000000","15000000"
"060370","KT서브마린","중견기업부","7320","-190","-2.53","7470","7470","7300","184835","1361310530","160308000000","21900000"
"108320","LX세미콘","우량기업부","121200","7700","6.78","116200","123600","114300","494524","59288875900","1971233160000","16264300"
"160550","NEW","중견기업부","10150","440","4.53","9710","10200","9550","729775","7272497750","283246975900","27906106"
"053290","NE능률","중견기업부","18150","-1200","-6.20","19000","19050","18050","820439","15120261300","299952472050","16526307"
"104200","NHN벅스","중견기업부","6270","-30","-0.48","6300","6350","6240","11268","70857460","92968738500","14827550"
"060250","NHN한국사이버결제","우량기업부","57600","-700","-1.20","58800","58800","57100","111999","6452405000","1411359494400","24502769"
"030190","NICE평가정보","우량기업부","24300","-100","-0.41","24100","24450","23950","105442","2546974950","1475370126000","60714820"
"078590","OQP","관리종목(소속부없음)","3890","0","0.00","0","0","0","0","0","322897066620","83006958"
"178920","PI첨단소재","우량기업부","55100","-500","-0.90","55600","56200","54500","225270","12424058300","1618084342200","29366322"
"024940","PN풍년","벤처기업부","11300","450","4.15","11000","11300","10650","748779","8247101250","113000000000","10000000"
"218410","RFHIC","우량기업부","37350","-250","-0.66","37400","37500","36850","116103","4305777350","890708607000","23847620"
"327260","RF머트리얼즈","벤처기업부","28450","-250","-0.87","28800","28800","28200","17302","490398800","105084683900","3693662"
"091340","S&K폴리텍","중견기업부","5830","30","0.52","5810","5850","5760","32373","187702990","68232693430","11703721"
"019550","SBI인베스트먼트","벤처기업부","2070","55","2.73","2000","2070","1970","10148414","20562245760","335477810250","162066575"
"950110","SBI핀테크솔루션즈","외국기업(소속부없음)","8220","-80","-0.96","8240","8340","8150","17103","140738430","197674888800","24048040"
"046140","SBS콘텐츠허브","우량기업부","8790","250","2.93","8580","8860","8380","172974","1509379190","188664648450","21463555"
"036120","SCI평가정보","중견기업부","3915","25","0.64","3890","3930","3885","75794","296196525","138982500000","35500000"
"099220","SDN","우량기업부","3410","-140","-3.94","3480","3605","3395","7138443","24928528665","164289414740","48178714"
"036540","SFA반도체","우량기업부","7240","-60","-0.82","7290","7290","7200","914142","6605902690","1190692593720","164460303"
"255220","SG","중견기업부","2370","-45","-1.86","2400","2410","2355","212754","504764165","96685842180","40795714"
"040610","SG&G","중견기업부","3060","-90","-2.86","3125","3145","3050","451713","1392322310","104306819760","34087196"
"049470","SGA","중견기업부","1380","-35","-2.47","1415","1420","1365","811176","1123531375","72328903620","52412249"
"184230","SGA솔루션즈","벤처기업부","1770","-60","-3.28","1800","1840","1770","1414736","2549025560","75965709600","42918480"
"016250","SGC이테크건설","우량기업부","67500","-1200","-1.75","68700","68700","66900","4771","323097200","136636672500","2024247"
"337450","SK5호스팩","SPAC(소속부없음)","2715","-70","-2.51","2705","2835","2695","909439","2486759800","11701650000","4310000"
"340350","SK6호스팩","SPAC(소속부없음)","2200","-20","-0.90","2225","2225","2185","321926","708193855","12562000000","5710000"
"036490","SK머티리얼즈","우량기업부","356000","-3400","-0.95","359400","366700","353900","38424","13783185400","3754971588000","10547673"
"048550","SM C&C","중견기업부","3045","-25","-0.81","3085","3090","3030","966613","2949021280","288713562900","94815620"
"063440","SM Life Design","중견기업부","2775","0","0.00","2775","2805","2730","688794","1907237945","125233402350","45129154"
"950180","SNK","외국기업(소속부없음)","20850","-50","-0.24","20850","20850","20550","50265","1038853250","439138530000","21061800"
"289080","SV인베스트먼트","중견기업부","4525","235","5.48","4305","4975","4245","17659825","83220197935","240883850000","53234000"
"089230","THE E&M","중견기업부","1020","-5","-0.49","1015","1035","1000","2292199","2340786425","171254893080","167896954"
"161570","THE MIDONG","중견기업부","1875","15","0.81","1860","1880","1855","108651","202948650","29217806250","15582830"
"192410","THQ","중견기업부","3580","-45","-1.24","3635","3680","3580","65276","235734530","103219043300","28832135"
"032540","TJ미디어","중견기업부","5220","-160","-2.97","5450","5450","5190","40470","212794040","72722998980","13931609"
"048770","TPC","중견기업부","4890","-140","-2.78","4960","4960","4840","281568","1377957890","72242767080","14773572"
"246690","TS인베스트먼트","중견기업부","4095","-20","-0.49","4170","4170","4070","403895","1657611535","160220474505","39125879"
"317240","TS트릴리온","벤처기업부","1275","-15","-1.16","1290","1300","1270","283225","361934960","116132167575","91084053"
"038340","UCI","투자주의환기종목(소속부없음)","445","0","0.00","0","0","0","0","0","16641828315","37397367"
"073570","WI","중견기업부","1985","65","3.39","1910","2020","1865","4572317","8964170345","160596172905","80904873"
"057030","YBM넷","중견기업부","9840","330","3.47","9630","9900","9490","2061981","20100857250","160516938480","16312697"
"040300","YTN","중견기업부","3885","0","0.00","3930","3975","3855","62964","246677275","163170000000","42000000"
"051390","YW","중견기업부","4900","-35","-0.71","4960","4990","4885","34730","170843580","55641303200","11355368"
"052220","iMBC","중견기업부","4065","5","0.12","4095","4115","4025","126080","513201505","93495000000","23000000"
"079940","가비아","우량기업부","16150","-100","-0.62","16300","16300","15950","106515","1713354750","218601296600","13535684"
"078890","가온미디어","우량기업부","12850","-200","-1.53","13000","13100","12800","341329","4409899800","203697506100","15851946"
"036620","감성코퍼레이션","중견기업부","1675","-25","-1.47","1695","1705","1640","406019","680051225","123976310900","74015708"
"217730","강스템바이오텍","기술성장기업부","6480","-90","-1.37","6510","6570","6410","94990","614535300","165639738240","25561688"
"114190","강원","관리종목(소속부없음)","2500","0","0.00","0","0","0","0","0","45387277500","18154911"
"094480","갤럭시아머니트리","우량기업부","7330","-300","-3.93","7680","7680","7270","1125560","8359558600","287554712540","39229838"
"063080","게임빌","우량기업부","37250","-300","-0.80","37600","37600","36900","108991","4042942850","245670902000","6595192"
"039240","경남스틸","우량기업부","4065","65","1.63","4010","4105","4005","450988","1830476430","101625000000","25000000"
"053950","경남제약","중견기업부","7800","-340","-4.18","8110","8270","7790","963018","7724024920","152744599800","19582641"
"223310","경남제약헬스케어","관리종목(소속부없음)","3320","0","0.00","0","0","0","0","0","37836250520","11396461"
"011040","경동제약","우량기업부","10600","0","0.00","10550","10700","10500","98337","1040923350","326148919600","30768766"
"024910","경창산업","중견기업부","2825","-25","-0.88","2850","2850","2780","59716","167066920","101188689125","35819005"
"198440","고려시멘트","우량기업부","4910","-20","-0.41","5130","5130","4885","2508453","12549089975","157021603600","31979960"
"049720","고려신용정보","중견기업부","9350","0","0.00","9390","9440","9230","26504","248468890","133705000000","14300000"
"014570","고려제약","우량기업부","11800","0","0.00","11800","11850","11650","71638","839997400","129800000000","11000000"
"348150","고바이오랩","기술성장기업부","32800","-950","-2.81","33250","33800","32500","102783","3394420250","530098610400","16161543"
"098460","고영","우량기업부","23450","-150","-0.64","23400","23950","23300","114890","2705288600","1609954004750","68654755"
"035290","골드앤에스","관리종목(소속부없음)","1305","0","0.00","0","0","0","0","0","47272202550","36223910"
"038530","골드퍼시픽","중견기업부","1840","35","1.94","1855","1950","1770","43943077","82361944525","146069399120","79385543"
"900280","골든센츄리","외국기업(소속부없음)","508","-4","-0.78","511","511","500","1817560","918094191","89699384228","176573591"
"215000","골프존","우량기업부","143100","-2200","-1.51","144100","146000","141400","61787","8811653900","898011886500","6275415"
"121440","골프존뉴딘홀딩스","중견기업부","9400","-60","-0.63","9540","9740","9390","655265","6261148980","402666089200","42836818"
"014200","광림","중견기업부","4340","-105","-2.36","4595","4950","4140","9386934","43200999235","229682495560","52922234"
"026910","광진실업","중견기업부","6610","80","1.23","6530","6650","6480","54732","357783730","42339727050","6405405"
"090150","광진윈텍","중견기업부","5290","90","1.73","5240","5290","5160","609824","3194369960","51092898970","9658393"
"355150","교보10호스팩","SPAC(소속부없음)","2200","10","0.46","2170","2205","2170","38775","84974790","11704000000","5320000"
"331520","교보9호스팩","SPAC(소속부없음)","2225","15","0.68","2205","2230","2185","25686","56807155","8633000000","3880000"
"053270","구영테크","중견기업부","3895","-15","-0.38","3890","3925","3875","166092","645704075","102805307730","26394174"
"066620","국보디자인","우량기업부","24650","50","0.20","24450","24950","24400","17320","427950850","184875000000","7500000"
"043650","국순당","우량기업부","8430","-20","-0.24","8450","8470","8350","25457","214396480","150545502720","17858304"
"006050","국영지앤엠","중견기업부","3055","-110","-3.48","3325","3345","3015","12127486","38548106505","106604967365","34895243"
"060480","국일신동","중견기업부","5040","-80","-1.56","5130","5140","5000","83375","422601560","55893600000","11090000"
"078130","국일제지","중견기업부","5590","-50","-0.89","5640","5640","5570","822729","4603532040","712546639870","127468093"
"307750","국전약품","우량기업부","5160","400","8.40","4785","5700","4725","10807602","56271585465","247876178040","48038019"
"204020","그리티","중견기업부","4075","50","1.24","4025","4150","4010","119884","490893565","82100777250","20147430"
"186230","그린플러스","벤처기업부","16500","-450","-2.65","16800","16800","16450","476842","7585315800","178533102000","10820188"
"900070","글로벌에스엠","외국기업(소속부없음)","1160","0","0.00","1160","1175","1155","132234","153943510","62343002880","53743968"
"204620","글로벌텍스프리","중견기업부","3610","-50","-1.37","3660","3685","3590","157425","569039655","175939454510","48736691"
"019660","글로본","중견기업부","4330","0","0.00","4330","4350","4245","237645","1020735980","141869501270","32764319"
"053260","금강철강","우량기업부","6500","-220","-3.27","6740","6740","6500","34180","224285030","121680000000","18720000"
"036190","금화피에스시","우량기업부","34650","-300","-0.86","35150","35200","34400","7939","275158750","207900000000","6000000"
"049080","기가레인","중견기업부","2395","-180","-6.99","2470","2480","2380","2289955","5516314430","172558875825","72049635"
"035460","기산텔레콤","벤처기업부","3760","15","0.40","3745","3800","3600","205020","765939570","54810798400","14577340"
"308100","까스텔바작","우량기업부","15850","-200","-1.25","16050","16050","15700","71643","1135135400","104557695000","6596700"
"187790","나노","벤처기업부","1750","0","0.00","1750","1795","1750","206763","364375665","46257356250","26432775"
"286750","나노브릭","기술성장기업부","7990","-30","-0.37","8030","8080","7970","9378","74997460","74323523320","9302068"
"151910","나노스","중견기업부","6320","-80","-1.25","6400","6450","6190","456436","2892687710","939312193040","148625347"
"121600","나노신소재","벤처기업부","36050","1950","5.72","34200","36400","33750","946631","33565469000","391082404650","10848333"
"247660","나노씨엠에스","기술성장기업부","15400","200","1.32","15200","15450","14950","35285","536463900","64817368000","4208920"
"039860","나노엔텍","중견기업부","9550","400","4.37","9390","9800","9380","2168653","20821245180","255924022850","26798327"
"091970","나노캠텍","벤처기업부","2335","0","0.00","2340","2345","2295","136278","316659775","65567792375","28080425"
"051490","나라엠앤디","중견기업부","11000","500","4.76","10500","11000","10300","480094","5153546500","156200000000","14200000"
"190510","나무가","중견기업부","9020","-80","-0.88","9100","9100","8960","57551","518084130","123954463600","13742180"
"242040","나무기술","기술성장기업부","3625","5","0.14","3660","3665","3595","711890","2579491810","122586570625","33816985"
"089600","나스미디어","우량기업부","41300","700","1.72","40700","41650","40000","88930","3652660750","396682783000","9604910"
"293580","나우IB","벤처기업부","12150","-50","-0.41","12300","12300","11950","35435","427835100","116360550000","9577000"
"138610","나이벡","기술성장기업부","46550","1250","2.76","45350","46850","44300","257629","11754878850","460983672450","9902979"
"130580","나이스디앤비","우량기업부","10450","-150","-1.42","10650","10650","10400","9836","103319300","160930000000","15400000"
"036800","나이스정보통신","우량기업부","35450","-50","-0.14","35500","35550","34500","30121","1054919150","354500000000","10000000"
"267320","나인테크","우량기업부","4535","45","1.00","4490","4575","4405","304992","1375354365","178663372390","39396554"
"111710","남화산업","중견기업부","12400","-250","-1.98","12600","12600","12200","286310","3560422300","255291200000","20588000"
"091590","남화토건","우량기업부","14800","-500","-3.27","15100","15450","14650","929101","13962340450","173752000000","11740000"
"168330","내츄럴엔도텍","관리종목(소속부없음)","2525","0","0.00","0","0","0","0","0","69623158200","27573528"
"094860","네오리진","벤처기업부","1995","-60","-2.92","2055","2065","1995","328990","661742435","107087691795","53678041"
"253590","네오셈","벤처기업부","3340","65","1.98","3275","3355","3250","136636","452903950","125502463920","37575588"
"212560","네오오토","우량기업부","10400","-100","-0.95","10550","10600","10300","236949","2470176300","81899615200","7874963"
"095660","네오위즈","우량기업부","28900","350","1.23","28400","29050","28100","335574","9595457550","636774479100","22033719"
"042420","네오위즈홀딩스","우량기업부","31250","-350","-1.11","31900","31900","31250","34773","1094651400","276777062500","8856866"
"950220","네오이뮨텍(Reg.S)","외국기업(소속부없음)","10500","-100","-0.94","10600","10750","10450","504416","5325766350","1033116105000","98392010"
"311390","네오크레마","벤처기업부","11450","-50","-0.43","11550","11550","11350","38110","436470050","83768142750","7315995"
"085910","네오티스","중견기업부","5200","-240","-4.41","5440","5440","5190","267775","1425599380","66462546800","12781259"
"092730","네오팜","우량기업부","33800","-200","-0.59","34200","34200","33450","27713","933820000","277408801800","8207361"
"290660","네오펙트","기술성장기업부","4020","155","4.01","3880","4080","3785","784272","3143457195","76003245600","18906280"
"306620","네온테크","벤처기업부","3385","-40","-1.17","3415","3430","3350","208894","707539340","133185306205","39345733"
"153460","네이블","벤처기업부","6600","50","0.76","6560","6700","6550","10902","71740080","43098092400","6530014"
"007390","네이처셀","중견기업부","30800","1600","5.48","29200","31000","28650","1102340","32920779400","1889778814000","61356455"
"033640","네패스","중견기업부","41600","-450","-1.07","41700","42650","41550","347113","14580485350","959262803200","23059202"
"330860","네패스아크","중견기업부","47400","-850","-1.76","47800","48300","47200","44572","2127143900","577523733000","12184045"
"089140","넥스턴바이오","벤처기업부","7290","10","0.14","7280","7430","7150","1035114","7579803820","242180098560","33220864"
"065170","넥스트BT","중견기업부","1755","-30","-1.68","1780","1810","1755","1076497","1906456975","153715872960","87587392"
"137940","넥스트아이","중견기업부","1770","-20","-1.12","1780","1780","1735","840210","1476727315","136495626210","77116173"
