,code,자산,유동자산,부채,유동부채,이익잉여금,자본총계,영업이익,매출액,매출총이익,영업활동으로인한현금흐름,투자활동으로인한현금흐름,재무활동으로인한현금흐름,당기순이익,이자비용,법인세비용,매출총이익률,영업이익률,당기순이익률,roe,ebit
0,950130,164053853,92650593,56018769,44350863,54481402,108035084,58701187,92215510,70901236,35776161,-6783389,10899072,43561926,350557,-12414775,76.88645435024975,63.65652263919594,47.239261594931264,40.322017984454014,31497708.0
1,036460,34147454348333,6646681861990,27588713563171,6924844208817,4162458546602,6558740785162,950550738498,20004187240730,1316948200113,2922032910813,-750785437432,-2170907529448,-93602409885,752317082777,143628417445,6.583362694344294,4.751758854579249,-0.4679140859790524,-1.4271399488261378,802343090337.0
2,185750,923716370018,594551493533,375237827631,310449550827,269245840050,548478542387,126607800093,1300544358234,489626850070,107015423288,-66561980817,5989617815,88684543198,2665627340,31434067723,37.64783930437105,9.734985146136795,6.81903255636925,16.169191015575816,122784238261.0
3,004490,1336484561550,841303242307,235593527974,225249776570,1054708452346,1100891033576,86323321239,1077016196453,171398715168,144936544602,-107105862499,-31466911752,60797697660,4908012150,18506110152,15.914218907057975,8.015043926293181,5.6450123833075665,5.522589957201503,84211819962.0
4,016740,264851797805,124757077369,112976922614,66012081493,53822416218,151874875191,15716869784,236980268939,39244142674,14771991920,-43764333705,28603092212,5287377943,1332604090,3064438260,16.560088673079214,6.632142774741136,2.2311469079989097,3.4814039757073174,9684420293.0
5,001770,64200496109,41573034080,29596284970,22741626283,27244259271,34604211139,187172486,77326954913,5040185262,2635738274,-774072065,-641487810,489045220,333856138,107078350,6.5180185456296265,0.24205335152610938,0.6324382235796319,1.4132534853506056,929979708.0
6,215000,348043074494,104804073299,119465961013,71161458103,147654433656,228577113481,51582977016,281031444981,166769424932,84563963697,-52159517770,-24499222762,36329008468,1159397526,10983997739,59.34190920993733,18.35487734103471,12.927026180453272,15.893545908750733,48472403733.0
7,092440,258083397669,118659770748,17665991037,10817363593,204615635381,240417406632,8676983024,108347002021,19457168079,14681810613,-3717119747,-4672922529,7518448270,24566179,2119355030,17.958197011513782,8.00851233734941,6.9392305553066995,3.127247887466099,9662369479.0
8,025860,589444547288,383050610515,136525967184,118787782221,365234244154,452918580104,26391593903,1009845248219,116718870537,52497442953,-33445348582,-10956283217,25044473893,928203072,7385916830,11.558094742026034,2.61342952789501,2.4800308697960753,5.529575290828043,33358593795.0
9,060310,48253314702,14810426652,15870976209,13097592540,-33731308567,32382338493,389061821,19470454452,3175111013,675743629,-1018782364,-1178645850,-728262536,389323187,-5403688,16.307328731476286,1.9982164358779804,-3.74034688196604,-2.2489497976108996,-344343037.0
