종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","6220","150","2.47","6070","6220","5920","131367","797119450","291234674900","46822295"
"006840","AK홀딩스","27100","-150","-0.55","27400","27600","27100","29149","794426550","359008903100","13247561"
"027410","BGF","6090","-90","-1.46","6180","6210","6090","154972","951127170","582915257190","95716791"
"282330","BGF리테일","175000","500","0.29","172000","176000","171500","26308","4579498500","3024683550000","17283906"
"138930","BNK금융지주","7960","-90","-1.12","8000","8030","7930","1677563","13372616570","2594444558160","325935246"
"001460","BYC","451500","-1500","-0.33","452500","452500","444500","75","33707500","282013672500","624615"
"001465","BYC우","179500","-1000","-0.55","180500","180500","179500","170","30551500","38661607500","215385"
"001040","CJ","104000","1000","0.97","103500","104000","102000","71365","7375400000","3034407792000","29176998"
"079160","CJ CGV","31800","-100","-0.31","31900","32100","31200","367348","11615271550","1180890074400","37134908"
"00104K","CJ4우(전환)","83100","600","0.73","82800","83100","81900","5741","474956000","351223147200","4226512"
"000120","CJ대한통운","169000","1000","0.60","167000","171000","166000","35040","5906234000","3855286136000","22812344"
"011150","CJ씨푸드","4080","-25","-0.61","4035","4115","4035","64991","264604110","146597553840","35930773"
"011155","CJ씨푸드1우","38950","100","0.26","38850","39000","38850","245","9547300","7790000000","200000"
"001045","CJ우","62500","100","0.16","62500","62600","62000","1576","98232100","141263937500","2260223"
"097950","CJ제일제당","431000","1500","0.35","429500","433000","427000","42846","18448016000","6488354166000","15054186"
"097955","CJ제일제당 우","201000","-500","-0.25","201500","202500","199500","5952","1197788000","266814033000","1327433"
"000590","CS홀딩스","64000","100","0.16","63800","65100","63200","1159","73872900","73886848000","1154482"
"012030","DB","1025","-20","-1.91","1050","1055","1025","1112254","1148064255","206203281325","201173933"
"016610","DB금융투자","6720","-100","-1.47","6800","6860","6720","105230","710074950","285239734080","42446389"
"005830","DB손해보험","60800","-600","-0.98","61100","61400","60600","180425","10980739500","4304640000000","70800000"
"000990","DB하이텍","57600","900","1.59","56700","57700","55900","526996","30067922300","2557358668800","44398588"
"000995","DB하이텍1우","110500","4500","4.25","107500","111000","107000","184","19840000","12410918000","112316"
"139130","DGB금융지주","9210","-150","-1.60","9310","9330","9180","461188","4259101420","1557833121930","169145833"
"001530","DI동일","336000","1500","0.45","333500","336500","321000","40254","13218259500","843580080000","2510655"
"000210","DL","72200","-1300","-1.77","73000","73500","72000","240083","17356701900","1513014824800","20955884"
"001880","DL건설","32700","200","0.62","32500","32700","32050","15908","515611550","721142386800","22053284"
"000215","DL우","44500","150","0.34","44050","44500","43850","1919","84622150","75032117500","1686115"
"375500","DL이앤씨","139500","-2000","-1.41","141000","142000","139500","86783","12181011000","2700543951000","19358738"
"37550K","DL이앤씨우","77600","-200","-0.26","77900","78200","77500","6344","493766700","164037476000","2113885"
"004840","DRB동일","6780","190","2.88","6520","6960","6520","58938","398816310","135125400000","19930000"
"155660","DSR","9730","-1120","-10.32","10150","10350","9480","1231286","12029696070","155680000000","16000000"
"069730","DSR제강","9410","-1340","-12.47","10100","10200","9330","1640349","15935907340","135504000000","14400000"
"017940","E1","64000","-1200","-1.84","65200","65200","63300","35541","2279458000","439040000000","6860000"
"365550","ESR켄달스퀘어리츠","6800","90","1.34","6730","6840","6640","198733","1344942940","974161200000","143259000"
"383220","F&F","712000","-11000","-1.52","720000","721000","700000","46076","32749529000","5454927480000","7661415"
"007700","F&F홀딩스","35650","-650","-1.79","36600","36600","35600","91951","3296447350","1394427183550","39114367"
"114090","GKL","15950","-100","-0.62","16150","16300","15950","328168","5272696500","986597936500","61855670"
"078930","GS","43050","-550","-1.26","43850","43850","42800","355310","15308928600","4000007022900","92915378"
"006360","GS건설","46150","50","0.11","46150","46500","45400","747169","34427571900","3949585763500","85581490"
"001250","GS글로벌","2650","0","0.00","2665","2665","2580","439574","1149720240","218714474600","82533764"
"007070","GS리테일","34150","150","0.44","33800","34200","33400","309422","10484646500","3576117036300","104717922"
"078935","GS우","36600","-200","-0.54","36800","36800","36550","5361","196381700","65324631600","1784826"
"012630","HDC","11450","-100","-0.87","11450","11500","11350","164711","1881741900","684042705450","59741721"
"039570","HDC아이콘트롤스","12600","50","0.40","12600","12650","12400","16564","207018350","207396000000","16460000"
"089470","HDC현대EP","6150","200","3.36","5950","6220","5850","631328","3870211170","196185000000","31900000"
"294870","HDC현대산업개발","28600","-250","-0.87","28600","28750","28250","304923","8694578250","1884949638000","65907330"
"011200","HMM","38550","600","1.58","38000","38550","37500","5550458","212401545700","15627880373850","405392487"
"082740","HSD엔진","7720","-260","-3.26","7920","7950","7660","445722","3446738430","360688019120","46721246"
"003560","IHQ","1590","0","0.00","1590","1600","1560","671204","1056633960","232514839320","146235748"
"175330","JB금융지주","8210","-130","-1.56","8310","8350","8210","340148","2809752480","1617229559740","196982894"
"234080","JW생명과학","17050","100","0.59","17000","17050","16650","39793","671051900","269979145700","15834554"
"001060","JW중외제약","26400","-100","-0.38","26500","27000","26400","40164","1065400900","568654046400","21539926"
"001067","JW중외제약2우B","62000","2700","4.55","59200","62000","59000","523","31460300","5767736000","93028"
"001065","JW중외제약우","35600","-300","-0.84","35650","35650","34800","560","19729550","6318501600","177486"
"096760","JW홀딩스","4065","-15","-0.37","4120","4120","4050","44154","179974415","278213404830","68441182"
"105560","KB금융","52100","0","0.00","52100","52200","51800","914476","47577027600","21663592632000","415807920"
"002380","KCC","454000","-4000","-0.87","457500","457500","446500","51681","23338329500","4034457834000","8886471"
"344820","KCC글라스","81200","6400","8.56","76000","81400","74800","352643","27927347700","1296805574400","15970512"
"009070","KCTC","6660","-10","-0.15","6670","6680","6450","172399","1132120300","199800000000","30000000"
"009440","KC그린홀딩스","5770","-100","-1.70","5870","5910","5710","105419","607765320","129449834600","22434980"
"119650","KC코트렐","7340","-60","-0.81","7490","7500","7300","124577","918294730","129184000000","17600000"
"092220","KEC","2215","-35","-1.56","2240","2255","2205","1028120","2285565825","258505872100","116706940"
"016380","KG동부제철","14350","-350","-2.38","14700","14800","14250","255709","3682043300","1435127671950","100008897"
"016385","KG동부제철우","118500","4000","3.49","115000","118500","115000","134","15620000","6326122500","53385"
"001390","KG케미칼","33800","500","1.50","33200","33850","32800","103687","3462677100","468674044800","13866096"
"033180","KH 필룩스","3490","0","0.00","3490","3550","3405","2204270","7684994535","477188621360","136730264"
"001940","KISCO홀딩스","21650","-250","-1.14","21850","21850","21300","24691","531780600","400013627000","18476380"
"025000","KPX케미칼","61400","-800","-1.29","61500","62200","61000","5663","347975700","297176000000","4840000"
"092230","KPX홀딩스","67400","100","0.15","67500","67500","66500","1533","102976400","284741140400","4224646"
"000040","KR모터스","1065","-5","-0.47","1080","1080","1015","331756","347521890","102386296920","96137368"
"044450","KSS해운","11900","200","1.71","11750","12050","11450","122726","1459386600","275911972000","23185880"
"030200","KT","32550","50","0.15","32500","32650","32300","550146","17870405050","8499189350400","261111808"
"033780","KT&G","81100","-200","-0.25","81100","81300","81000","431967","35049276500","11134421506700","137292497"
"030210","KTB투자증권","6960","10","0.14","6940","7020","6900","175283","1220635170","419786080320","60314092"
"058850","KTcs","2815","-5","-0.18","2825","2830","2780","74883","210037960","120158275000","42685000"
"058860","KTis","2655","35","1.34","2620","2655","2600","74984","197785340","92399310000","34802000"
"093050","LF","18300","-200","-1.08","18500","18500","18150","62404","1143026350","535092000000","29240000"
"003550","LG","94600","-200","-0.21","93500","94700","93100","206462","19428014700","14880673937800","157300993"
"034220","LG디스플레이","20000","200","1.01","19850","20050","19400","3764635","74250734250","7156314000000","357815700"
"051900","LG생활건강","1358000","-25000","-1.81","1369000","1376000","1356000","43710","59450817000","21209511526000","15618197"
"051905","LG생활건강우","661000","-12000","-1.78","669000","671000","661000","7246","4815777800","1387899717000","2099697"
"003555","LG우","69900","0","0.00","69900","69900","69200","2621","182608400","211211238000","3021620"
"032640","LG유플러스","14550","0","0.00","14550","14600","14350","1077226","15616797350","6352695302550","436611361"
"011070","LG이노텍","216000","7000","3.35","212500","217000","209000","318318","68019347500","5112095112000","23667107"
"066570","LG전자","139500","-1500","-1.06","140500","141000","139000","799115","111528630000","22828870053000","163647814"
"066575","LG전자우","69100","-1200","-1.71","70300","70300","69100","62857","4365956200","1187552047200","17185992"
"037560","LG헬로비전","7690","-10","-0.13","7650","7730","7520","759605","5789255180","595566391850","77446865"
"051910","LG화학","701000","-15000","-2.09","712000","713000","701000","337421","237816380000","49485232443000","70592343"
"051915","LG화학우","338000","-5000","-1.46","343000","343000","338000","27703","9401804158","2598814400000","7688800"
"079550","LIG넥스원","52600","800","1.54","52100","53000","50700","180179","9424823300","1157200000000","22000000"
"006260","LS","67400","-1100","-1.61","68000","68100","67000","109860","7419221300","2170280000000","32200000"
"010120","LS ELECTRIC","67700","-1300","-1.88","68300","68700","66900","126620","8567133400","2031000000000","30000000"
"000680","LS네트웍스","4135","55","1.35","4045","4185","3980","377168","1548403370","325850471160","78803016"
"229640","LS전선아시아","9000","80","0.90","8930","9040","8780","209292","1874191160","275623911000","30624879"
"001120","LX인터내셔널","29700","-1100","-3.57","30700","31050","29500","356956","10709219500","1151172000000","38760000"
"108670","LX하우시스","84500","300","0.36","83700","85300","83000","41797","3522131700","757768115000","8967670"
"108675","LX하우시스우","39900","200","0.50","39700","40000","39100","1016","40138650","41189967000","1032330"
"383800","LX홀딩스","9930","-50","-0.50","9970","9980","9860","321784","3191366510","757467251700","76280690"
"38380K","LX홀딩스1우","15650","-150","-0.95","15800","15800","15550","4279","66768250","22931710250","1465285"
"023150","MH에탄올","14100","-2200","-13.50","15400","15450","13850","804916","11561227350","104037216600","7378526"
"035420","NAVER","403000","1000","0.25","404500","405000","397500","558566","224377268500","66198148185000","164263395"
"181710","NHN","71900","3900","5.74","68000","71900","67400","102025","7152945600","1406725297500","19565025"
"005940","NH투자증권","13400","150","1.13","13200","13450","13150","808371","10795474600","3770879085800","281408887"
"005945","NH투자증권우","12500","50","0.40","12500","12550","12400","37736","471174750","235887100000","18870968"
"338100","NH프라임리츠","4830","-10","-0.21","4840","4840","4815","16545","79888770","90127800000","18660000"
"034310","NICE","18300","150","0.83","18150","18300","18000","34030","619225850","693246090000","37882300"
"008260","NI스틸","4560","-25","-0.55","4565","4620","4530","49319","224944985","130416533520","28600117"
"004250","NPC","7280","-220","-2.93","7520","7550","7280","1364009","10060825690","267321600000","36720000"
"004255","NPC우","3345","-100","-2.90","3420","3420","3340","43834","146797215","17661600000","5280000"
"010060","OCI","142000","-4000","-2.74","146500","147000","142000","300830","43246946000","3386610682000","23849371"
"178920","PI첨단소재","59800","-700","-1.16","60300","60600","59000","197232","11742773500","1756106055600","29366322"
"005490","POSCO","362500","-2000","-0.55","359000","365500","356000","461597","166475091500","31605227687500","87186835"
"010950","S-Oil","101500","0","0.00","102000","102500","100500","289375","29398907500","11427153388000","112582792"
"010955","S-Oil우","60200","-200","-0.33","60500","60500","59100","6757","405333100","242120005400","4021927"
"034120","SBS","55100","2200","4.16","53200","55300","52900","143543","7798454500","1005717268200","18252582"
"101060","SBS미디어홀딩스","2090","-20","-0.95","2095","2115","2070","186722","390291305","292383037100","139896190"
"005090","SGC에너지","51600","200","0.39","51400","52000","50500","114852","5901220400","757333406400","14677004"
"001380","SG글로벌","2460","0","0.00","2510","2510","2425","111428","274225265","110611791780","44964143"
"004060","SG세계물산","751","0","0.00","751","757","745","358220","267992953","152021144960","202424960"
"001770","SHD","29300","-300","-1.01","29600","29900","28950","10543","309666150","35595925400","1214878"
"002360","SH에너지화학","1040","-40","-3.70","1080","1105","1030","2546340","2658513470","115579079200","111133730"
"009160","SIMPAC","7960","-160","-1.97","8210","8330","7930","354925","2868258360","520818947360","65429516"
"123700","SJM","4850","-60","-1.22","4895","4895","4790","30350","147507140","75683755300","15604898"
"025530","SJM홀딩스","4005","5","0.13","3995","4035","3975","10422","41649370","59810702040","14934008"
"034730","SK","273500","2000","0.74","272500","278000","269000","314171","86225056500","19243541229500","70360297"
"011790","SKC","175500","1000","0.57","173000","177500","169500","329971","57343976500","6645886299000","37868298"
"018670","SK가스","171000","-500","-0.29","173000","175000","165500","85738","14643139500","1578371724000","9230244"
"001740","SK네트웍스","5350","-100","-1.83","5420","5430","5320","779170","4175002140","1327803911450","248187647"
"001745","SK네트웍스우","103000","500","0.49","102000","103500","102000","115","11857500","11705744000","113648"
"006120","SK디스커버리","50400","-600","-1.18","51000","51000","49900","60832","3054887050","959507892000","19037855"
"006125","SK디스커버리우","41550","-1300","-3.03","42850","42950","39700","22812","951712150","56443805250","1358455"
"210980","SK디앤디","37550","100","0.27","37450","37600","36850","41656","1544357050","833240658200","22190164"
"068400","SK렌터카","12800","50","0.39","12750","12850","12600","29201","371118700","605258752000","47285840"
"395400","SK리츠","5770","30","0.52","5720","5790","5570","3200578","18102506950","894468469640","155020532"
"302440","SK바이오사이언스","272500","-7500","-2.68","275000","281500","271000","1610697","440806757500","20846250000000","76500000"
"326030","SK바이오팜","113500","-500","-0.44","113500","114000","112000","153055","17271383000","8888553875000","78313250"
