종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","중견기업부","3615","-255","-6.59","3815","3890","3570","524482","1938846500","167271519495","46271513"
"054620","APS홀딩스","중견기업부","14950","-350","-2.29","15350","15850","14800","91188","1375977000","304893603950","20394221"
"265520","AP시스템","우량기업부","23100","-800","-3.35","23950","24250","23000","176719","4138190850","334493243700","14480227"
"211270","AP위성","벤처기업부","15550","-1100","-6.61","16650","16900","15150","352166","5576372050","234529827200","15082304"
"013720","CBI","중견기업부","3495","-355","-9.22","3900","3930","3455","1160173","4283074240","177188723625","50697775"
"035760","CJ ENM","우량기업부","161900","8400","5.47","155500","162500","154500","471463","75091515400","3550330032600","21929154"
"051500","CJ프레시웨이","중견기업부","33000","-300","-0.90","33250","34200","32750","46025","1527908750","391762338000","11871586"
"058820","CMG제약","우량기업부","3820","90","2.41","3735","3950","3735","1558019","5990116315","530568372080","138892244"
"023460","CNH","벤처기업부","3040","-120","-3.80","3160","3265","3010","96800","298359960","113088000000","37200000"
"056730","CNT85","관리종목(소속부없음)","1550","0","0.00","0","0","0","0","0","109591063600","70703912"
"056000","COWON","투자주의환기종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","벤처기업부","3490","-310","-8.16","3780","3975","3430","658873","2382146070","67744843700","19411130"
"083660","CSA 코스믹","관리종목(소속부없음)","1350","-25","-1.82","1375","1440","1340","27764","38113080","51211053900","37934114"
"367340","DB금융스팩8호","SPAC(소속부없음)","2120","-10","-0.47","2150","2150","2095","21845","45879425","12826000000","6050000"
"367360","DB금융스팩9호","SPAC(소속부없음)","2075","-25","-1.19","2110","2120","2075","15611","32520920","10043000000","4840000"
"068790","DMS","우량기업부","6050","-250","-3.97","6280","6420","6020","220370","1356340630","148667019050","24573061"
"241520","DSC인베스트먼트","벤처기업부","5100","-60","-1.16","5140","5320","4985","575508","2929102495","141838155300","27811403"
"245620","EDGC","기술성장기업부","3080","-165","-5.08","3195","3305","3080","675340","2135581425","257760136480","83688356"
"037370","EG","중견기업부","17300","-1350","-7.24","19050","19100","16650","389675","6926317700","139286348200","8051234"
"079190","EMW","벤처기업부","2190","-915","-29.47","3105","3300","2175","12240897","31456375130","69607391430","31784197"
"050120","ES큐브","중견기업부","4065","-135","-3.21","4225","4395","4010","28177","116112565","55138009590","13564086"
"130500","GH신소재","중견기업부","4860","-390","-7.43","5250","5440","4855","390446","1984443880","70688952720","14545052"
"900290","GRT","관리종목(소속부없음)","951","0","0.00","0","0","0","0","0","64073625000","67375000"
"083450","GST","우량기업부","23300","-700","-2.92","24800","25250","23300","304341","7342726500","217103458500","9317745"
"045890","GV","관리종목(소속부없음)","240","0","0.00","0","0","0","0","0","20823884880","86766187"
"297890","HB솔루션","벤처기업부","19800","800","4.21","19700","20250","19400","221596","4380241600","329477722200","16640289"
"078150","HB테크놀러지","우량기업부","2235","-45","-1.97","2265","2340","2210","873452","1962630730","176543602110","78990426"
"195940","HK이노엔","중견기업부","58300","-9900","-14.52","65100","80300","58300","23826178","1703807365500","1685132291700","28904499"
"036640","HRS","중견기업부","7420","-750","-9.18","8080","8170","7420","1635178","12708912570","121352616000","16354800"
"335870","IBKS제12호스팩","SPAC(소속부없음)","2230","-40","-1.76","2270","2275","2230","70210","157803115","6957600000","3120000"
"351340","IBKS제13호스팩","SPAC(소속부없음)","2110","-25","-1.17","2155","2155","2085","30618","64352965","10908700000","5170000"
