종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","중견기업부",,,,,,,,,,"46271513"
"054620","APS홀딩스","중견기업부",,,,,,,,,,"20394221"
"265520","AP시스템","우량기업부",,,,,,,,,,"14480227"
"211270","AP위성","벤처기업부",,,,,,,,,,"15082304"
"013720","CBI","중견기업부",,,,,,,,,,"50697775"
"035760","CJ ENM","우량기업부",,,,,,,,,,"21929154"
"051500","CJ프레시웨이","중견기업부",,,,,,,,,,"11871586"
"058820","CMG제약","우량기업부",,,,,,,,,,"138892244"
"023460","CNH","벤처기업부",,,,,,,,,,"37200000"
"056730","CNT85","관리종목(소속부없음)",,,,,,,,,,"70703912"
"056000","COWON","투자주의환기종목(소속부없음)",,,,,,,,,,"19720225"
"065770","CS","벤처기업부",,,,,,,,,,"19411130"
"083660","CSA 코스믹","관리종목(소속부없음)",,,,,,,,,,"37934114"
"367340","DB금융스팩8호","SPAC(소속부없음)",,,,,,,,,,"6050000"
"367360","DB금융스팩9호","SPAC(소속부없음)",,,,,,,,,,"4840000"
"068790","DMS","우량기업부",,,,,,,,,,"24573061"
"241520","DSC인베스트먼트","벤처기업부",,,,,,,,,,"27811403"
"245620","EDGC","기술성장기업부",,,,,,,,,,"83688356"
"037370","EG","중견기업부",,,,,,,,,,"8051234"
"079190","EMW","벤처기업부",,,,,,,,,,"31784197"
"050120","ES큐브","중견기업부",,,,,,,,,,"13564086"
"130500","GH신소재","중견기업부",,,,,,,,,,"14545052"
"900290","GRT","관리종목(소속부없음)",,,,,,,,,,"67375000"
"083450","GST","우량기업부",,,,,,,,,,"9317745"
"045890","GV","관리종목(소속부없음)",,,,,,,,,,"86766187"
"297890","HB솔루션","벤처기업부",,,,,,,,,,"16640289"
"078150","HB테크놀러지","우량기업부",,,,,,,,,,"78990426"
"195940","HK이노엔","중견기업부",,,,,,,,,,"28904499"
"036640","HRS","중견기업부",,,,,,,,,,"16354800"
"335870","IBKS제12호스팩","SPAC(소속부없음)",,,,,,,,,,"3120000"
"351340","IBKS제13호스팩","SPAC(소속부없음)",,,,,,,,,,"5170000"
"351320","IBKS제14호스팩","SPAC(소속부없음)",,,,,,,,,,"4330000"
"373200","IBKS제15호스팩","SPAC(소속부없음)",,,,,,,,,,"3520000"
"388790","IBKS제16호스팩","SPAC(소속부없음)",,,,,,,,,,"3410000"
"095340","ISC","우량기업부",,,,,,,,,,"16544516"
"099520","ITX-AI","관리종목(소속부없음)",,,,,,,,,,"29301683"
"950170","JTC","외국기업(소속부없음)",,,,,,,,,,"35005517"
"067290","JW신약","중견기업부",,,,,,,,,,"43936858"
"035900","JYP Ent.","우량기업부",,,,,,,,,,"35497492"
"024840","KBI메탈","우량기업부",,,,,,,,,,"32950848"
"024120","KB오토시스","우량기업부",,,,,,,,,,"11500000"
"021320","KCC건설","우량기업부",,,,,,,,,,"21400000"
"036670","KCI","우량기업부",,,,,,,,,,"11270000"
"044180","KD","중견기업부",,,,,,,,,,"16525360"
"151860","KG ETS","우량기업부",,,,,,,,,,"36000000"
"046440","KG모빌리언스","우량기업부",,,,,,,,,,"38825568"
"035600","KG이니시스","우량기업부",,,,,,,,,,"27904434"
"226360","KH E&T","벤처기업부",,,,,,,,,,"58704053"
"111870","KH 일렉트론","중견기업부",,,,,,,,,,"107576234"
"060720","KH바텍","중견기업부",,,,,,,,,,"23677442"
"122450","KMH","중견기업부",,,,,,,,,,"45335964"
"052900","KMH하이텍","중견기업부",,,,,,,,,,"46885499"
"058400","KNN","우량기업부",,,,,,,,,,"132429720"
"114450","KPX생명과학","중견기업부",,,,,,,,,,"15000000"
"060370","KT서브마린","중견기업부",,,,,,,,,,"21900000"
"108320","LX세미콘","우량기업부",,,,,,,,,,"16264300"
"160550","NEW","중견기업부",,,,,,,,,,"27906106"
"053290","NE능률","중견기업부",,,,,,,,,,"16526307"
"104200","NHN벅스","중견기업부",,,,,,,,,,"14827550"
"060250","NHN한국사이버결제","우량기업부",,,,,,,,,,"24502769"
"030190","NICE평가정보","우량기업부",,,,,,,,,,"60714820"
"078590","OQP","관리종목(소속부없음)",,,,,,,,,,"83006958"
"024940","PN풍년","벤처기업부",,,,,,,,,,"10000000"
"218410","RFHIC","우량기업부",,,,,,,,,,"26647620"
"327260","RF머트리얼즈","벤처기업부",,,,,,,,,,"3998849"
"091340","S&K폴리텍","중견기업부",,,,,,,,,,"11703721"
"019550","SBI인베스트먼트","벤처기업부",,,,,,,,,,"162066575"
"950110","SBI핀테크솔루션즈","외국기업(소속부없음)",,,,,,,,,,"24048040"
"046140","SBS콘텐츠허브","우량기업부",,,,,,,,,,"21463555"
"036120","SCI평가정보","중견기업부",,,,,,,,,,"35500000"
"099220","SDN","우량기업부",,,,,,,,,,"53169438"
"036540","SFA반도체","우량기업부",,,,,,,,,,"164460303"
"255220","SG","중견기업부",,,,,,,,,,"41340267"
"040610","SG&G","중견기업부",,,,,,,,,,"34087196"
"049470","SGA","중견기업부",,,,,,,,,,"52862249"
"184230","SGA솔루션즈","벤처기업부",,,,,,,,,,"46175806"
"016250","SGC이테크건설","우량기업부",,,,,,,,,,"2024247"
"337450","SK5호스팩","SPAC(소속부없음)",,,,,,,,,,"4310000"
"340350","SK6호스팩","SPAC(소속부없음)",,,,,,,,,,"5710000"
"036490","SK머티리얼즈","우량기업부",,,,,,,,,,"10547673"
"048550","SM C&C","중견기업부",,,,,,,,,,"95304620"
"063440","SM Life Design","중견기업부",,,,,,,,,,"45129154"
"950180","SNK","외국기업(소속부없음)",,,,,,,,,,"21061800"
"289080","SV인베스트먼트","중견기업부",,,,,,,,,,"53234000"
"089230","THE E&M","중견기업부",,,,,,,,,,"173450191"
"161570","THE MIDONG","중견기업부",,,,,,,,,,"15582830"
"192410","THQ","중견기업부",,,,,,,,,,"28929899"
"032540","TJ미디어","중견기업부",,,,,,,,,,"13931609"
"048770","TPC","중견기업부",,,,,,,,,,"14773572"
"246690","TS인베스트먼트","중견기업부",,,,,,,,,,"39125879"
"317240","TS트릴리온","벤처기업부",,,,,,,,,,"91084053"
"038340","UCI","투자주의환기종목(소속부없음)",,,,,,,,,,"37397367"
"073570","WI","중견기업부",,,,,,,,,,"80904873"
"057030","YBM넷","중견기업부",,,,,,,,,,"16312697"
"040300","YTN","중견기업부",,,,,,,,,,"42000000"
"051390","YW","중견기업부",,,,,,,,,,"11355368"
"052220","iMBC","중견기업부",,,,,,,,,,"23000000"
"079940","가비아","우량기업부",,,,,,,,,,"13535684"
"078890","가온미디어","우량기업부",,,,,,,,,,"15851946"
"036620","감성코퍼레이션","중견기업부",,,,,,,,,,"75322897"
"217730","강스템바이오텍","기술성장기업부",,,,,,,,,,"25561688"
"114190","강원","관리종목(소속부없음)",,,,,,,,,,"18154911"
"094480","갤럭시아머니트리","우량기업부",,,,,,,,,,"39229838"
"063080","게임빌","우량기업부",,,,,,,,,,"6595192"
"039240","경남스틸","우량기업부",,,,,,,,,,"25000000"
