종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","6000","170","2.92","5840","6030","5830","147176","876691080","280933770000","46822295"
"006840","AK홀딩스","27700","550","2.03","26850","27950","26850","35745","987022450","366957439700","13247561"
"027410","BGF","6260","10","0.16","6250","6290","6240","113247","708659900","599187111660","95716791"
"282330","BGF리테일","179000","0","0.00","179500","182500","177500","48987","8804389000","3093819174000","17283906"
"138930","BNK금융지주","8070","100","1.25","8030","8140","8000","1633386","13225656290","2630297435220","325935246"
"001460","BYC","438500","500","0.11","434500","442000","432000","355","155218000","273893677500","624615"
"001465","BYC우","179500","4500","2.57","176500","180500","176500","267","47831500","38661607500","215385"
"001040","CJ","106000","2000","1.92","105000","107000","104500","107301","11384073000","3092761788000","29176998"
"079160","CJ CGV","32150","1050","3.38","31450","32450","31450","1015139","32587213150","1192261466700","37084338"
"00104K","CJ4우(전환)","82700","700","0.85","82200","83600","82100","15935","1323193300","349532542400","4226512"
"000120","CJ대한통운","170500","500","0.29","170500","171500","170000","28265","4828683500","3889504652000","22812344"
"011150","CJ씨푸드","4145","35","0.85","4080","4160","4080","79679","330188435","148933054085","35930773"
"011155","CJ씨푸드1우","39250","250","0.64","39400","39400","38400","228","8890950","7850000000","200000"
"001045","CJ우","63000","900","1.45","62400","63400","62000","2901","181864700","142394049000","2260223"
"097950","CJ제일제당","441000","6000","1.38","437500","443500","437000","37955","16744715000","6638896026000","15054186"
"097955","CJ제일제당 우","200500","3000","1.52","199500","201500","198000","3139","629016500","266150316500","1327433"
"000590","CS홀딩스","64000","900","1.43","63000","64700","62600","1300","82459300","73886848000","1154482"
"012030","DB","1070","5","0.47","1065","1080","1060","437384","467485720","215256108310","201173933"
"016610","DB금융투자","6830","30","0.44","6800","6870","6750","62458","427320990","289908836870","42446389"
"005830","DB손해보험","61500","400","0.65","62000","62500","61200","109129","6769784000","4354200000000","70800000"
"000990","DB하이텍","58900","-100","-0.17","59600","59600","58800","425020","25107616500","2615076833200","44398588"
"000995","DB하이텍1우","109000","500","0.46","108500","110000","108000","148","16145500","12242444000","112316"
"139130","DGB금융지주","9350","20","0.21","9370","9440","9110","475046","4449390400","1581513538550","169145833"
