종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","중견기업부","3715","100","2.77","3620","3800","3620","246109","914240390","171898670795","46271513"
"054620","APS홀딩스","중견기업부","16000","1050","7.02","15000","16050","14950","107379","1670730400","326307536000","20394221"
"265520","AP시스템","우량기업부","23950","850","3.68","23100","24000","23100","117313","2781819250","346801436650","14480227"
"211270","AP위성","벤처기업부","15900","350","2.25","15850","16200","15550","267504","4245225250","239808633600","15082304"
"013720","CBI","중견기업부","3815","320","9.16","3505","3900","3505","817890","3069674110","193412011625","50697775"
"035760","CJ ENM","우량기업부","169800","7900","4.88","164100","171800","162600","602587","101479389600","3723570349200","21929154"
"051500","CJ프레시웨이","중견기업부","33050","50","0.15","33000","33500","32200","86584","2834484150","392355917300","11871586"
"058820","CMG제약","우량기업부","3935","115","3.01","3855","4010","3855","840995","3309531510","546540980140","138892244"
"023460","CNH","벤처기업부","3065","25","0.82","3025","3100","3010","56734","172515690","114018000000","37200000"
"056730","CNT85","관리종목(소속부없음)","1550","0","0.00","0","0","0","0","0","109591063600","70703912"
"056000","COWON","투자주의환기종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","벤처기업부","3700","210","6.02","3490","3720","3425","443847","1614275045","71821181000","19411130"
"083660","CSA 코스믹","관리종목(소속부없음)","1380","30","2.22","1380","1385","1345","34412","46955490","52349077320","37934114"
"367340","DB금융스팩8호","SPAC(소속부없음)","2090","-30","-1.42","2125","2125","2060","9334","19519550","12644500000","6050000"
"367360","DB금융스팩9호","SPAC(소속부없음)","2100","25","1.20","2070","2105","2070","6650","13860960","10164000000","4840000"
"068790","DMS","우량기업부","6340","290","4.79","6060","6340","6060","98607","614519900","155793206740","24573061"
"241520","DSC인베스트먼트","벤처기업부","5210","110","2.16","5050","5240","5050","265343","1373803670","144897409630","27811403"
"245620","EDGC","기술성장기업부","3310","230","7.47","3080","3365","3080","692584","2262293875","277008458360","83688356"
"037370","EG","중견기업부","17450","150","0.87","16950","18150","16450","492971","8502375250","140494033300","8051234"
"079190","EMW","벤처기업부","1955","-235","-10.73","2180","2325","1835","3911542","7823529785","62138105135","31784197"
"050120","ES큐브","중견기업부","4300","235","5.78","4085","4300","4065","20915","86691805","58325569800","13564086"
"130500","GH신소재","중견기업부","5180","320","6.58","4880","5210","4880","324876","1650797425","75343369360","14545052"
"900290","GRT","관리종목(소속부없음)","951","0","0.00","0","0","0","0","0","64073625000","67375000"
"083450","GST","우량기업부","25550","2250","9.66","24200","25600","23850","187954","4657550150","238068384750","9317745"
"045890","GV","관리종목(소속부없음)","240","0","0.00","0","0","0","0","0","20823884880","86766187"
"297890","HB솔루션","벤처기업부","20700","900","4.55","19800","20800","19800","187025","3825576000","344453982300","16640289"
"078150","HB테크놀러지","우량기업부","2330","95","4.25","2235","2330","2235","483120","1108353375","184047692580","78990426"
"195940","HK이노엔","중견기업부","62500","4200","7.20","61800","67400","60100","8282257","527042614900","1806531187500","28904499"
"036640","HRS","중견기업부","7200","-220","-2.96","7420","7620","7040","984279","7100838130","117754560000","16354800"
"335870","IBKS제12호스팩","SPAC(소속부없음)","2235","5","0.22","2230","2255","2220","27347","61004070","6973200000","3120000"
"351340","IBKS제13호스팩","SPAC(소속부없음)","2120","10","0.47","2150","2165","2095","38990","82059965","10960400000","5170000"
"351320","IBKS제14호스팩","SPAC(소속부없음)","3575","5","0.14","3575","3670","3550","190880","684524505","15479750000","4330000"
"373200","IBKS제15호스팩","SPAC(소속부없음)","2160","50","2.37","2100","2190","2095","135511","291276710","7603200000","3520000"
"388790","IBKS제16호스팩","SPAC(소속부없음)","2160","10","0.47","2180","2235","2115","164882","355390305","7365600000","3410000"
"095340","ISC","우량기업부","24200","800","3.42","23750","24350","23500","136449","3274590700","400377287200","16544516"
"099520","ITX-AI","관리종목(소속부없음)","1285","0","0.00","0","0","0","0","0","37652662655","29301683"
"950170","JTC","외국기업(소속부없음)","5400","0","0.00","5410","5500","5260","145216","777211310","189029791800","35005517"
"067290","JW신약","중견기업부","3865","415","12.03","3450","3995","3450","537929","2023949765","169815956170","43936858"
"035900","JYP Ent.","우량기업부","43100","300","0.70","43150","44600","42300","1077193","46847329800","1529941905200","35497492"
"024840","KBI메탈","우량기업부","1965","125","6.79","1840","1970","1840","310383","598875090","64748416320","32950848"
"024120","KB오토시스","우량기업부","6440","270","4.38","6100","6440","6100","20822","131143660","74060000000","11500000"
"021320","KCC건설","우량기업부","10400","350","3.48","10200","10400","10100","56044","575418350","222560000000","21400000"
"036670","KCI","우량기업부","8470","150","1.80","8390","8500","8390","8050","67979420","95456900000","11270000"
"044180","KD","중견기업부","1650","50","3.13","1625","1670","1570","543094","879414625","27266844000","16525360"
"151860","KG ETS","우량기업부","15300","1650","12.09","13850","16250","13850","2855818","43692956800","550800000000","36000000"
"046440","KG모빌리언스","우량기업부","9280","250","2.77","9060","9290","9060","233833","2149395170","360301271040","38825568"
"035600","KG이니시스","우량기업부","18650","-250","-1.32","19000","19250","18500","351676","6616213000","520417694100","27904434"
"226360","KH E&T","벤처기업부","1630","190","13.19","1460","1795","1440","2022900","3246027640","95687606390","58704053"
"111870","KH 일렉트론","중견기업부","807","7","0.88","800","826","800","1037043","835309737","86814020838","107576234"
"060720","KH바텍","중견기업부","23500","1950","9.05","22150","23600","21800","1204034","27522527550","556419887000","23677442"
"122450","KMH","중견기업부","9010","390","4.52","8540","9020","8540","144059","1265874780","408477035640","45335964"
"052900","KMH하이텍","중견기업부","1530","50","3.38","1480","1545","1480","668925","1014706090","71734813470","46885499"
"058400","KNN","우량기업부","1515","90","6.32","1435","1615","1435","3400852","5183641590","200631025800","132429720"
"114450","KPX생명과학","중견기업부","7610","320","4.39","7290","7640","7290","102483","770314240","114150000000","15000000"
"060370","KT서브마린","중견기업부","5270","120","2.33","5150","5330","5150","80695","424267030","115413000000","21900000"
"108320","LX세미콘","우량기업부","99900","5900","6.28","95200","99900","94000","270665","26490791100","1624803570000","16264300"
"160550","NEW","중견기업부","13550","1350","11.07","12550","13550","12100","1942435","25443891000","378127736300","27906106"
"053290","NE능률","중견기업부","12150","650","5.65","11550","12350","11550","464992","5551962700","200794630050","16526307"
