종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","6070","70","1.17","6000","6170","5930","142587","860476410","284211330650","46822295"
"006840","AK홀딩스","27250","-300","-1.09","27900","27900","27100","11720","320572100","360996037250","13247561"
"027410","BGF","6180","-50","-0.80","6260","6260","6100","184004","1133322780","591529768380","95716791"
"282330","BGF리테일","174500","-5000","-2.79","178500","179500","172500","32453","5673553000","3016041597000","17283906"
"138930","BNK금융지주","8050","0","0.00","8150","8150","8000","860591","6929448990","2623778730300","325935246"
"001460","BYC","453000","0","0.00","454500","455500","448500","417","189179500","282950595000","624615"
"001465","BYC우","180500","0","0.00","182000","182000","180000","118","21320000","38876992500","215385"
"001040","CJ","103000","-2000","-1.90","106000","106000","103000","64038","6643403500","3005230794000","29176998"
"079160","CJ CGV","31900","-550","-1.69","32450","32550","31850","313855","10067199800","1184603565200","37134908"
"00104K","CJ4우(전환)","82500","-800","-0.96","82600","83700","82300","3845","317841800","348687240000","4226512"
"000120","CJ대한통운","168000","-2500","-1.47","169500","170000","167500","26390","4437872000","3832473792000","22812344"
"011150","CJ씨푸드","4105","-20","-0.48","4130","4135","4095","88105","362127430","147495823165","35930773"
"011155","CJ씨푸드1우","38850","-650","-1.65","40000","40000","38700","103","4037750","7770000000","200000"
"001045","CJ우","62400","-700","-1.11","62800","62900","62100","797","49657600","141037915200","2260223"
"097950","CJ제일제당","429500","-5500","-1.26","435000","437500","428000","46630","20145029000","6465772887000","15054186"
"097955","CJ제일제당 우","201500","500","0.25","202000","202500","201000","2033","409492500","267477749500","1327433"
"000590","CS홀딩스","63900","-200","-0.31","64200","64400","63900","687","44012700","73771399800","1154482"
"012030","DB","1045","-20","-1.88","1070","1070","1035","1140339","1196743840","210226759985","201173933"
"016610","DB금융투자","6820","-10","-0.15","6870","6870","6750","35420","240838220","289484372980","42446389"
"005830","DB손해보험","61400","-400","-0.65","61800","62400","60900","87070","5350840900","4347120000000","70800000"
"000990","DB하이텍","56700","-1800","-3.08","58700","58800","56300","1026337","58597615100","2517399939600","44398588"
"000995","DB하이텍1우","106000","-1000","-0.93","106500","107500","106000","229","24328500","11905496000","112316"
"139130","DGB금융지주","9360","-70","-0.74","9470","9480","9250","377651","3530203260","1583204996880","169145833"
"001530","DI동일","334500","500","0.15","338000","342500","330000","21091","7038536500","839814097500","2510655"
"000210","DL","73500","2200","3.09","71500","74300","70900","179661","13101195600","1540257474000","20955884"
"001880","DL건설","32500","450","1.40","32100","32850","31950","27536","890536050","716731730000","22053284"
"000215","DL우","44350","450","1.03","43900","45000","43850","3361","149760850","74779200250","1686115"
"375500","DL이앤씨","141500","1000","0.71","142500","145000","141000","129200","18456124000","2739261427000","19358738"
"37550K","DL이앤씨우","77800","400","0.52","77500","78800","77400","6009","468780600","164460253000","2113885"
"004840","DRB동일","6590","40","0.61","6620","6670","6510","15860","104244440","131338700000","19930000"
"155660","DSR","10850","200","1.88","10600","11050","10250","1166106","12498239700","173600000000","16000000"
"069730","DSR제강","10750","550","5.39","10100","11150","9990","2795445","29914530190","154800000000","14400000"
"017940","E1","65200","1300","2.03","63900","67700","63900","150544","9938328300","447272000000","6860000"
"365550","ESR켄달스퀘어리츠","6710","30","0.45","6700","6760","6640","194999","1309870620","961267890000","143259000"
"383220","F&F","723000","-16000","-2.17","740000","744000","721000","32074","23352735000","5539203045000","7661415"
"007700","F&F홀딩스","36300","-850","-2.29","37500","37500","36200","109736","4007998450","1419851522100","39114367"
"114090","GKL","16050","-150","-0.93","16300","16350","15900","240374","3855002800","992783503500","61855670"
"078930","GS","43600","600","1.40","43650","43950","43250","272565","11876159550","4051110480800","92915378"
"006360","GS건설","46100","1100","2.44","45800","47350","45800","1342253","62318392350","3945306689000","85581490"
"001250","GS글로벌","2650","-40","-1.49","2690","2700","2640","251713","670268920","218714474600","82533764"
"007070","GS리테일","34000","-100","-0.29","34150","34250","33900","157971","5373412200","3560409348000","104717922"
"078935","GS우","36800","150","0.41","36750","37000","36700","5038","185746350","65681596800","1784826"
"012630","HDC","11550","50","0.43","11550","11600","11450","96052","1104873150","690016877550","59741721"
"039570","HDC아이콘트롤스","12550","150","1.21","12450","12750","12400","15173","189903050","206573000000","16460000"
"089470","HDC현대EP","5950","-30","-0.50","5990","6010","5880","125138","741818550","189805000000","31900000"
"294870","HDC현대산업개발","28850","400","1.41","28600","29200","28550","351478","10155574850","1901426470500","65907330"
"011200","HMM","37950","-450","-1.17","38600","39300","37850","3085336","118849037150","15384644881650","405392487"
"082740","HSD엔진","7980","-20","-0.25","7990","8140","7930","125121","999773410","372835543080","46721246"
