종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","중견기업부","3870","-90","-2.27","3880","3950","3725","549124","2105950385","179070755310","46271513"
"054620","APS홀딩스","중견기업부","15300","-800","-4.97","16000","16000","14950","101752","1566355000","312031581300","20394221"
"265520","AP시스템","우량기업부","23900","-500","-2.05","24050","24300","23500","135780","3235227950","346077425300","14480227"
"211270","AP위성","벤처기업부","16650","-500","-2.92","16750","17050","16250","286733","4772459200","251120361600","15082304"
"013720","CBI","중견기업부","3850","475","14.07","3480","4245","3415","4857546","18806399970","195186433750","50697775"
"035760","CJ ENM","우량기업부","153500","3700","2.47","150500","154900","150500","159401","24418124400","3366125139000","21929154"
"051500","CJ프레시웨이","중견기업부","33300","700","2.15","32600","34500","32200","55289","1846585250","395323813800","11871586"
"058820","CMG제약","우량기업부","3730","-170","-4.36","3875","3895","3715","1179070","4456209740","518068070120","138892244"
"023460","CNH","벤처기업부","3160","-85","-2.62","3155","3240","3060","134905","420892860","117552000000","37200000"
"056730","CNT85","관리종목(소속부없음)","1550","0","0.00","0","0","0","0","0","109591063600","70703912"
"056000","COWON","투자주의환기종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","벤처기업부","3800","-410","-9.74","4185","4185","3780","652348","2537959270","73762294000","19411130"
"083660","CSA 코스믹","관리종목(소속부없음)","1375","-80","-5.50","1455","1465","1375","39745","55472290","52159406750","37934114"
"367340","DB금융스팩8호","SPAC(소속부없음)","2130","-20","-0.93","2165","2165","2110","3257","6888660","12886500000","6050000"
"367360","DB금융스팩9호","SPAC(소속부없음)","2100","-10","-0.47","2135","2135","2095","11986","25202835","10164000000","4840000"
"068790","DMS","우량기업부","6300","-220","-3.37","6550","6560","6190","189108","1191647470","154810284300","24573061"
"241520","DSC인베스트먼트","벤처기업부","5160","-240","-4.44","5320","5360","5070","561347","2913751370","143506839480","27811403"
"245620","EDGC","기술성장기업부","3245","-265","-7.55","3445","3500","3190","738422","2414029755","271568715220","83688356"
"037370","EG","중견기업부","18650","-200","-1.06","18200","18650","17250","672248","12007646800","150155514100","8051234"
"079190","EMW","관리종목(소속부없음)","2780","0","0.00","0","0","0","0","0","88360067660","31784197"
"050120","ES큐브","중견기업부","4200","-200","-4.55","4380","4380","4100","48425","202295455","56969161200","13564086"
"130500","GH신소재","중견기업부","5250","-290","-5.23","5440","5480","4995","487606","2529810975","76361523000","14545052"
"900290","GRT","관리종목(소속부없음)","951","0","0.00","0","0","0","0","0","64073625000","67375000"
"083450","GST","우량기업부","24000","-1050","-4.19","24550","24750","23750","232815","5606784400","223625880000","9317745"
"045890","GV","관리종목(소속부없음)","240","0","0.00","0","0","0","0","0","20823884880","86766187"
"297890","HB솔루션","벤처기업부","19000","-300","-1.55","19150","19650","18200","105499","1984906100","316165491000","16640289"
"078150","HB테크놀러지","우량기업부","2280","-80","-3.39","2350","2355","2200","1362605","3058325790","180098171280","78990426"
"195940","HK이노엔","중견기업부","68200","15700","29.90","62700","68200","61100","8785092","568719294400","1971286831800","28904499"
"036640","HRS","중견기업부","8170","450","5.83","7810","8290","7660","3141663","25213938220","133618716000","16354800"
"335870","IBKS제12호스팩","SPAC(소속부없음)","2270","-35","-1.52","2305","2315","2260","137011","313329570","7082400000","3120000"
"351340","IBKS제13호스팩","SPAC(소속부없음)","2135","-30","-1.39","2145","2180","2115","21481","45794880","11037950000","5170000"
"351320","IBKS제14호스팩","SPAC(소속부없음)","3415","25","0.74","3300","3455","3300","158328","534925385","14786950000","4330000"
"373200","IBKS제15호스팩","SPAC(소속부없음)","2185","-205","-8.58","2390","2620","2185","1100975","2614065195","7691200000","3520000"
"388790","IBKS제16호스팩","SPAC(소속부없음)","2175","-60","-2.68","2235","2265","2165","263251","576674715","7416750000","3410000"
"095340","ISC","우량기업부","23800","550","2.37","22850","24450","22850","284934","6746554350","393759480800","16544516"
"099520","ITX-AI","관리종목(소속부없음)","1285","0","0.00","0","0","0","0","0","37652662655","29301683"
"950170","JTC","외국기업(소속부없음)","5400","415","8.32","5020","5420","5000","537685","2826062760","189029791800","35005517"
"067290","JW신약","중견기업부","3745","-140","-3.60","3815","3865","3720","163113","614815275","164543533210","43936858"
"035900","JYP Ent.","우량기업부","43400","2000","4.83","41000","43950","40250","1308794","56268597250","1540591152800","35497492"
"024840","KBI메탈","우량기업부","1955","-85","-4.17","2025","2035","1905","500033","976643125","64418907840","32950848"
"024120","KB오토시스","우량기업부","6480","-70","-1.07","6550","6580","6240","41489","263004320","74520000000","11500000"
"021320","KCC건설","우량기업부","10300","-100","-0.96","10150","10400","10050","78947","802397700","220420000000","21400000"
"036670","KCI","우량기업부","8480","-130","-1.51","8600","8630","8310","28232","237276220","95569600000","11270000"
"044180","KD","중견기업부","1630","-140","-7.91","1710","1760","1630","963953","1617240270","26936336800","16525360"
"151860","KG ETS","우량기업부","15300","-1000","-6.13","16000","16200","15000","879511","13629774300","550800000000","36000000"
"046440","KG모빌리언스","우량기업부","9020","-210","-2.28","9190","9350","9010","404836","3686540930","350206623360","38825568"
"035600","KG이니시스","우량기업부","18000","700","4.05","18250","18350","17700","582335","10506500000","502279812000","27904434"
"226360","KH E&T","벤처기업부","1515","-85","-5.31","1555","1585","1460","437990","659268485","88936640295","58704053"
"111870","KH 일렉트론","중견기업부","792","-44","-5.26","833","836","780","588657","468726870","85200377328","107576234"
