종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","6000","0","0.00","6040","6050","5930","60267","359557160","280933770000","46822295"
"006840","AK홀딩스","27550","-150","-0.54","27800","27850","27250","16151","445248750","364970305550","13247561"
"027410","BGF","6230","-30","-0.48","6270","6270","6180","120570","750209440","596315607930","95716791"
"282330","BGF리테일","179500","500","0.28","178000","182000","177000","31706","5702629000","3102461127000","17283906"
"138930","BNK금융지주","8050","-20","-0.25","8010","8100","7990","1178046","9492294830","2623778730300","325935246"
"001460","BYC","453000","14500","3.31","438500","454500","438000","1788","807118500","282950595000","624615"
"001465","BYC우","180500","1000","0.56","181000","184500","180500","716","130022000","38876992500","215385"
"001040","CJ","105000","-1000","-0.94","106000","107000","104500","70637","7439897500","3063584790000","29176998"
"079160","CJ CGV","32450","300","0.93","32250","32650","31900","580629","18779871450","1205027764600","37134908"
"00104K","CJ4우(전환)","83300","600","0.73","83000","83700","82300","5932","493065800","352068449600","4226512"
"000120","CJ대한통운","170500","0","0.00","169500","170500","169500","25755","4378023000","3889504652000","22812344"
"011150","CJ씨푸드","4125","-20","-0.48","4145","4160","4105","77010","318430740","148214438625","35930773"
"011155","CJ씨푸드1우","39500","250","0.64","39250","39500","38800","200","7874600","7900000000","200000"
"001045","CJ우","63100","100","0.16","63000","63400","62700","1159","73023200","142620071300","2260223"
"097950","CJ제일제당","435000","-6000","-1.36","438000","442500","434000","43530","19041739000","6548570910000","15054186"
"097955","CJ제일제당 우","201000","500","0.25","200000","201500","199500","2136","429127500","266814033000","1327433"
"000590","CS홀딩스","64100","100","0.16","64100","64400","64000","832","53304900","74002296200","1154482"
"012030","DB","1065","-5","-0.47","1070","1075","1060","438727","468365710","214250238645","201173933"
"016610","DB금융투자","6830","0","0.00","6840","6900","6800","66290","454922100","289908836870","42446389"
"005830","DB손해보험","61800","300","0.49","61000","62800","61000","108508","6736285400","4375440000000","70800000"
"000990","DB하이텍","58500","-400","-0.68","58900","59000","57900","470031","27394002900","2597317398000","44398588"
"000995","DB하이텍1우","107000","-2000","-1.83","108000","108000","106000","356","38077500","12017812000","112316"
"139130","DGB금융지주","9430","80","0.86","9330","9470","9300","739254","6976087820","1595045205190","169145833"
"001530","DI동일","334000","-7500","-2.20","340000","343500","332500","28119","9422522000","838558770000","2510655"
"000210","DL","71300","-200","-0.28","71100","71900","70700","56132","4002717400","1494154529200","20955884"
"001880","DL건설","32050","-50","-0.16","32100","32450","31900","19702","633318000","706807752200","22053284"
"000215","DL우","43900","200","0.46","43650","44300","43650","534","23474200","74020448500","1686115"
"375500","DL이앤씨","140500","500","0.36","139500","143000","138500","118628","16749114500","2719902689000","19358738"
"37550K","DL이앤씨우","77400","300","0.39","77200","77600","76600","4293","331982900","163614699000","2113885"
"004840","DRB동일","6550","-50","-0.76","6600","6600","6240","49471","321412470","130541500000","19930000"
"155660","DSR","10650","-1300","-10.88","11300","11400","10500","1316729","14445612200","170400000000","16000000"
"069730","DSR제강","10200","-450","-4.23","10450","10750","9980","988237","10225579790","146880000000","14400000"
"017940","E1","63900","-300","-0.47","64300","64600","62900","42390","2697650200","438354000000","6860000"
"365550","ESR켄달스퀘어리츠","6680","100","1.52","6600","6710","6580","236882","1576978510","956970120000","143259000"
"383220","F&F","739000","4000","0.54","736000","742000","722000","39729","28972167000","5661785685000","7661415"
"007700","F&F홀딩스","37150","-200","-0.54","37300","37500","37050","62952","2345275850","1453098734050","39114367"
"114090","GKL","16200","0","0.00","16100","16550","15950","447973","7295169700","1002061854000","61855670"
"078930","GS","43000","-50","-0.12","43000","43500","42950","193825","8373111600","3995361254000","92915378"
"006360","GS건설","45000","250","0.56","44350","45600","44100","591353","26708462850","3851167050000","85581490"
"001250","GS글로벌","2690","-20","-0.74","2700","2740","2680","254467","688129150","222015825160","82533764"
"007070","GS리테일","34100","-250","-0.73","34200","34550","34100","189319","6487130200","3570881140200","104717922"
"078935","GS우","36650","50","0.14","36700","36700","36450","4670","170876650","65413872900","1784826"
"012630","HDC","11500","-50","-0.43","11550","11600","11400","130107","1493962200","687029791500","59741721"
"039570","HDC아이콘트롤스","12400","-50","-0.40","12500","12550","12350","17938","223014000","204104000000","16460000"
"089470","HDC현대EP","5980","-70","-1.16","6050","6050","5880","134817","805203420","190762000000","31900000"
"294870","HDC현대산업개발","28450","-50","-0.18","28400","28700","28200","257430","7329141950","1875063538500","65907330"
"011200","HMM","38400","50","0.13","38200","38600","38100","2068975","79344555100","15567071500800","405392487"
"082740","HSD엔진","8000","-80","-0.99","8020","8080","7900","198945","1588513760","373769968000","46721246"
"003560","IHQ","1630","-15","-0.91","1645","1670","1625","990679","1633498830","238364269240","146235748"
"175330","JB금융지주","8450","40","0.48","8320","8550","8310","523056","4438415550","1664505454300","196982894"
"234080","JW생명과학","17650","150","0.86","18100","18200","17500","49198","878108750","279479878100","15834554"
"001060","JW중외제약","26850","100","0.37","26750","26950","26600","42709","1144542050","578347013100","21539926"
"001067","JW중외제약2우B","57700","-1700","-2.86","60000","60000","57100","631","36500500","5367715600","93028"
"001065","JW중외제약우","36900","-500","-1.34","37400","37400","36900","377","13958200","6549233400","177486"
"096760","JW홀딩스","4100","15","0.37","4085","4155","4085","56124","230831160","280608846200","68441182"
"105560","KB금융","52700","400","0.76","51800","53000","51700","1095987","57764582400","21913077384000","415807920"
"002380","KCC","455500","-8500","-1.83","458000","462500","453000","38850","17786714500","4047787540500","8886471"
"344820","KCC글라스","75700","1100","1.47","74600","76600","74000","84340","6360649100","1208967758400","15970512"
"009070","KCTC","6650","-70","-1.04","6660","6720","6640","116659","778169810","199500000000","30000000"
"009440","KC그린홀딩스","5970","-40","-0.67","5980","5990","5880","87446","518492660","133936830600","22434980"
"119650","KC코트렐","7380","-170","-2.25","7600","7600","7350","206728","1532608490","129888000000","17600000"
"092220","KEC","2230","-90","-3.88","2320","2340","2230","3052593","6891446570","260256476200","116706940"
"016380","KG동부제철","14900","-250","-1.65","15000","15150","14700","196342","2916111050","1490132565300","100008897"
"016385","KG동부제철우","114000","0","0.00","114000","114000","113000","249","28273500","6085890000","53385"
"001390","KG케미칼","34000","-500","-1.45","34600","34700","33900","60325","2063131500","471447264000","13866096"
"033180","KH 필룩스","3400","0","0.00","3370","3520","3365","2122087","7317660530","464882897600","136730264"
"001940","KISCO홀딩스","22150","100","0.45","21850","22150","21500","21809","476736250","409251817000","18476380"
"025000","KPX케미칼","61700","-400","-0.64","62400","62400","61000","104488","6446170700","298628000000","4840000"
"092230","KPX홀딩스","67000","100","0.15","67200","67200","66500","1133","75802600","283051282000","4224646"
"000040","KR모터스","1075","-15","-1.38","1090","1100","1075","284072","307551995","103347670600","96137368"
"044450","KSS해운","11750","100","0.86","11500","11750","11500","46493","541199100","272434090000","23185880"
"030200","KT","32550","-100","-0.31","32550","32800","32500","561560","18328102200","8499189350400","261111808"
"033780","KT&G","81400","0","0.00","81200","81800","81200","241864","19697931900","11175609255800","137292497"
"030210","KTB투자증권","7010","-90","-1.27","7080","7090","6980","241097","1693059240","422801784920","60314092"
"058850","KTcs","2830","-20","-0.70","2850","2885","2825","122668","348582875","120798550000","42685000"
