종목코드,종목명,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","중견기업부","3790","75","2.02","3730","3850","3725","180495","685576135","175369034270","46271513"
"054620","APS홀딩스","중견기업부","15300","-700","-4.38","16000","16200","14950","128696","1987712800","312031581300","20394221"
"265520","AP시스템","우량기업부","23500","-450","-1.88","24050","24100","23350","101800","2397305600","340285334500","14480227"
"211270","AP위성","벤처기업부","16150","250","1.57","16150","16300","15600","117716","1867926350","243579209600","15082304"
"013720","CBI","중견기업부","3670","-145","-3.80","4000","4200","3600","854966","3238301955","186060834250","50697775"
"035760","CJ ENM","우량기업부","170200","400","0.24","173900","175100","168100","385132","66106510300","3732342010800","21929154"
"051500","CJ프레시웨이","중견기업부","32350","-700","-2.12","33500","33500","31450","131187","4224801350","384045807100","11871586"
"058820","CMG제약","우량기업부","3885","-50","-1.27","3950","3970","3850","516689","2012978240","539596367940","138892244"
"023460","CNH","벤처기업부","3150","85","2.77","3070","3170","3050","58702","182520270","117180000000","37200000"
"056730","CNT85","관리종목(소속부없음)","1550","0","0.00","0","0","0","0","0","109591063600","70703912"
"056000","COWON","투자주의환기종목(소속부없음)","2860","0","0.00","0","0","0","0","0","56399843500","19720225"
"065770","CS","벤처기업부","4080","380","10.27","3695","4090","3695","1023686","4020707630","79197410400","19411130"
"083660","CSA 코스믹","관리종목(소속부없음)","1385","5","0.36","1380","1410","1350","10617","14597830","52538747890","37934114"
"367340","DB금융스팩8호","SPAC(소속부없음)","2095","5","0.24","2080","2125","2080","2565","5349640","12674750000","6050000"
"367360","DB금융스팩9호","SPAC(소속부없음)","2075","-25","-1.19","2070","2095","2070","19027","39552855","10043000000","4840000"
"068790","DMS","우량기업부","6360","20","0.32","6370","6450","6210","79307","500834090","156284667960","24573061"
"241520","DSC인베스트먼트","벤처기업부","5320","110","2.11","5240","5450","5180","374553","1974506840","147956663960","27811403"
"245620","EDGC","기술성장기업부","3385","75","2.27","3210","3385","3210","302278","1007509455","283285085060","83688356"
"037370","EG","중견기업부","17500","50","0.29","17650","19000","17400","486192","8832055300","140896595000","8051234"
"079190","EMW","벤처기업부","1940","-15","-0.77","1985","2030","1875","1252821","2416558600","61661342180","31784197"
"050120","ES큐브","중견기업부","4435","135","3.14","4305","4495","4305","33651","149066635","60156721410","13564086"
"130500","GH신소재","중견기업부","5320","140","2.70","5240","5320","5080","234168","1218278550","77379676640","14545052"
"900290","GRT","관리종목(소속부없음)","951","0","0.00","0","0","0","0","0","64073625000","67375000"
"083450","GST","우량기업부","25800","250","0.98","25550","26300","25350","118051","3051455500","240397821000","9317745"
"045890","GV","관리종목(소속부없음)","240","0","0.00","0","0","0","0","0","20823884880","86766187"
"297890","HB솔루션","벤처기업부","20250","-450","-2.17","20750","21100","19650","193774","3909087950","336965852250","16640289"
"078150","HB테크놀러지","우량기업부","2315","-15","-0.64","2335","2365","2280","409476","946723180","182862836190","78990426"
