종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","4435","35","0.80","4385","4440","4385","52510","231933550","207656878325","46822295"
"006840","AK홀딩스","27650","-1250","-4.33","28650","28900","27500","108509","3030946200","366295061650","13247561"
"027410","BGF","6620","130","2.00","6610","6680","6440","1054554","6933667020","633645156420","95716791"
"282330","BGF리테일","160500","-3000","-1.83","163500","164000","159500","31881","5125344000","2774066913000","17283906"
"138930","BNK금융지주","6780","40","0.59","6790","6840","6670","1354846","9167846480","2209840967880","325935246"
"001460","BYC","345500","0","0.00","342500","348000","342500","373","128690000","215804482500","624615"
"001465","BYC우","149500","-500","-0.33","148500","150000","148000","732","109138000","32200057500","215385"
"001040","CJ","93400","-800","-0.85","94500","94800","93200","63536","5953758000","2725131613200","29176998"
"079160","CJ CGV","27850","-550","-1.94","28300","28350","27750","283261","7901580100","977535000000","35100000"
"00104K","CJ4우(전환)","74200","-100","-0.13","74600","74600","72800","5885","434493400","313607190400","4226512"
"000120","CJ대한통운","189500","4500","2.43","185000","190000","185000","107560","20279208000","4322939188000","22812344"
"011150","CJ씨푸드","4815","55","1.16","4770","4830","4655","806024","3831921285","173006671995","35930773"
"011155","CJ씨푸드1우","37250","-250","-0.67","37350","37350","36100","2012","74099650","7450000000","200000"
"001045","CJ우","54700","-400","-0.73","55100","55100","54600","2004","109727200","123634198100","2260223"
"097950","CJ제일제당","411000","-6500","-1.56","417500","418000","408500","40692","16749510000","6187270446000","15054186"
"097955","CJ제일제당 우","185500","-2500","-1.33","188500","188500","184000","7208","1338198500","246238821500","1327433"
"000590","CS홀딩스","62500","2200","3.65","60500","64500","60200","21601","1349134800","72155125000","1154482"
"012030","DB","860","-8","-0.92","871","877","854","1161018","998939650","173009582380","201173933"
"016610","DB금융투자","5730","20","0.35","5720","5740","5680","112342","641386360","243217808970","42446389"
"005830","DB손해보험","46000","500","1.10","45950","46050","45450","221559","10160663850","3256800000000","70800000"
"000990","DB하이텍","54400","-900","-1.63","55900","56100","54400","493813","27192300000","2415283187200","44398588"
"000995","DB하이텍1우","101000","-1000","-0.98","102000","102000","100500","501","50592500","11343916000","112316"
"139130","DGB금융지주","8330","110","1.34","8320","8340","8130","943647","7783542520","1408984788890","169145833"
"001530","DI동일","172000","-4500","-2.55","179500","179500","171000","16035","2770917500","424084748000","2465609"
"000210","DL","89000","-900","-1.00","91000","91700","88500","258885","23292599800","1374272318000","15441262"
"000215","DL우","43500","-200","-0.46","43750","44250","43500","12174","534927150","73346002500","1686115"
"375500","DL이앤씨","124000","-500","-0.40","126000","126500","123000","291939","36350090000","2400483512000","19358738"
"37550K","DL이앤씨우","74100","-200","-0.27","74900","75800","73500","15012","1113688900","156638878500","2113885"
"004840","DRB동일","6700","-100","-1.47","6930","6930","6680","26606","179313340","133531000000","19930000"
"155660","DSR","5510","60","1.10","5450","5610","5430","102354","566627370","88160000000","16000000"
"069730","DSR제강","5430","110","2.07","5350","5590","5320","301640","1641213680","78192000000","14400000"
"017940","E1","42850","550","1.30","42350","42900","42300","14821","631050000","293951000000","6860000"
"365550","ESR켄달스퀘어리츠","6090","30","0.50","6080","6140","6080","375676","2295797690","872447310000","143259000"
"007700","F&F","131500","1500","1.15","131000","133000","127500","121054","15845982000","2025100000000","15400000"
"114090","GKL","16300","-400","-2.40","16600","16600","16050","482791","7864792150","1008247421000","61855670"
"078930","GS","38850","-100","-0.26","39050","39050","38800","258130","10045008700","3609762435300","92915378"
"006360","GS건설","44250","800","1.84","44000","44950","43600","1837509","81565097900","3782970909000","85490868"
"001250","GS글로벌","2390","30","1.27","2365","2400","2325","544581","1287487270","197255695960","82533764"
"007070","GS리테일","38150","-500","-1.29","38650","38700","37800","182085","6923931150","2937550000000","77000000"
"078935","GS우","32050","100","0.31","32000","32100","31900","6281","201133550","57203673300","1784826"
"012630","HDC","11300","50","0.44","11300","11450","11200","497821","5639416450","675081447300","59741721"
"039570","HDC아이콘트롤스","9910","-140","-1.39","10050","10050","9890","118455","1177310650","163118600000","16460000"
"089470","HDC현대EP","6140","20","0.33","6150","6160","6100","87184","534565190","195866000000","31900000"
"294870","HDC현대산업개발","29900","-150","-0.50","30200","30500","29750","745367","22445345200","1970629167000","65907330"
"011200","HMM","30950","-3200","-9.37","32600","33550","29700","41757002","1335004305450","10237103646100","330762638"
"082740","HSD엔진","9030","200","2.27","9000","9360","8830","3175162","28988487230","366612780660","40599422"
"003560","IHQ","2030","-10","-0.49","2060","2080","2030","1257805","2586099090","296858568440","146235748"
"175330","JB금융지주","6300","20","0.32","6300","6310","6250","383324","2406370090","1240992232200","196982894"
"234080","JW생명과학","17900","-1400","-7.25","18000","18900","17850","1186011","21561172350","283438516600","15834554"
"001060","JW중외제약","29450","100","0.34","29350","29900","29150","77731","2292460900","634350820700","21539926"
"001067","JW중외제약2우B","63000","-200","-0.32","63200","63500","62000","433","27087800","5860764000","93028"
"001065","JW중외제약우","31650","150","0.48","31500","31850","31500","1126","35659450","5617431900","177486"
"096760","JW홀딩스","4400","-430","-8.90","4500","4755","4335","2263578","10128706295","301141200800","68441182"
"105560","KB금융","53700","500","0.94","52800","54000","52200","1606373","85568334800","22328885304000","415807920"
"002380","KCC","233500","4000","1.74","230500","238000","230000","92665","21733523500","2074990978500","8886471"
