종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","KOSPI",,"5340","70","1.33","5270","5370","5120","106495","560968230","250031055300","46822295"
"006840","AK홀딩스","KOSPI",,"30250","1600","5.58","28950","30700","28600","207176","6207923850","400738720250","13247561"
"027410","BGF","KOSPI",,"6940","-100","-1.42","7040","7080","6920","320479","2237052650","664274529540","95716791"
"282330","BGF리테일","KOSPI",,"149500","-2000","-1.32","151000","154000","148500","35075","5274241500","2583943947000","17283906"
"138930","BNK금융지주","KOSPI",,"7320","-10","-0.14","7400","7400","7240","1600780","11710513040","2385846000720","325935246"
"001460","BYC","KOSPI",,"365000","-1000","-0.27","365000","367000","362500","148","54049500","227984475000","624615"
"001465","BYC우","KOSPI",,"160500","0","0.00","159500","160500","158000","208","33225500","34569292500","215385"
"001040","CJ","KOSPI",,"96400","200","0.21","96200","97600","95500","67349","6497082000","2812662607200","29176998"
"079160","CJ CGV","KOSPI",,"25900","450","1.77","25500","25900","25050","236817","6059970200","909090000000","35100000"
"00104K","CJ4우(전환)","KOSPI",,"77700","-100","-0.13","77800","78400","77100","5163","400190100","328399982400","4226512"
"000120","CJ대한통운","KOSPI",,"174000","-4500","-2.52","178500","179500","173000","52779","9234745000","3969347856000","22812344"
"011150","CJ씨푸드","KOSPI",,"4465","-55","-1.22","4525","4555","4425","382636","1712933715","160430901445","35930773"
"011155","CJ씨푸드1우","KOSPI",,"41300","2300","5.90","39400","41300","39150","1009","40933950","8260000000","200000"
"001045","CJ우","KOSPI",,"61000","200","0.33","61000","61300","60500","4213","256669900","137873603000","2260223"
"097950","CJ제일제당","KOSPI",,"400000","-6000","-1.48","405000","407500","399500","38024","15278842500","6021674400000","15054186"
"097955","CJ제일제당 우","KOSPI",,"187500","-1500","-0.79","189000","190000","185500","4789","899376500","248893687500","1327433"
"000590","CS홀딩스","KOSPI",,"74500","0","0.00","75000","75000","71500","5100","373400300","86008909000","1154482"
"012030","DB","KOSPI",,"920","0","0.00","920","929","903","1054428","968220691","185080018360","201173933"
"016610","DB금융투자","KOSPI",,"7000","-50","-0.71","7060","7090","6830","212906","1486451210","297124723000","42446389"
"005830","DB손해보험","KOSPI",,"48000","-1050","-2.14","49100","49600","47950","186276","9017957500","3398400000000","70800000"
"000990","DB하이텍","KOSPI",,"57200","1000","1.78","56400","58300","55500","850744","48617200400","2539599233600","44398588"
"000995","DB하이텍1우","KOSPI",,"121000","3500","2.98","117500","121000","116000","497","59374500","13590236000","112316"
"139130","DGB금융지주","KOSPI",,"8490","-110","-1.28","8630","8670","8450","729315","6208371660","1436048122170","169145833"
"001530","DI동일","KOSPI",,"183500","-2000","-1.08","185000","188000","178500","20271","3704719000","460705192500","2510655"
"000210","DL","KOSPI",,"98200","-1600","-1.60","101000","103500","97700","347749","34797039600","1516331928400","15441262"
"001880","DL건설","KOSPI",,"36500","450","1.25","36050","36600","35500","127564","4635994550","804944866000","22053284"
"000215","DL우","KOSPI",,"54700","-300","-0.55","56000","56500","53700","19641","1085038600","92230490500","1686115"
"375500","DL이앤씨","KOSPI",,"135500","1500","1.12","134500","137500","132000","290115","39252152500","2623108999000","19358738"
"37550K","DL이앤씨우","KOSPI",,"79200","200","0.25","80100","80300","77100","24678","1948579300","167419692000","2113885"
"004840","DRB동일","KOSPI",,"7110","-10","-0.14","7120","7160","6910","51032","360244800","141702300000","19930000"
"155660","DSR","KOSPI",,"7270","70","0.97","7200","7350","7070","191578","1387399820","116320000000","16000000"
"069730","DSR제강","KOSPI",,"6200","70","1.14","6110","6450","6090","470698","2949379680","89280000000","14400000"
"017940","E1","KOSPI",,"46250","550","1.20","45400","46900","45000","48301","2236305400","317275000000","6860000"
"365550","ESR켄달스퀘어리츠","KOSPI",,"6450","-30","-0.46","6440","6490","6440","331091","2141721080","924020550000","143259000"
"007700","F&F","KOSPI",,"180000","0","0.00","0","0","0","0","0","2772000000000","15400000"
"114090","GKL","KOSPI",,"15950","50","0.31","16000","16150","15800","403703","6439926500","986597936500","61855670"
"078930","GS","KOSPI",,"44250","-650","-1.45","45100","45250","43950","338606","15072828600","4111505476500","92915378"
"006360","GS건설","KOSPI",,"46800","-250","-0.53","46150","47800","45750","1510795","70544161750","4000972622400","85490868"
"001250","GS글로벌","KOSPI",,"2940","-60","-2.00","3015","3130","2915","7603131","22955717835","242649266160","82533764"
"007070","GS리테일","KOSPI",,"36300","-500","-1.36","36800","37250","36300","260113","9515569400","2795100000000","77000000"
"078935","GS우","KOSPI",,"35950","-150","-0.42","35850","36100","35600","10512","377342450","64164494700","1784826"
"012630","HDC","KOSPI",,"11850","0","0.00","11800","11900","11650","280593","3314042500","707939393850","59741721"
"039570","HDC아이콘트롤스","KOSPI",,"10750","0","0.00","10650","10850","10550","91109","971391450","176945000000","16460000"
"089470","HDC현대EP","KOSPI",,"5990","-20","-0.33","6020","6050","5940","86496","518329530","191081000000","31900000"
"294870","HDC현대산업개발","KOSPI",,"28150","150","0.54","28050","28600","27750","754633","21285170850","1855291339500","65907330"
"011200","HMM","KOSPI",,"39950","650","1.65","39600","40500","38200","12154736","478983772850","13798429855650","345392487"
"082740","HSD엔진","KOSPI",,"9150","-170","-1.82","9220","9330","8950","1288782","11788929630","371484711300","40599422"
"003560","IHQ","KOSPI",,"2210","-130","-5.56","2495","2520","2185","6952814","16396467080","323181003080","146235748"
"175330","JB금융지주","KOSPI",,"7040","-140","-1.95","7200","7270","7030","588179","4188379590","1386759573760","196982894"
"234080","JW생명과학","KOSPI",,"19700","200","1.03","19600","19800","19500","88867","1747620700","311940713800","15834554"
"001060","JW중외제약","KOSPI",,"29350","150","0.51","29200","29550","29150","50159","1470602700","632196828100","21539926"
"001067","JW중외제약2우B","KOSPI",,"71100","300","0.42","71300","71300","69300","467","32876700","6614290800","93028"
"001065","JW중외제약우","KOSPI",,"40600","-700","-1.69","41000","42000","40600","1456","60118900","7205931600","177486"
"096760","JW홀딩스","KOSPI",,"4895","-30","-0.61","4910","4950","4860","102462","503257965","335019585890","68441182"
"105560","KB금융","KOSPI",,"53900","-1100","-2.00","55300","55400","53900","1127318","61521175600","22412046888000","415807920"
"002380","KCC","KOSPI",,"325000","10000","3.17","313500","325500","313000","42535","13694437000","2888103075000","8886471"
"009070","KCTC","KOSPI",,"8970","2070","30.00","6910","8970","6740","44703242","364810066850","269100000000","30000000"
"009440","KC그린홀딩스","KOSPI",,"4590","-80","-1.71","4670","4780","4585","101242","470404400","102976558200","22434980"
"119650","KC코트렐","KOSPI",,"7710","-80","-1.03","7750","7860","7660","83168","645142450","100230000000","13000000"
"092220","KEC","KOSPI",,"2265","-15","-0.66","2250","2320","2215","1350039","3048292735","264341219100","116706940"
"016380","KG동부제철","KOSPI",,"20900","-450","-2.11","21450","22600","20500","2108208","45468175250","2090185947300","100008897"
"016385","KG동부제철우","KOSPI",,"156500","-5500","-3.40","137500","161500","137500","6151","948546500","8354752500","53385"
