종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"095570","AJ네트웍스","4580","-35","-0.76","4615","4650","4530","344232","1575110755","214446111100","46822295"
"006840","AK홀딩스","25250","100","0.40","25900","25900","25200","92861","2353486200","334500915250","13247561"
"027410","BGF","4990","95","1.94","4895","4990","4845","541483","2669964780","477626787090","95716791"
"282330","BGF리테일","132000","-3500","-2.58","134000","134000","132000","47745","6345111000","2281475592000","17283906"
"138930","BNK금융지주","5560","-120","-2.11","5650","5660","5510","2067437","11474411600","1812199967760","325935246"
"001460","BYC","287500","1000","0.35","286500","287500","284000","319","91206000","179576812500","624615"
"001465","BYC우","139500","1000","0.72","137500","139500","137000","167","23036500","30046207500","215385"
"001040","CJ","92100","0","0.00","92600","92600","90500","173838","15977552200","2687201515800","29176998"
"079160","CJ CGV","26200","1000","3.97","25400","26400","25200","944371","24397834500","919620000000","35100000"
"00104K","CJ4우(전환)","72700","300","0.41","72500","72700","70500","23399","1687633000","307267422400","4226512"
"000120","CJ대한통운","168500","3000","1.81","167500","169000","163500","118757","19834901000","3843879964000","22812344"
"011150","CJ씨푸드","5070","-30","-0.59","5130","5140","5010","755107","3824781800","182169019110","35930773"
"011155","CJ씨푸드1우","41500","500","1.22","41750","41750","41500","846","35293000","8300000000","200000"
"001045","CJ우","57200","500","0.88","56900","57300","55600","127433","7190174900","129284755600","2260223"
"097950","CJ제일제당","384500","3500","0.92","382500","385000","378000","94480","36088876750","5788334517000","15054186"
"097955","CJ제일제당 우","168500","1000","0.60","168000","168500","167000","14428","2418976000","223672460500","1327433"
"000590","CS홀딩스","59100","100","0.17","59300","59500","58400","3900","229471000","68229886200","1154482"
"012030","DB","831","35","4.40","815","841","803","4021360","3317450529","167175538323","201173933"
"016610","DB금융투자","4675","20","0.43","4650","4715","4630","256974","1201570835","198436868575","42446389"
"005830","DB손해보험","42750","-1000","-2.29","43750","43900","42650","311849","13462310950","3026700000000","70800000"
"000990","DB하이텍","51100","100","0.20","52200","53300","50500","2271924","116985455600","2268767846800","44398588"
"000995","DB하이텍1우","115000","-3000","-2.54","120000","120000","114000","3630","422123000","12916340000","112316"
"139130","DGB금융지주","6660","-130","-1.91","6800","6850","6610","1034781","6897822860","1126511247780","169145833"
"001530","DI동일","155500","9500","6.51","150000","155500","147000","37133","5617274000","383402199500","2465609"
"004840","DRB동일","6930","40","0.58","6950","6950","6820","52123","358891150","138114900000","19930000"
"155660","DSR","6470","220","3.52","6360","6470","6210","188605","1201598570","103520000000","16000000"
"069730","DSR제강","4885","0","0.00","4900","4905","4840","104274","507829740","70344000000","14400000"
"017940","E1","43600","-1050","-2.35","44800","44800","43450","44687","1953466550","299096000000","6860000"
"365550","ESR켄달스퀘어리츠","5250","180","3.55","5080","5280","5070","2181305","11171478410","752109750000","143259000"
"007700","F&F","86700","2300","2.73","85000","86800","84100","133162","11372480400","1335180000000","15400000"
"114090","GKL","16450","-250","-1.50","16550","16600","16250","440718","7208378600","1017525771500","61855670"
"078930","GS","37800","250","0.67","37700","38300","37250","546430","20678771700","3512201288400","92915378"
"006360","GS건설","38050","250","0.66","38300","38300","37250","976774","37027206550","3058090409650","80370313"
"001250","GS글로벌","1980","40","2.06","1940","1985","1935","580388","1136783680","163416852720","82533764"
"007070","GS리테일","34400","-50","-0.15","34500","34550","34150","320189","11002879100","2648800000000","77000000"
"078935","GS우","30250","-150","-0.49","30750","30800","30100","13062","395368950","53990986500","1784826"
"012630","HDC","11000","-50","-0.45","11150","11150","10850","538865","5927531550","657158931000","59741721"
"039570","HDC아이콘트롤스","10600","100","0.95","10500","10700","10400","75064","791170700","174476000000","16460000"
"089470","HDC현대EP","6730","110","1.66","6630","7040","6630","766058","5248685210","214687000000","31900000"
"294870","HDC현대산업개발","26300","200","0.77","26400","26400","25750","1071873","28023066450","1733362779000","65907330"
"011200","HMM","16550","2600","18.64","14900","16750","14250","38614102","608217211600","5407320645650","326726323"
"082740","HSD엔진","8460","60","0.71","8580","8630","8350","1070394","9065037750","278732821320","32947142"
"003560","IHQ","1575","-35","-2.17","1610","1625","1570","1320453","2091940500","230321303100","146235748"
"175330","JB금융지주","5480","-160","-2.84","5640","5650","5440","712462","3915140500","1079466259120","196982894"
"234080","JW생명과학","20400","-350","-1.69","21000","21100","20150","223757","4578514100","323024901600","15834554"
"001060","JW중외제약","36200","1150","3.28","36850","36850","35600","429024","15506323150","757305954800","20920054"
"001067","JW중외제약2우B","57000","2100","3.83","57800","57800","56800","1884","107568100","5151318000","90374"
"001065","JW중외제약우","41500","1100","2.72","42000","42000","41500","2153","89953100","7152981500","172361"
"096760","JW홀딩스","5920","90","1.54","5950","5980","5830","322816","1899867450","393396757600","66452155"
"105560","KB금융","42450","-950","-2.19","43150","43150","42150","2825436","120042228300","17651046204000","415807920"
"002380","KCC","199000","1500","0.76","197500","202000","194000","76218","15136313000","1768407729000","8886471"
"009070","KCTC","3790","40","1.07","3780","3835","3665","587534","2215120110","113700000000","30000000"
"009440","KC그린홀딩스","5230","30","0.58","5180","5250","5080","325109","1674187090","117334945400","22434980"
"119650","KC코트렐","11350","550","5.09","10800","11400","10450","1166466","12802682450","147550000000","13000000"
"092220","KEC","3010","75","2.56","3055","3130","2985","16407693","50366276640","351287889400","116706940"
"016380","KG동부제철","12150","550","4.74","11950","12300","11850","607266","7340602700","1215108098550","100008897"
"016385","KG동부제철우","119500","-1500","-1.24","122000","125000","119500","902","110548000","6379507500","53385"
"001390","KG케미칼","25500","1650","6.92","24450","25950","24100","692114","17430565600","331837416000","13013232"
"001940","KISCO홀딩스","14250","50","0.35","14200","14250","14000","39922","565716300","263288415000","18476380"
"025000","KPX케미칼","53700","-1200","-2.19","55300","55300","53300","17440","937643800","259908000000","4840000"
"092230","KPX홀딩스","59300","-1100","-1.82","60400","60400","58900","22775","1347027000","250521507800","4224646"
"000040","KR모터스","1150","15","1.32","1135","1165","1105","1151253","1315431990","105410170700","91661018"
"044450","KSS해운","10500","150","1.45","10450","10500","10150","123845","1282402700","243451740000","23185880"
"030200","KT","23800","-200","-0.83","24050","24100","23700","1985386","47323736050","6214461030400","261111808"
"033780","KT&G","82100","-1000","-1.20","83000","83000","81800","896862","73568799700","11271714003700","137292497"
"030210","KTB투자증권","3230","40","1.25","3200","3230","3100","295794","936762225","194814517160","60314092"
"058850","KTcs","2225","10","0.45","2220","2230","2200","248604","550214050","94974125000","42685000"
"058860","KTis","2605","30","1.17","2580","2615","2550","263458","682959695","90659210000","34802000"
"093050","LF","14950","250","1.70","14750","15050","14700","163879","2445174850","437138000000","29240000"
"003550","LG","96900","9400","10.74","88000","102500","86900","2269706","216021698000","16720785993900","172557131"
"034220","LG디스플레이","19050","500","2.70","18850","19300","18850","5330672","101678888700","6816389085000","357815700"
"001120","LG상사","26750","2050","8.30","25200","28900","25100","1573513","42253679250","1036830000000","38760000"
"051900","LG생활건강","1612000","-8000","-0.49","1604000","1633000","1600000","31432","50710962000","25176533564000","15618197"
"051905","LG생활건강우","710000","-8000","-1.11","718000","718000","704000","5681","4031091250","1490784870000","2099697"
"003555","LG우","70600","3700","5.53","67500","75000","66000","245679","17426452300","234016196200","3314677"
"032640","LG유플러스","11850","100","0.85","11800","11900","11650","3569931","42056004000","5173844627850","436611361"
"011070","LG이노텍","192500","10000","5.48","185500","196500","185000","464216","88894074000","4555918097500","23667107"
"066570","LG전자","142000","7000","5.19","136500","144000","136500","1868234","263117123000","23237989588000","163647814"
"066575","LG전자우","70900","7100","11.13","66000","72000","66000","1074522","74576775400","1218486832800","17185992"
"108670","LG하우시스","78700","700","0.90","78700","79500","77100","108638","8513652900","705755629000","8967670"
"108675","LG하우시스우","33000","250","0.76","32750","33300","32350","18842","618412700","34066890000","1032330"
"037560","LG헬로비전","3875","-5","-0.13","3900","3905","3860","364695","1413773140","300106601875","77446865"
"051910","LG화학","889000","65000","7.89","849000","900000","835000","858451","747929748128","62756592927000","70592343"
"051915","LG화학우","396000","14500","3.80","387500","400000","382500","108352","42657063750","3044764800000","7688800"
"079550","LIG넥스원","30700","200","0.66","30600","30750","30100","116063","3547003550","675400000000","22000000"
"006260","LS","72500","1100","1.54","71600","72900","70300","309673","22223641400","2334500000000","32200000"
"010120","LS ELECTRIC","65000","1900","3.01","63300","65400","62600","300165","19351563200","1950000000000","30000000"
"000680","LS네트웍스","2710","20","0.74","2725","2725","2670","160163","431140210","213556173360","78803016"
"229640","LS전선아시아","7840","60","0.77","7800","7880","7700","320809","2499122110","240099051360","30624879"
"023150","MH에탄올","8140","-270","-3.21","8420","8420","8100","68753","564354490","60061201640","7378526"
"035420","NAVER","293000","500","0.17","291500","294000","285500","947178","274635759500","48129174735000","164263395"
"181710","NHN","74000","-600","-0.80","75100","75400","73600","131242","9729934100","1447811850000","19565025"
"005940","NH투자증권","11200","-100","-0.88","11350","11350","11000","1831016","20436268750","3151779534400","281408887"
"005945","NH투자증권우","8530","-230","-2.63","8760","8770","8450","224310","1912902130","160969357040","18870968"
"338100","NH프라임리츠","4265","0","0.00","4270","4280","4250","45309","193038290","79584900000","18660000"
"034310","NICE","18900","-550","-2.83","19500","19900","18550","147832","2790534000","715975470000","37882300"
"008260","NI스틸","2560","-5","-0.19","2565","2580","2530","245166","625674135","73216299520","28600117"
"004250","NPC","3315","35","1.07","3290","3325","3270","104474","344729100","121726800000","36720000"
"004255","NPC우","2280","-5","-0.22","2285","2285","2270","3752","8549745","12038400000","5280000"
"010060","OCI","98500","5500","5.91","95100","101500","93100","787830","77505304400","2349163043500","23849371"
"005490","POSCO","273000","1000","0.37","272500","275000","268000","431940","117581527000","23802005955000","87186835"
"100840","S&TC","15750","100","0.64","15600","15950","15450","38373","602374750","118230698250","7506711"
"064960","S&T모티브","55700","6300","12.75","49800","56200","49600","413052","21841481100","814508675200","14623136"
"003570","S&T중공업","5900","10","0.17","5890","5900","5850","58385","342661230","196190912300","33252697"
"036530","S&T홀딩스","15100","200","1.34","15000","15100","14650","13016","193768950","246188678600","16303886"
"010950","S-Oil","70300","1100","1.59","69700","70900","68900","622220","43548121500","7914570277600","112582792"
"010955","S-Oil우","39000","450","1.17","38550","39500","38550","31368","1226561950","156855153000","4021927"
"034120","SBS","24550","1000","4.25","23750","25400","23750","316565","7781560050","448100888100","18252582"
"101060","SBS미디어홀딩스","1875","15","0.81","1875","1890","1855","139944","262377525","262305356250","139896190"
"005090","SGC에너지","42800","3550","9.04","39300","43150","39250","336380","13881155950","628175771200","14677004"
"004060","SG세계물산","604","-1","-0.17","612","612","601","767603","464776389","122264675840","202424960"
"001380","SG충방","2180","105","5.06","2155","2205","2120","600993","1303310305","98021831740","44964143"
"002360","SH에너지화학","1085","250","29.94","835","1085","835","81159346","81258691421","120580097050","111133730"
"009160","SIMPAC","2455","-15","-0.61","2475","2490","2445","65582","161180990","160629461780","65429516"
"123700","SJM","3385","90","2.73","3295","3410","3265","133454","449149535","52822579730","15604898"
"025530","SJM홀딩스","3145","95","3.11","3055","3190","3020","34438","107785585","46967455160","14934008"
"034730","SK","249500","9000","3.74","241000","250000","240000","561491","138798398500","17554894101500","70360297"
"011790","SKC","101500","7500","7.98","95800","102500","94000","1004073","99355802200","3843632247000","37868298"
"018670","SK가스","103000","-1500","-1.44","104500","104500","100500","54445","5534406500","950715132000","9230244"
"001740","SK네트웍스","5040","185","3.81","4860","5080","4820","2134797","10551876495","1250865740880","248187647"
"001745","SK네트웍스우","108000","8000","8.00","110500","110500","104500","3724","395956000","12273984000","113648"
"006120","SK디스커버리","66100","400","0.61","67100","67200","65200","149263","9838268200","1258402215500","19037855"
"006125","SK디스커버리우","57100","600","1.06","58500","59200","56200","39992","2289269900","77567780500","1358455"
"210980","SK디앤디","44100","950","2.20","43300","44950","42600","263415","11668744050","837466232400","18990164"
"068400","SK렌터카","9350","300","3.31","9150","9380","9110","234330","2166936150","442122604000","47285840"
"326030","SK바이오팜","154500","-14500","-8.58","149500","157000","149000","3338448","508487017500","12099397125000","78313250"
"03473K","SK우","245500","5500","2.29","240500","248000","240000","15606","3830210500","138986142500","566135"
"096770","SK이노베이션","231000","41000","21.58","203000","237500","199500","4269290","942354307000","21359545284000","92465564"
"096775","SK이노베이션우","178000","41000","29.93","143500","178000","140500","396710","65811504500","222219828000","1248426"
"001510","SK증권","805","3","0.37","804","807","795","4556469","3656211293","380435087655","472590171"
"001515","SK증권우","5040","-110","-2.14","5180","5180","5040","49350","250667420","19719070560","3912514"
"285130","SK케미칼","396000","3500","0.89","401000","402500","385500","363699","143257652500","4649592816000","11741396"
"28513K","SK케미칼우","181000","7000","4.02","188000","188000","177000","81237","14744485500","264019270000","1458670"
"017670","SK텔레콤","237000","-1000","-0.42","238500","239500","235000","429372","101823409500","19136733507000","80745711"
"000660","SK하이닉스","126000","7500","6.33","124500","128000","120500","7995016","994276505704","91728297990000","728002365"
"005610","SPC삼립","70300","-1700","-2.36","72000","72000","70000","37824","2667894500","606619332700","8629009"
"011810","STX","5690","90","1.61","5600","5700","5510","40301","226785800","112246072380","19726902"
"077970","STX엔진","7300","20","0.27","7360","7360","7220","22083","160993860","167964999200","23008904"
"071970","STX중공업","3975","115","2.98","3935","4015","3615","173347","683182885","112754754600","28365976"
"084870","TBH글로벌","1750","0","0.00","1750","1810","1735","37356","65513905","36499433250","20856819"
"002710","TCC스틸","5570","280","5.29","5420","6090","5360","7149355","40955998520","128110000000","23000000"
"024070","WISCOM","2735","0","0.00","2735","2775","2675","104427","284789915","41917807930","15326438"
"037270","YG PLUS","5040","-20","-0.40","5200","5200","4965","769912","3885278915","299860066800","59496045"
"000500","가온전선","22050","250","1.15","21900","22200","21550","18939","414771550","91735651350","4160347"
"000860","강남제비스코","21600","-400","-1.82","22000","22000","21400","23654","510999350","140400000000","6500000"
"035250","강원랜드","23350","-150","-0.64","23500","23550","23150","839113","19589886200","4995510675000","213940500"
"011420","갤럭시아에스엠","1450","20","1.40","1435","1450","1430","145145","209214760","39946983800","27549644"
"002100","경농","12200","200","1.67","12100","12200","11950","92170","1113744500","264639350000","21691750"
"009450","경동나비엔","51600","-500","-0.96","52400","52400","51200","72087","3716505000","702004068000","13604730"
"267290","경동도시가스","18500","-100","-0.54","18700","18700","18400","21101","390772900","109065011000","5895406"
"012320","경동인베스트","31000","-200","-0.64","31200","31750","30800","2932","91140150","73315713000","2365023"
"000050","경방","12300","-100","-0.81","12300","12450","12100","44062","539616650","337207821000","27415270"
"214390","경보제약","16800","450","2.75","16600","18000","16300","962458","16382394650","401635248000","23906860"
"012610","경인양행","7210","170","2.41","7100","7220","7060","747871","5359789670","297602591650","41276365"
"009140","경인전자","32550","7500","29.94","32000","32550","30500","52804","1709445950","51129442350","1570797"
"013580","계룡건설","29150","1150","4.11","28400","29250","28000","165867","4777925450","260335939050","8930907"
"012200","계양전기","4465","145","3.36","4370","4535","4330","2100452","9328416285","145559000000","32600000"
"012205","계양전기우","7250","-20","-0.28","7270","7330","7230","22755","165469740","10150000000","1400000"
"002140","고려산업","4700","-200","-4.08","4565","4795","4500","1301249","6076519810","117215297500","24939425"
"010130","고려아연","401000","-500","-0.12","404000","404000","397000","57810","23158135500","7566870000000","18870000"
"002240","고려제강","14700","0","0.00","14800","14800","14450","34528","504859600","294000000000","20000000"
"009290","광동제약","10150","-100","-0.98","10250","10350","10000","631142","6368439850","532071637650","52420851"
"017040","광명전기","2030","20","1.00","2010","2035","1980","401097","807418435","87975358450","43337615"
"017900","광전자","2330","-20","-0.85","2365","2370","2305","250016","582307920","135008967790","57943763"
"037710","광주신세계","153500","500","0.33","154000","154000","152000","2478","378787000","245600000000","1600000"
"030610","교보증권","7520","-120","-1.57","7640","7640","7460","109915","825561010","486192785920","64653296"
"339770","교촌에프앤비","19000","-450","-2.31","18900","19250","18700","378757","7168476850","474668260000","24982540"
